model,precision_buggy,recall_buggy,f1_buggy,roc_auc
Logistic Regression,0.4535623409669211,0.6311968838526912,0.5278353568255848,0.7405460063645923
Random Forest,0.6781784841075794,0.3928824362606232,0.4975336322869955,0.8045918215783228
XGBoost,0.4966043131180745,0.7379603399433428,0.5936899081262018,0.8121226192598083
Logistic Regression (CodeBERT),0.2105916892502258,0.5012093523246439,0.2965731096445893,0.5257079593245906
Random Forest (CodeBERT),0.2682926829268293,0.0059123891427035,0.0115698133052853,0.5195580916025617
XGBoost (CodeBERT),0.2126890203813281,0.3477559795753829,0.2639469658337582,0.5180700200386008
Logistic Regression (TF‑IDF),0.4891887216744507,0.7600107497984413,0.595243106714376,0.8631182811312885
Random Forest (TF‑IDF),0.7525648762824382,0.3351249664068799,0.4637411677203421,0.8434944269142721
XGBoost (TF‑IDF),0.4960460100647016,0.7417360924482665,0.5945072697899838,0.8607667182339523
Random (proportional),0.20814358424859364,0.20881483472184897,0.20847866917091495,0.5
All Non‑Buggy,0.0,0.0,0.0,0.5
All Buggy,0.19768368485363652,1.0,0.3301100070972321,0.5
