feature,logistic_regression_coef,random_forest_importance,xgboost_importance
aexp,-0.3130375053320795,0.08925543006104077,0.044685014
age,-0.0402817890052355,0.09013673918970089,0.07083369
arexp,0.0379213908416016,0.0905275866826688,0.041699965
asexp,0.1277478241550564,0.09399461634622887,0.04138583
ent,0.47414195909292006,0.08761657781850822,0.024362374
la,0.7150198164461692,0.17938801692707426,0.45525476
ld,-0.05717150012122315,0.08526895388073327,0.049941212
nd,-0.0017435024197647575,0.03699690763105764,0.020746952
ndev,-0.21233173330962618,0.07734421427714873,0.04080413
nf,-0.13808944631196313,0.0584472239707316,0.033503484
ns,0.35613871505184463,0.01646074524147055,0.114951424
nuc,0.27039089216006706,0.09456298797363637,0.06183121
