feature,logistic_regression_coef,random_forest_importance,xgboost_importance
aexp,-0.48983559764258267,0.08786787961399173,0.035294387
age,-0.14147903250648072,0.08999749229696134,0.05338804
arexp,0.06327993268887525,0.09444864019392513,0.053851873
asexp,0.17526153093803365,0.08667488606117546,0.030826405
ent,0.48513572659688237,0.08825434879733049,0.021862397
la,0.5719506247021113,0.18000779968333633,0.48786163
ld,-0.020109601603732194,0.08804945059414646,0.052112464
nd,-0.006228728240014424,0.03830859123858989,0.026010377
ndev,-0.25108639841630986,0.07537310265690281,0.03679913
nf,-0.12270178770012406,0.059260995542586736,0.023371173
ns,0.2928851162824753,0.016593964088842176,0.112688385
nuc,0.2960276993622702,0.09516284923221148,0.06593368
