feature,logistic_regression_coef,random_forest_importance,xgboost_importance
aexp,-0.5935418931004377,0.07578745729101702,0.010360573
age,-0.17429480423108212,0.07435453734165207,0.012510516
arexp,0.2006198883583896,0.08027502187567959,0.01643047
asexp,0.18859315359166007,0.07274910542880966,0.0088522965
ent,0.573873697123621,0.08283836778632034,0.0061776955
fix,0.7842596571752979,0.10252857368109275,0.6481297
la,0.597665510552072,0.1674782539393951,0.15371005
ld,0.00209298769891438,0.08787087262227172,0.053093474
nd,0.0020172646793707393,0.03788374313128608,0.005775218
ndev,-0.3293864627501803,0.06457111518978316,0.012777458
nf,-0.1407490352852471,0.05885098512833273,0.020812647
ns,0.2778594379834112,0.016637807823360187,0.035383362
nuc,0.25503167512322017,0.07817415876099967,0.01598642
