project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc
apache/groovy,Logistic Regression,0.1405152224824356,0.6593406593406593,0.23166023166023167,0.6977825394641137
apache/groovy,Random Forest,0.3225806451612903,0.10989010989010989,0.16393442622950818,0.7076657689358942
apache/groovy,XGBoost,0.2122905027932961,0.4175824175824176,0.2814814814814815,0.7516414712300222
apache/activemq,Logistic Regression,0.23376623376623376,0.5901639344262295,0.33488372093023255,0.6893782010407882
apache/activemq,Random Forest,0.4491525423728814,0.4344262295081967,0.44166666666666665,0.7256360943702821
apache/activemq,XGBoost,0.22015915119363394,0.680327868852459,0.33266533066132264,0.7378591850587244
apache/camel,Logistic Regression,0.041280539174389216,0.5764705882352941,0.0770440251572327,0.6462579730687457
apache/camel,Random Forest,0.22727272727272727,0.058823529411764705,0.09345794392523364,0.7919861800141744
apache/camel,XGBoost,0.083984375,0.5058823529411764,0.1440536013400335,0.7844720056697378
apache/hbase,Logistic Regression,0.3113207547169811,0.6827586206896552,0.42764578833693306,0.6756118999323868
apache/hbase,Random Forest,0.32954545454545453,0.8,0.46680080482897385,0.7194861392832995
apache/hbase,XGBoost,0.33661971830985915,0.8241379310344827,0.478,0.7301386071670046
apache/zookeeper,Logistic Regression,0.14705882352941177,0.625,0.23809523809523808,0.760593220338983
apache/zookeeper,Random Forest,0.08860759493670886,0.875,0.16091954022988506,0.7468220338983051
apache/zookeeper,XGBoost,0.08536585365853659,0.875,0.15555555555555556,0.7733050847457626
apache/hive,Logistic Regression,0.5197505197505198,0.7440476190476191,0.6119951040391677,0.7764928330232238
apache/hive,Random Forest,0.43209876543209874,0.9375,0.5915492957746479,0.7831967989800841
apache/hive,XGBoost,0.4922813036020583,0.8541666666666666,0.6245919477693145,0.794694542071532
apache/cassandra,Logistic Regression,0.5884057971014492,0.5113350125944585,0.5471698113207547,0.7302623363253421
apache/cassandra,Random Forest,0.534965034965035,0.7707808564231738,0.631578947368421,0.7993247420953402
apache/cassandra,XGBoost,0.4941860465116279,0.8564231738035264,0.6267281105990783,0.7988617777222762
apache/hadoop-hdfs,Logistic Regression,0.8293515358361775,0.7253731343283583,0.7738853503184714,0.6736318407960199
apache/hadoop-hdfs,Random Forest,0.8668478260869565,0.9522388059701492,0.9075391180654339,0.9347673397717297
apache/hadoop-hdfs,XGBoost,0.9529780564263323,0.9074626865671642,0.9296636085626911,0.9313286508633305
apache/hadoop-mapreduce,Logistic Regression,0.7796610169491526,0.6344827586206897,0.6996197718631179,0.6232439335887612
apache/hadoop-mapreduce,Random Forest,0.7843137254901961,0.8275862068965517,0.8053691275167785,0.7503831417624521
apache/hadoop-mapreduce,XGBoost,0.7870967741935484,0.8413793103448276,0.8133333333333334,0.7667943805874841
apache/flink,Logistic Regression,0.2467718794835007,0.6771653543307087,0.3617245005257624,0.7274120734908136
apache/flink,Random Forest,0.3949579831932773,0.3700787401574803,0.3821138211382114,0.7419251968503937
apache/flink,XGBoost,0.2912801484230056,0.6181102362204725,0.39596469104665827,0.7661023622047244
apache/spark,Logistic Regression,0.3854166666666667,0.8409090909090909,0.5285714285714286,0.8360020661157025
apache/spark,Random Forest,0.36633663366336633,0.8409090909090909,0.5103448275862069,0.8482696280991736
apache/spark,XGBoost,0.34951456310679613,0.8181818181818182,0.4897959183673469,0.809271694214876
apache/kafka,Logistic Regression,0.30864197530864196,0.7575757575757576,0.43859649122807015,0.7772934827729349
apache/kafka,Random Forest,0.2849462365591398,0.803030303030303,0.42063492063492064,0.7610004151100042
apache/kafka,XGBoost,0.2918918918918919,0.8181818181818182,0.4302788844621514,0.7851805728518058
apache/zeppelin,Logistic Regression,0.30714285714285716,0.7413793103448276,0.43434343434343436,0.6491379310344828
apache/zeppelin,Random Forest,0.4077669902912621,0.7241379310344828,0.5217391304347826,0.6710668103448275
apache/zeppelin,XGBoost,0.35353535353535354,0.603448275862069,0.445859872611465,0.6469827586206897
apache/ignite,Logistic Regression,0.5701492537313433,0.7764227642276422,0.657487091222031,0.769028551708738
apache/ignite,Random Forest,0.7600896860986547,0.45934959349593496,0.5726351351351351,0.8020899942145489
apache/ignite,XGBoost,0.6443418013856813,0.7560975609756098,0.6957605985037406,0.8096650020807324
