project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc
apache/groovy,Random (proportional),0.06159420289855073,0.19767441860465115,0.09392265193370165,0.5
apache/groovy,All Non-Buggy,0.0,0.0,0.0,0.5
apache/groovy,All Buggy,0.07113316790736146,1.0,0.13281853281853281,0.5
apache/activemq,Random (proportional),0.13983050847457626,0.2323943661971831,0.1746031746031746,0.5
apache/activemq,All Non-Buggy,0.0,0.0,0.0,0.5
apache/activemq,All Buggy,0.15451577801958652,1.0,0.26767200754005654,0.5
apache/camel,Random (proportional),0.03436988543371522,0.17073170731707318,0.05722070844686648,0.5
apache/camel,All Non-Buggy,0.0,0.0,0.0,0.5
apache/camel,All Buggy,0.03612334801762115,1.0,0.06972789115646258,0.5
apache/hbase,Random (proportional),0.23795180722891565,0.5374149659863946,0.3298538622129436,0.5
apache/hbase,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hbase,All Buggy,0.22442748091603054,1.0,0.36658354114713215,0.5
apache/zookeeper,Random (proportional),0.07142857142857142,0.5555555555555556,0.12658227848101267,0.5
apache/zookeeper,All Non-Buggy,0.0,0.0,0.0,0.5
apache/zookeeper,All Buggy,0.07142857142857142,1.0,0.13333333333333333,0.5
apache/hive,Random (proportional),0.279887482419128,0.6768707482993197,0.39601990049751246,0.5
apache/hive,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hive,All Buggy,0.2862706913339825,1.0,0.44511733535200604,0.5
apache/cassandra,Random (proportional),0.3168103448275862,0.393048128342246,0.35083532219570407,0.5
apache/cassandra,All Non-Buggy,0.0,0.0,0.0,0.5
apache/cassandra,All Buggy,0.3055555555555556,1.0,0.46808510638297873,0.5
apache/hadoop-hdfs,Random (proportional),0.7384615384615385,0.7643312101910829,0.7511737089201878,0.5
apache/hadoop-hdfs,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hadoop-hdfs,All Buggy,0.7185354691075515,1.0,0.8362183754993342,0.5
apache/hadoop-mapreduce,Random (proportional),0.7413793103448276,0.5771812080536913,0.6490566037735849,0.5
apache/hadoop-mapreduce,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hadoop-mapreduce,All Buggy,0.7487437185929648,1.0,0.8563218390804598,0.5
apache/flink,Random (proportional),0.21372549019607842,0.3123209169054441,0.25378346915017463,0.5
apache/flink,All Non-Buggy,0.0,0.0,0.0,0.5
apache/flink,All Buggy,0.19897377423033066,1.0,0.33190679980979554,0.5
apache/spark,Random (proportional),0.20512820512820512,0.5581395348837209,0.3,0.5
apache/spark,All Non-Buggy,0.0,0.0,0.0,0.5
apache/spark,All Buggy,0.19545454545454546,1.0,0.3269961977186312,0.5
apache/kafka,Random (proportional),0.16097560975609757,0.6111111111111112,0.2548262548262548,0.5
apache/kafka,All Non-Buggy,0.0,0.0,0.0,0.5
apache/kafka,All Buggy,0.15083798882681565,1.0,0.2621359223300971,0.5
apache/zeppelin,Random (proportional),0.22641509433962265,0.5,0.3116883116883117,0.5
apache/zeppelin,All Non-Buggy,0.0,0.0,0.0,0.5
apache/zeppelin,All Buggy,0.22018348623853212,1.0,0.3609022556390977,0.5
apache/ignite,Random (proportional),0.3445121951219512,0.17546583850931677,0.23251028806584362,0.5
apache/ignite,All Non-Buggy,0.0,0.0,0.0,0.5
apache/ignite,All Buggy,0.35658914728682173,1.0,0.5257142857142857,0.5
