project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc
apache/groovy,Logistic Regression (tuned),0.14218009478672985,0.6593406593406593,0.23391812865497075,0.6977432227879454
apache/groovy,Random Forest (tuned),0.2641509433962264,0.46153846153846156,0.336,0.7285281802276437
apache/groovy,XGBoost (tuned),0.176056338028169,0.5494505494505495,0.26666666666666666,0.7548261219996462
apache/activemq,Logistic Regression (tuned),0.23529411764705882,0.5901639344262295,0.3364485981308411,0.6900775448917045
apache/activemq,Random Forest (tuned),0.27169811320754716,0.5901639344262295,0.37209302325581395,0.7360491186210585
apache/activemq,XGBoost (tuned),0.21800947867298578,0.7540983606557377,0.3382352941176471,0.7444720982372421
apache/camel,Logistic Regression (tuned),0.041280539174389216,0.5764705882352941,0.0770440251572327,0.6462579730687457
apache/camel,Random Forest (tuned),0.10884353741496598,0.3764705882352941,0.16886543535620052,0.7985506732813608
apache/camel,XGBoost (tuned),0.0777479892761394,0.6823529411764706,0.13959085439229843,0.8156183557760455
apache/hbase,Logistic Regression (tuned),0.31121642969984203,0.6793103448275862,0.4268689057421452,0.6814063556457066
apache/hbase,Random Forest (tuned),0.327027027027027,0.8344827586206897,0.46990291262135925,0.723289384719405
apache/hbase,XGBoost (tuned),0.3375,0.8379310344827586,0.48118811881188117,0.7348985801217038
apache/zookeeper,Logistic Regression (tuned),0.11904761904761904,0.625,0.2,0.798728813559322
apache/zookeeper,Random Forest (tuned),0.09090909090909091,0.875,0.16470588235294117,0.7457627118644068
apache/zookeeper,XGBoost (tuned),0.0945945945945946,0.875,0.17073170731707318,0.7108050847457628
apache/hive,Logistic Regression (tuned),0.5197505197505198,0.7440476190476191,0.6119951040391677,0.7764928330232238
apache/hive,Random Forest (tuned),0.43209876543209874,0.9375,0.5915492957746479,0.7831967989800841
apache/hive,XGBoost (tuned),0.48951048951048953,0.8333333333333334,0.6167400881057269,0.7994689373578665
apache/cassandra,Logistic Regression (tuned),0.5889212827988338,0.5088161209068011,0.5459459459459459,0.7284104788330862
apache/cassandra,Random Forest (tuned),0.5014577259475219,0.8664987405541562,0.6352723915050785,0.8110663714253515
apache/cassandra,XGBoost (tuned),0.4817320703653586,0.8967254408060453,0.6267605633802817,0.8087104310137397
apache/hadoop-hdfs,Logistic Regression (tuned),0.8293515358361775,0.7253731343283583,0.7738853503184714,0.6736318407960199
apache/hadoop-hdfs,Random Forest (tuned),0.8518518518518519,0.9611940298507463,0.9032258064516129,0.9296605209247878
apache/hadoop-hdfs,XGBoost (tuned),0.9523809523809523,0.8955223880597015,0.9230769230769231,0.9268217734855135
apache/hadoop-mapreduce,Logistic Regression (tuned),0.8018018018018018,0.6137931034482759,0.6953125,0.6269476372924648
apache/hadoop-mapreduce,Random Forest (tuned),0.7712418300653595,0.8137931034482758,0.7919463087248322,0.73544061302682
apache/hadoop-mapreduce,XGBoost (tuned),0.8098591549295775,0.7931034482758621,0.8013937282229965,0.7841634738186463
apache/flink,Logistic Regression (tuned),0.24855491329479767,0.6771653543307087,0.36363636363636365,0.7283464566929134
apache/flink,Random Forest (tuned),0.32808988764044944,0.5748031496062992,0.4177396280400572,0.7624514435695537
apache/flink,XGBoost (tuned),0.29590017825311943,0.6535433070866141,0.40736196319018403,0.7744540682414698
apache/spark,Logistic Regression (tuned),0.3854166666666667,0.8409090909090909,0.5285714285714286,0.8360020661157025
apache/spark,Random Forest (tuned),0.36363636363636365,0.8181818181818182,0.5034965034965035,0.8473657024793388
apache/spark,XGBoost (tuned),0.3979591836734694,0.8863636363636364,0.5492957746478874,0.863830061983471
apache/kafka,Logistic Regression (tuned),0.30864197530864196,0.7575757575757576,0.43859649122807015,0.7772934827729349
apache/kafka,Random Forest (tuned),0.29411764705882354,0.8333333333333334,0.43478260869565216,0.7759962640099627
apache/kafka,XGBoost (tuned),0.29508196721311475,0.8181818181818182,0.43373493975903615,0.7949875466998755
apache/zeppelin,Logistic Regression (tuned),0.31386861313868614,0.7413793103448276,0.441025641025641,0.659698275862069
apache/zeppelin,Random Forest (tuned),0.4077669902912621,0.7241379310344828,0.5217391304347826,0.6710668103448275
apache/zeppelin,XGBoost (tuned),0.36036036036036034,0.6896551724137931,0.47337278106508873,0.6706357758620689
apache/ignite,Logistic Regression (tuned),0.5738693467336683,0.7737127371273713,0.6589728793998846,0.7701653421028593
apache/ignite,Random Forest (tuned),0.7126269956458636,0.6653116531165312,0.6881569726699369,0.8151015498919034
apache/ignite,XGBoost (tuned),0.6178781925343811,0.8523035230352304,0.7164009111617312,0.8305769972493732
