project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc,baseline_method,feature_type,tuning_applied,split_strategy
apache/groovy,Logistic Regression,0.1405152224824356,0.6593406593406593,0.23166023166023167,0.6977825394641137,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/groovy,Random Forest,0.3225806451612903,0.10989010989010989,0.16393442622950818,0.7076657689358942,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/groovy,XGBoost,0.2122905027932961,0.4175824175824176,0.2814814814814815,0.7516414712300222,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/activemq,Logistic Regression,0.23376623376623376,0.5901639344262295,0.33488372093023255,0.6893782010407882,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/activemq,Random Forest,0.4491525423728814,0.4344262295081967,0.44166666666666665,0.7256360943702821,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/activemq,XGBoost,0.22015915119363394,0.680327868852459,0.33266533066132264,0.7378591850587244,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/camel,Logistic Regression,0.041280539174389216,0.5764705882352941,0.0770440251572327,0.6462579730687457,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/camel,Random Forest,0.22727272727272727,0.058823529411764705,0.09345794392523364,0.7919861800141744,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/camel,XGBoost,0.083984375,0.5058823529411764,0.1440536013400335,0.7844720056697378,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hbase,Logistic Regression,0.3113207547169811,0.6827586206896552,0.42764578833693306,0.6756118999323868,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hbase,Random Forest,0.32954545454545453,0.8,0.46680080482897385,0.7194861392832995,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hbase,XGBoost,0.33661971830985915,0.8241379310344827,0.478,0.7301386071670046,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/zookeeper,Logistic Regression,0.14705882352941177,0.625,0.23809523809523808,0.760593220338983,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/zookeeper,Random Forest,0.08860759493670886,0.875,0.16091954022988506,0.7468220338983051,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/zookeeper,XGBoost,0.08536585365853659,0.875,0.15555555555555556,0.7733050847457626,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hive,Logistic Regression,0.5197505197505198,0.7440476190476191,0.6119951040391677,0.7764928330232238,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hive,Random Forest,0.43209876543209874,0.9375,0.5915492957746479,0.7831967989800841,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hive,XGBoost,0.4922813036020583,0.8541666666666666,0.6245919477693145,0.794694542071532,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/cassandra,Logistic Regression,0.5884057971014492,0.5113350125944585,0.5471698113207547,0.7302623363253421,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/cassandra,Random Forest,0.534965034965035,0.7707808564231738,0.631578947368421,0.7993247420953402,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/cassandra,XGBoost,0.4941860465116279,0.8564231738035264,0.6267281105990783,0.7988617777222762,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hadoop-hdfs,Logistic Regression,0.8293515358361775,0.7253731343283583,0.7738853503184714,0.6736318407960199,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hadoop-hdfs,Random Forest,0.8668478260869565,0.9522388059701492,0.9075391180654339,0.9347673397717297,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hadoop-hdfs,XGBoost,0.9529780564263323,0.9074626865671642,0.9296636085626911,0.9313286508633305,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hadoop-mapreduce,Logistic Regression,0.7796610169491526,0.6344827586206897,0.6996197718631179,0.6232439335887612,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hadoop-mapreduce,Random Forest,0.7843137254901961,0.8275862068965517,0.8053691275167785,0.7503831417624521,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/hadoop-mapreduce,XGBoost,0.7870967741935484,0.8413793103448276,0.8133333333333334,0.7667943805874841,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/flink,Logistic Regression,0.2467718794835007,0.6771653543307087,0.3617245005257624,0.7274120734908136,Vanilla,Traditional Features,False,Chronological (70/15/15)
apache/flink,Random Forest,0.3949579831932773,0.3700787401574803,0.3821138211382114,0.7419251968503937,Vanilla,Traditional Features,False,Chronological (70/15/15)
