project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc
apache/groovy,Random (proportional),0.21613832853025935,0.23219814241486067,0.22388059701492538,0.5
apache/groovy,All Non-Buggy,0.0,0.0,0.0,0.5
apache/groovy,All Buggy,0.20037220843672457,1.0,0.3338501291989664,0.5
apache/activemq,Random (proportional),0.19661016949152543,0.20640569395017794,0.2013888888888889,0.5
apache/activemq,All Non-Buggy,0.0,0.0,0.0,0.5
apache/activemq,All Buggy,0.22920065252854813,1.0,0.3729263437292634,0.5
apache/camel,Random (proportional),0.1345565749235474,0.14285714285714285,0.13858267716535433,0.5
apache/camel,All Non-Buggy,0.0,0.0,0.0,0.5
apache/camel,All Buggy,0.1356828193832599,1.0,0.23894491854150504,0.5
apache/hbase,Random (proportional),0.45013123359580054,0.4537037037037037,0.4519104084321476,0.5
apache/hbase,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hbase,All Buggy,0.4329896907216495,1.0,0.60431654676259,0.5
apache/zookeeper,Random (proportional),0.4025974025974026,0.45588235294117646,0.42758620689655175,0.5
apache/zookeeper,All Non-Buggy,0.0,0.0,0.0,0.5
apache/zookeeper,All Buggy,0.40476190476190477,1.0,0.576271186440678,0.5
apache/hive,Random (proportional),0.6067146282973621,0.5988165680473373,0.6027397260273972,0.5
apache/hive,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hive,All Buggy,0.6172388604821037,1.0,0.7633242999096658,0.5
apache/cassandra,Random (proportional),0.4060031595576619,0.41252006420545745,0.40923566878980894,0.5
apache/cassandra,All Non-Buggy,0.0,0.0,0.0,0.5
apache/cassandra,All Buggy,0.38174019607843135,1.0,0.5525498891352549,0.5
apache/hadoop-hdfs,Random (proportional),0.7736720554272517,0.7528089887640449,0.7630979498861048,0.5
apache/hadoop-hdfs,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hadoop-hdfs,All Buggy,0.7646048109965635,1.0,0.866601752677702,0.5
apache/hadoop-mapreduce,Random (proportional),0.6331360946745562,0.6369047619047619,0.6350148367952523,0.5
apache/hadoop-mapreduce,All Non-Buggy,0.0,0.0,0.0,0.5
apache/hadoop-mapreduce,All Buggy,0.6339622641509434,1.0,0.7759815242494227,0.5
apache/flink,Random (proportional),0.24273504273504273,0.2526690391459075,0.24760244115082825,0.5
apache/flink,All Non-Buggy,0.0,0.0,0.0,0.5
apache/flink,All Buggy,0.24027362120564344,1.0,0.3874526025508445,0.5
apache/spark,Random (proportional),0.4230769230769231,0.4365079365079365,0.4296875,0.5
apache/spark,All Non-Buggy,0.0,0.0,0.0,0.5
apache/spark,All Buggy,0.4300341296928328,1.0,0.6014319809069213,0.5
apache/kafka,Random (proportional),0.4636363636363636,0.45739910313901344,0.4604966139954853,0.5
apache/kafka,All Non-Buggy,0.0,0.0,0.0,0.5
apache/kafka,All Buggy,0.46750524109014674,1.0,0.6371428571428571,0.5
apache/zeppelin,Random (proportional),0.40310077519379844,0.416,0.4094488188976378,0.5
apache/zeppelin,All Non-Buggy,0.0,0.0,0.0,0.5
apache/zeppelin,All Buggy,0.42955326460481097,1.0,0.6009615384615384,0.5
apache/ignite,Random (proportional),0.20889748549323017,0.22131147540983606,0.21492537313432836,0.5
apache/ignite,All Non-Buggy,0.0,0.0,0.0,0.5
apache/ignite,All Buggy,0.2026578073089701,1.0,0.3370165745856354,0.5
