project,model,precision_buggy,recall_buggy,f1_buggy,roc_auc
apache/groovy,Logistic Regression (TF-IDF),0.4636118598382749,0.6852589641434262,0.5530546623794212,0.8586887414256367
apache/groovy,Random Forest (TF-IDF),0.7419354838709677,0.18326693227091634,0.2939297124600639,0.8265270913139742
apache/groovy,XGBoost (TF-IDF),0.5212765957446809,0.5856573705179283,0.551594746716698,0.8192746256353894
apache/activemq,Logistic Regression (TF-IDF),0.5,0.6536796536796536,0.5666041275797373,0.8259523101398784
apache/activemq,Random Forest (TF-IDF),0.6666666666666666,0.19047619047619047,0.2962962962962963,0.8105812762301312
apache/activemq,XGBoost (TF-IDF),0.563265306122449,0.5974025974025974,0.5798319327731093,0.8092500011802082
apache/camel,Logistic Regression (TF-IDF),0.31762652705061084,0.6642335766423357,0.4297520661157025,0.815940220022211
apache/camel,Random Forest (TF-IDF),0.6617647058823529,0.08211678832116788,0.1461038961038961,0.7922885442275018
apache/camel,XGBoost (TF-IDF),0.3500557413600892,0.572992700729927,0.43460207612456747,0.7912484694313404
apache/hbase,Logistic Regression (TF-IDF),0.7005758157389635,0.7199211045364892,0.7101167315175098,0.8541549328438812
apache/hbase,Random Forest (TF-IDF),0.773224043715847,0.5581854043392505,0.6483390607101948,0.8376955545100949
apache/hbase,XGBoost (TF-IDF),0.7025948103792415,0.6942800788954635,0.6984126984126984,0.85073362620955
apache/zookeeper,Logistic Regression (TF-IDF),0.6666666666666666,0.6222222222222222,0.6436781609195402,0.813002364066194
apache/zookeeper,Random Forest (TF-IDF),0.7777777777777778,0.4666666666666667,0.5833333333333334,0.8204491725768321
apache/zookeeper,XGBoost (TF-IDF),0.6944444444444444,0.5555555555555556,0.6172839506172839,0.8061465721040189
apache/hive,Logistic Regression (TF-IDF),0.7733644859813084,0.722707423580786,0.7471783295711061,0.8172780874569859
apache/hive,Random Forest (TF-IDF),0.7728337236533958,0.7205240174672489,0.7457627118644068,0.814830559636166
apache/hive,XGBoost (TF-IDF),0.7749419953596288,0.7292576419213974,0.7514060742407199,0.8250608737649165
apache/cassandra,Logistic Regression (TF-IDF),0.602,0.7032710280373832,0.6487068965517241,0.8227278596045169
apache/cassandra,Random Forest (TF-IDF),0.7163120567375887,0.4719626168224299,0.5690140845070423,0.8137197453494494
apache/cassandra,XGBoost (TF-IDF),0.6341463414634146,0.6682242990654206,0.6507394766780432,0.8104683325553448
apache/hadoop-hdfs,Logistic Regression (TF-IDF),0.5428571428571428,0.6785714285714286,0.6031746031746031,0.842607973421927
apache/hadoop-hdfs,Random Forest (TF-IDF),0.6428571428571429,0.32142857142857145,0.42857142857142855,0.8174833887043189
apache/hadoop-hdfs,XGBoost (TF-IDF),0.5185185185185185,0.5,0.509090909090909,0.8131229235880398
apache/hadoop-mapreduce,Logistic Regression (TF-IDF),0.76,0.76,0.76,0.9005555555555556
apache/hadoop-mapreduce,Random Forest (TF-IDF),0.8,0.48,0.6,0.8838888888888891
apache/hadoop-mapreduce,XGBoost (TF-IDF),0.8125,0.52,0.6341463414634146,0.8588888888888888
apache/flink,Logistic Regression (TF-IDF),0.56,0.7982456140350878,0.6582278481012658,0.8967703120917988
apache/flink,Random Forest (TF-IDF),0.769811320754717,0.4473684210526316,0.565880721220527,0.8771119702176403
apache/flink,XGBoost (TF-IDF),0.5928705440900562,0.6929824561403509,0.6390293225480284,0.8782687496231989
apache/spark,Logistic Regression (TF-IDF),0.6724137931034483,0.7428571428571429,0.7058823529411765,0.8203997648442092
apache/spark,Random Forest (TF-IDF),0.7272727272727273,0.6095238095238096,0.6632124352331606,0.8082598471487361
apache/spark,XGBoost (TF-IDF),0.638095238095238,0.638095238095238,0.638095238095238,0.779482657260435
apache/kafka,Logistic Regression (TF-IDF),0.7692307692307693,0.7236842105263158,0.7457627118644068,0.857861565678903
apache/kafka,Random Forest (TF-IDF),0.7739130434782608,0.5855263157894737,0.6666666666666666,0.8337710084033614
apache/kafka,XGBoost (TF-IDF),0.7285714285714285,0.6710526315789473,0.6986301369863014,0.8188301636444051
apache/zeppelin,Logistic Regression (TF-IDF),0.6914893617021277,0.7142857142857143,0.7027027027027027,0.8296353328200462
apache/zeppelin,Random Forest (TF-IDF),0.75,0.5934065934065934,0.6625766871165644,0.8426541611254987
apache/zeppelin,XGBoost (TF-IDF),0.6888888888888889,0.6813186813186813,0.6850828729281768,0.8024777770000702
apache/ignite,Logistic Regression (TF-IDF),0.4909983633387889,0.7556675062972292,0.5952380952380952,0.8765702877967737
apache/ignite,Random Forest (TF-IDF),0.7611940298507462,0.3853904282115869,0.5117056856187291,0.8595664290690819
apache/ignite,XGBoost (TF-IDF),0.5615866388308977,0.6775818639798489,0.6141552511415526,0.8631504903799776
