commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
ff457e227a2e1e7aa4592e0e125753bd8293021e,apache/activemq,True,False,2005,1135850875,814,0,6,3,1,2.4376647639646403,0.0,0.0,0.0,11,11.0,6.0
5444ef92e13b6f0cab3c9af9d43fccbea27d1cce,apache/activemq,False,False,2005,1135645903,1,1,1,1,1,0.0,3.0,3.0,4.0,10,10.0,5.0
80f5e0ced1de75624f109466395ef57fdb6f774b,apache/activemq,True,False,2005,1135966164,9,5,3,2,1,1.37878349348618,0.666666666666667,0.666666666666667,1.33333333333333,104,104.0,26.0
3516e1005a58b7da939aa7587b4fc6fc56b66ea4,apache/activemq,False,False,2005,1136046626,2,0,1,1,1,0.0,3.0,0.0,5.0,115,115.0,33.0
ffb9d2aabb8ade109d32df3f95be3bb1a24f970b,apache/activemq,False,False,2005,1135956871,22,0,2,1,1,0.9023932827949792,0.5,1.0,1.0,53,53.0,38.0
61ab31e758bb721d0b1982242dc343b614fd4362,apache/activemq,False,False,2005,1136047852,29,13,2,1,1,0.958711882977132,1.0,0.0,4.5,118,118.0,36.0
20038a826492dac8f4e41bda5434ad81b3ca0592,apache/activemq,False,False,2005,1134587744,3,1,1,1,1,0.0,1.0,2.0,1.0,19,19.0,13.0
10c6b2964fc716a10f22f5b37bbac46c3a0f4a7d,apache/activemq,False,False,2005,1135956979,176,9,5,2,1,1.77638207717119,0.4,0.2,1.4,54,54.0,39.0
507bb1bbabbf9feafb33ac42b9c52ec0f8ebfa39,apache/activemq,False,False,2005,1134490746,3,1,1,1,1,0.0,1.0,0.0,1.0,6,6.0,4.0
c901884014039c467948bb7470495c32f62adefc,apache/activemq,False,False,2005,1135802958,32,38,7,3,1,2.03443230395063,0.285714285714286,8.85714285714286,1.7142857142857095,91,91.0,0.0
84077a3663e350e39b4b8a48784e6ed706cc961d,apache/activemq,False,False,2005,1135247284,320,196,16,3,1,3.71218288006221,0.125,0.0,2.0,3,3.0,1.0
57ca31fbd379f55d16ac18a57b6764dc5f33fd0d,apache/activemq,False,False,2005,1135797015,195,194,61,9,1,5.475720343493742,0.0819672131147541,8.24590163934426,2.04918032786885,71,71.0,3.0
2c6156085c68facdfd288aeeb795b3b284171e9f,apache/activemq,False,False,2005,1134755297,0,2,1,1,1,0.0,1.0,3.0,2.0,24,24.0,18.0
