commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
0101a69538db2609de3d0140c7cf979355412801,apache/hadoop-hdfs,False,False,2009,1253166761,200,2,6,4,2,1.61844486357142,1.8333333333333304,0.0,31.5,18,18.0,1.9999923706054696
3767907ef7a4f077543b195c69950c6344179332,apache/hadoop-hdfs,False,False,2009,1255629195,41,0,2,2,2,0.3776463213736999,6.0,0.0,90.5,1,1.0,0.5
c5fd3c44c2fcbbd3ec3c2cc5ce75e5105dce247a,apache/hadoop-hdfs,True,False,2009,1261594664,17,15,3,2,2,1.31664733333952,5.33333333333333,5.0,111.0,70,70.0,1.99786363901347
9e146f69a97696ccfd68b465758d72856f5b103b,apache/hadoop-hdfs,False,False,2009,1253753247,14,4,5,4,3,2.07586929669773,2.6,2.0,44.0,21,21.0,1.1124828530323998
613273e5fdb7746d84c8323ec1475f9b22c0b7b2,apache/hadoop-hdfs,False,False,2009,1247085184,1374,91,9,3,2,1.20491780360139,0.666666666666667,28.6666666666667,2.44444444444444,1,1.0,1.0
ca176f5f943ae32069afd452ed5eb571e89e6b2b,apache/hadoop-hdfs,False,False,2009,1260298726,2,2,1,1,1,0.0,5.0,0.0,11.0,46,46.0,41.0
b7906a0d78360d6c2fa654489fb5fbca18ca2b18,apache/hadoop-hdfs,False,False,2009,1251937857,14,9,4,3,2,1.52736154808991,2.25,3.5,33.5,23,23.0,1.9951090812683097
1d3b089fa0ff102d4d349f150139b7e536e8b016,apache/hadoop-hdfs,False,False,2009,1249285428,63,0,3,3,2,0.4769976184274939,2.6666666666666696,1.33333333333333,17.3333333333333,3,3.0,0.25
2341e792db185839aebf108c7b9fdd51f1f64f6a,apache/hadoop-hdfs,False,False,2009,1257814838,86,227,4,3,2,0.4034775650830121,3.0,13.5,56.5,12,12.0,0.496826171875
0809d3a98bab1499c4f0c9c4b12c0c2781947e66,apache/hadoop-hdfs,False,False,2009,1251859143,93,41,3,3,2,1.28286882459662,3.0,0.0,34.0,22,22.0,1.99510884284973
825165d09a7c2f111cc215e02f892c3b5add4bf1,apache/hadoop-hdfs,False,False,2009,1252971428,387,144,8,5,2,2.16569277174905,1.375,15.375,24.625,17,17.0,1.99998474121094
435032c31c0802f294b0432d22dbbeb0644da216,apache/hadoop-hdfs,False,False,2009,1252083667,273,0,2,2,2,0.0872805888836333,4.5,0.0,49.0,16,16.0,1.99996948242188
1cc275771e85d75855b6adb3a3d2c026fe20a9da,apache/hadoop-hdfs,False,False,2009,1247802949,5,9,2,2,2,0.74959525725948,3.5,11.5,14.5,8,8.0,1.9921875
68a40a17513547875df87e6e612ac257e1009420,apache/hadoop-hdfs,False,False,2009,1250187078,229,1,4,2,2,1.01696074877827,2.25,0.0,19.5,4,4.0,0.375
cb434269c4d216723865dbf12ae8cc6ef88adca7,apache/hadoop-hdfs,False,False,2009,1252528831,893,88,28,10,4,3.35528916286898,0.4642857142857139,0.857142857142857,11.9642857142857,42,42.0,0.7291662345329879
1695ecd1a3bbdef1b6bb5d0c9246c42ec3e9a20f,apache/hadoop-hdfs,True,False,2009,1253310779,467,202,7,2,2,2.27147257263988,2.42857142857143,0.0,14.5714285714286,7,7.0,1.984375
8d01e499151a40e18df0bdcd414351ab13e998b4,apache/hadoop-hdfs,False,False,2009,1250895010,16,3,7,4,3,2.50132211628017,1.57142857142857,16.428571428571402,16.7142857142857,2,2.0,0.7777777777777779
867a5de949b5bb8fe94356998f5974dad51dad55,apache/hadoop-hdfs,False,False,2009,1255479471,55,14,3,2,2,1.19863937227625,3.6666666666666696,2.6666666666666696,70.6666666666667,57,57.0,1.99786363901347
