commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
fe7e6a4f00485f08a761c4b64f090d848d6d33c8,apache/hadoop-mapreduce,False,False,2009,1245832565,4,1,2,2,2,0.970950594454669,1.0,18.0,2.5,2,2.0,0.75
0c5b41a4c0921d1d92ee7f81d155e314e2b70961,apache/hadoop-mapreduce,False,False,2009,1260839408,21,94,2,2,2,0.174371452921635,8.0,99.0,164.0,45,45.0,0.749999984836847
6d0990496e3c3d5efb4a122e580470cb292420ef,apache/hadoop-mapreduce,False,False,2009,1255911555,66,49,2,2,2,0.174371452921635,7.5,32.5,128.5,53,53.0,1.23290996998547
ee5a009d8b55189c8bc86421c010854a952ff640,apache/hadoop-mapreduce,False,False,2009,1259920602,6,24,2,2,2,0.468995593589281,8.0,24.5,156.5,68,68.0,1.23290996998547
bb3d18895699d5bdee366d2dabaf40d6f52edc3c,apache/hadoop-mapreduce,False,False,2009,1245786705,4,0,2,2,2,0.811278124459133,1.0,3.0,1.5,3,3.0,0.5
c9f9ae573f316f930bd4e872b968bdb469d561ed,apache/hadoop-mapreduce,False,False,2009,1246966275,210,103,13,6,2,2.58101913639003,0.7692307692307689,43.0,4.07692307692308,9,9.0,0.74609375
6ef2552953322f086fa63a11385c55b36d124d0b,apache/hadoop-mapreduce,True,False,2009,1253319961,709,31,19,13,2,3.3213268215556,0.8947368421052628,32.7368421052632,7.21052631578947,9,9.0,1.99609375
2c8fc255c217e90a4ca8051cf245ccbf593721bd,apache/hadoop-mapreduce,False,False,2009,1257401132,108,2,4,4,2,1.6860185410025803,4.0,51.75,70.5,60,60.0,1.23290996998547
5a698f37f5197089aaf80ed2736f3ede629dec6d,apache/hadoop-mapreduce,False,False,2009,1246970397,408,84,10,6,2,2.25710566040375,1.0,9.9,5.7,11,11.0,0.7490234375
99b5ea2033c2be7b0b1574088b223084b81aa3e2,apache/hadoop-mapreduce,False,False,2009,1247744821,67,8,4,2,2,1.3790552993186298,2.75,0.0,21.5,9,9.0,1.99609375
b5e9805b2b0eeb1101b5e5c2d49b5c988fe2bbfc,apache/hadoop-mapreduce,False,False,2009,1261435176,6,2,2,2,2,0.954434002924965,8.0,0.0,178.0,7,7.0,1.890625
86019161c143913777d71ca9595e828dd1d0f376,apache/hadoop-mapreduce,False,False,2009,1252530410,5,10,2,2,2,0.7219280948873621,6.5,11.0,91.5,25,25.0,1.2329099178314198
331593e67aa74a7c10370f7ddab6a0287e7544da,apache/hadoop-mapreduce,False,False,2009,1249926044,33,5,3,2,2,0.870691378597359,4.0,55.3333333333333,36.6666666666667,19,19.0,1.99999618530273
fffe4279217ebc8e1c09fc2808765bc65718ab0e,apache/hadoop-mapreduce,True,False,2009,1260419960,319,5,8,7,6,1.83557095925038,2.0,6.5,46.25,44,44.0,0.205555555555556
a6c22f5efcab7df261ea64ab31b155e52f63fb49,apache/hadoop-mapreduce,False,False,2009,1253256805,10,1,2,2,2,0.684038435639042,7.0,0.0,110.0,37,37.0,1.2329099699709298
1615886bbd9ece187b7754d1a138fb7074a955c8,apache/hadoop-mapreduce,False,False,2009,1257400411,49,12,3,2,2,1.28340312975448,5.33333333333333,38.0,93.6666666666667,43,43.0,1.99999950826145
7d479ccca81fbe42f0b9a1b5f61ea9cc4d7a7643,apache/hadoop-mapreduce,False,False,2009,1247988660,25,17,6,2,2,1.99438981676999,2.0,22.6666666666667,13.166666666666698,10,10.0,1.2314453125
f716774c738acd2ffee65306e1a331911ed1210f,apache/hadoop-mapreduce,False,False,2009,1255517907,133,71,14,7,2,3.0136254316513,1.07142857142857,18.1428571428571,20.3571428571429,38,38.0,0.7499999848296278
9f448bf1494ab89fa2d4ad5693c17a92036f74c7,apache/hadoop-mapreduce,False,False,2009,1247741848,66,8,4,2,2,1.33800550292007,2.75,8.75,19.5,7,7.0,1.984375
