commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
12b5d6318a7cd417495e5af9625938331186b6fd,apache/ignite,False,False,2014,1399058533,85,153,3,2,1,0.8730105411058471,0.666666666666667,5.33333333333333,2.0,167,167.0,123.0
a880e5ce0ed6ef0fb487bedac920b9a963193c5d,apache/ignite,False,False,2014,1406126713,36,39,12,5,1,3.3041751939737702,0.4166666666666671,0.0833333333333333,22.1666666666667,179,179.0,111.0
d7c949c1dd94a6f633b705bcc169c89d09ee47ae,apache/ignite,False,False,2014,1402927910,125,23,14,4,1,1.93225102252868,0.4285714285714289,4.64285714285714,6.428571428571429,485,485.0,307.0
871b0d699ecb9e1097e39ec54f1bc5c8e1e1a261,apache/ignite,False,False,2014,1417699587,74,74,35,17,1,4.72143804213632,0.5142857142857139,7.857142857142861,14.4285714285714,814,814.0,527.0
0ebc9be6d657c3ddb629c1eca8d030d45150cf29,apache/ignite,False,False,2014,1401951453,9,9,5,3,1,1.87996494872711,0.2,71.2,0.8,51,51.0,32.0
c5b73b128d9142ce91b2da39b9e110c7bfaf8759,apache/ignite,False,False,2014,1417434168,19,12,4,2,1,1.73963229572871,2.5,0.0,34.0,855,855.0,486.0
304c933445c0e36baf5abef605ede804e0bcee68,apache/ignite,False,False,2014,1400236327,10,9,6,2,1,2.31345975017182,1.0,0.0,8.5,300,300.0,170.0
8d989a2a1005938a2bbd2112250e0f48582dc5aa,apache/ignite,False,False,2014,1410266449,40,34,1,1,1,0.0,10.0,0.0,50.0,509,509.0,256.0
1a4ea047e6ec7fa1b52e7e6d1fe61267ad1bc6ac,apache/ignite,False,False,2014,1395837652,6,6,1,1,1,0.0,8.0,0.0,23.0,114,114.0,55.0
69fe71c48b966692ee08757069747fe76bcb5fab,apache/ignite,False,False,2014,1409161504,8,8,2,2,1,0.954434002924965,3.5,2.0,17.0,439,439.0,331.0
35a903559dc267a8b2523fee12aa7a241f45ed3a,apache/ignite,False,False,2014,1406110773,6,1,1,1,1,0.0,6.0,1.0,37.0,621,621.0,420.0
9dde66b52145948462e4eaff1754eaa57c9ec41e,apache/ignite,False,False,2014,1413427114,10,6,1,1,1,0.0,1.0,0.0,4.0,513,513.0,186.0
00b26f2e05545388d8e04e80c019df32df653c93,apache/ignite,False,False,2014,1394509339,1,15,2,2,1,0.5435644431995961,1.0,3.0,4.0,107,107.0,54.0
7905ea1b4899effe05c525664542b43de2251cd0,apache/ignite,False,False,2014,1404129877,326,373,3,1,1,1.02542237643985,1.33333333333333,2.0,9.33333333333333,468,468.0,251.0
