commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
2fb849502f57ec29e9913907872183af06a57b3e,apache/spark,False,False,2010,1291612815,8,425,9,6,4,2.50196221329662,0.333333333333333,140.888888888889,16.0,0,0.0,0.0
2a60c998cc9ca8b9a90d8c7865f7494963395b3b,apache/spark,False,False,2012,1343236294,2,5,1,1,1,0.0,1.0,2.0,2.0,5,5.0,3.0
f4a9e1b9be856b43e9e512bf40342514fa7856c8,apache/spark,True,False,2012,1355466132,9,7,1,1,1,0.0,3.0,2.0,8.0,53,53.0,37.0
01dce3f569e0085dae2d0e4bc5c9b2bef5bd3120,apache/spark,True,False,2012,1342657951,1761,4,25,7,3,3.5682386374510098,0.52,3.44,6.12,0,0.0,0.0
6ae3c375a9e8a97ff96649b3637e4a011d849990,apache/spark,False,False,2012,1344805819,105,63,15,3,2,3.50183586341219,0.133333333333333,18.9333333333333,1.4,438,308.33333333333303,9.94992599160441e-35
2a87d816a24c62215d682e3a7af65489c0d6e708,apache/spark,False,False,2012,1355219083,2,0,1,1,1,0.0,2.0,13.0,7.0,104,100.0,47.0
6a78e88237cd2d2947cf5461e9da8359a16a0228,apache/spark,False,False,2012,1343148182,25,25,8,3,2,2.6937400547328902,1.25,1.625,10.5,4,4.0,1.4375
c5e2810dc75ac0bae94b1e50ff8c0d198d185b52,apache/spark,False,False,2012,1343329458,83,3,5,2,1,1.5494202231687502,0.2,2.2,3.2,7,7.0,5.0
042dcbde33c878d165b777964f5abb646257ab94,apache/spark,False,False,2012,1343002732,90,43,6,2,1,2.4244603290926903,0.166666666666667,2.0,1.33333333333333,3,3.0,2.0
0b84871dbca8a1a33407e7322e3c6162d24b4c29,apache/spark,False,False,2012,1349114246,5,2,2,1,1,0.591672778582327,2.0,43.5,6.0,569,432.333333333333,229.0
b51d733a5783ef29077951e842882bb002a4139e,apache/spark,False,False,2012,1343417007,47,25,3,2,1,1.30644248476978,0.333333333333333,4.0,2.3333333333333304,399,273.83333333333303,150.0
8d7b77bcb545e7e1167cf6e4a010809d5bd76c5a,apache/spark,False,False,2012,1350089600,90,24,14,5,3,2.64517910631538,0.5714285714285711,44.3571428571429,5.14285714285714,650,511.833333333332,1.2220608900434289e-54
3ebd8e18853bfca6f0bcd99ac79f0c6717aa0887,apache/spark,False,False,2012,1354084689,25,0,2,2,1,0.970950594454669,1.5,51.5,6.5,705,553.000000000004,274.0
903f3518dfcd686cda2256b07fbc1dde6aec0178,apache/spark,False,False,2012,1356383925,12,1,2,1,1,0.6193821946787641,6.5,7.5,21.5,1,1.0,1.0
9e64396ca4c24804d5fd4e96212eed54530ca409,apache/spark,False,False,2013,1367976654,85,118,8,2,1,2.46498823594406,0.875,60.125,4.25,135,131.0,76.0
86af64b0a6fde5a6418727a77b43bdfeda1b81cd,apache/spark,False,False,2013,1357437248,79,13,4,2,1,1.7521809702992202,3.75,28.25,43.5,738,581.000000000004,276.0
72d2e1dd777696640f64aaf92fecab64c6387df0,apache/spark,False,False,2013,1382510151,424,179,8,4,2,2.3306295825086902,0.625,3.0,2.0,217,190.166666666667,0.988157383677333
041c19e5f0309e7a667faab5fee9f9081db58237,apache/spark,False,False,2013,1361292260,2,0,2,2,1,1.0,1.5,1.0,18.0,112,112.0,52.0
9115a5de62dcb832569727773112a4688ef63f03,apache/spark,False,False,2013,1386436531,4,7,2,1,1,0.94566030460064,1.0,0.0,2.0,1,1.0,1.0
bacfe5ebca8e82317a7596c9fcbf95331c7038a9,apache/spark,False,False,2013,1382637384,169,33,5,2,2,1.3724876138235802,1.8,1.6,4.4,220,190.666666666667,0.988157383677333
737f01a1ef49e4a12f24799c4324b3a60712758e,apache/spark,False,False,2013,1378471505,296,54,3,1,1,1.40511588716318,0.333333333333333,1.6666666666666698,0.333333333333333,25,25.0,0.0
9fccb17a5f168994fd1ca33199fb43ecbc2bbd92,apache/spark,False,False,2013,1382555227,0,2,1,1,1,0.0,1.0,0.0,2.0,219,191.666666666667,76.0
f0b68c623c116540470e06967c1554855d16a500,apache/spark,False,False,2013,1360119766,82,2,3,3,2,1.11552009358193,2.6666666666666696,11.0,10.0,98,98.0,0.8760996056857951
1418d18af43229b442d3ed747fdb8088d4fa5b6f,apache/spark,False,False,2013,1378420094,5,4,4,2,1,1.83659166810898,0.75,1.25,1.0,3,3.0,3.0
16a4ca45373cd4b75032f88668610d9b693fb4b3,apache/spark,False,False,2013,1363294717,31,3,3,2,1,1.15955475237873,5.66666666666667,18.0,30.6666666666667,17,17.0,10.0
326a7a82e0fc7155d10af696ccca2e385134c144,apache/spark,False,False,2013,1375823004,1,10,1,1,1,0.0,1.0,1.0,2.0,2,2.0,2.0
bb8a434f9db177d764d169a7273c66ed01c066c1,apache/spark,False,False,2013,1367619242,52,0,3,3,1,1.49142934485635,3.0,17.6666666666667,15.0,51,51.0,40.0
2c5bade4ee6db747cbc7b0884094ad443834e3b1,apache/spark,False,False,2013,1388171907,24,13,3,1,1,1.11984023878458,1.0,20.0,3.6666666666666696,7,7.0,7.0
4358acfe07e991090fbe009aafe3f5110fbf0c40,apache/spark,False,False,2013,1372544706,23,38,4,3,1,1.4382467639676202,2.25,15.25,28.0,1102,882.916666666674,22.0
