commit_id,project,buggy,fix,year,author_date,la,ld,nf,nd,ns,ent,ndev,age,nuc,aexp,arexp,asexp
6b584c60e3aec75f34b90b7fe673fca72abfb5b0,apache/zeppelin,False,False,2013,1383384397,84,57,4,1,1,1.96999794791456,0.25,2.5,8.25,145,145.0,54.0
eb1b636a64558cb10c910d41291f27657fd7710c,apache/zeppelin,False,False,2013,1382921218,188,87,8,2,1,2.3363012980960898,0.125,1.875,5.0,108,108.0,28.0
0e510a0dd8edb8ffa8c200341d8b7da2f82c8894,apache/zeppelin,False,False,2013,1387612703,324,0,5,2,1,1.4252895541703998,0.2,0.2,0.2,228,228.0,1.0
38ba994ef9716eb0f7caabe6be68e20275a63646,apache/zeppelin,False,False,2013,1378624249,65,0,2,2,1,0.9984628557283828,0.0,0.0,0.0,8,8.0,0.0
c4c126b3bb60ab740109f65d64358cdd96878922,apache/zeppelin,False,False,2013,1379090076,360,14,12,6,2,2.02608274153587,0.0833333333333333,1.0,0.833333333333333,24,24.0,0.1074504256248469
116d0d77f14924bee0742ec4e21e2291e4cb3aaf,apache/zeppelin,False,False,2013,1382175683,43,36,5,3,2,2.02807407082072,0.2,0.8,1.4,69,69.0,0.0009784698777366
4a1eb71961c2d6cd21b63e403eb4e1efa85bdcb8,apache/zeppelin,False,False,2013,1383966558,1,1,1,1,1,0.0,1.0,0.0,2.0,179,179.0,69.0
8e0371c14be571c952037f8243d93411a01676a5,apache/zeppelin,False,False,2013,1385099898,136,89,2,1,1,0.8023534428291899,1.0,0.0,5.0,32,32.0,21.0
bd7a40af1ffa165eb2582a3d62685cec589e36bc,apache/zeppelin,False,False,2013,1382367830,113,69,5,1,1,1.4529142974713,0.2,0.0,2.0,84,84.0,11.0
8605890e7993598cbf786bacd814f8c30b14a91c,apache/zeppelin,False,False,2013,1383365141,829,19,7,4,2,1.05730285149128,0.285714285714286,2.71428571428571,9.85714285714286,139,139.0,0.51571655273483
4543ef6a31a1abe5b1abacb76f6978bb69da9f01,apache/zeppelin,False,False,2013,1382949126,0,1299,3,3,1,0.33967860409143,0.333333333333333,0.0,6.0,112,112.0,32.0
fac8161378ef1fb7d40a5ec168ee4fbe2d9a63d9,apache/zeppelin,False,False,2013,1382228385,61,11,4,3,2,0.818747882058104,0.25,0.0,3.25,73,73.0,0.0024490654719784
03c506cc987cad8a867fd1cb5eed69739ad26494,apache/zeppelin,False,False,2013,1382368087,1,2,1,1,1,0.0,1.0,0.0,2.0,85,85.0,12.0
