idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,cf56f8f3acbeac0ddff9ee3131ad7abe2a919ba3,0,3,0,3,4,18,4,2,745,1691.94
1,e90036f6e1b2c799bef4842f69a0df9ee5b08ec9,0,4,0,4,65,7,25,57,1556,1909.86
2,16f30f16749fe4f75c94b17aa4a4b63df4ddb825,0,5,0,2,0,4,0,4,1830,1743.53
3,283f3a08755f0f1d121c87a25ee7679b64d35d8b,0,1,1,0,0,33,0,0,747,513.97
4,5bea7e1772e9fd042b10abebb1e0c78579942b26,0,2,0,2,0,33,0,1,1161,1647.16
5,ff2cf35afff5a0735b1f6410f44a2a59cb7a5ca9,0,1,0,1,0,16,0,0,260,533.76
6,da5c6b8fc6ce179e22fb344a2dd528403fc11385,0,1,0,0,69,5,2,10,34,319.45
7,0237abc7659b9897f5bd90527de38c0a2fba2e54,0,1,0,0,1,16,0,0,87,189.22
8,01b415a15d4b6548d15ec9539dc40bc791e0a1f0,0,2,0,0,0,30,0,0,121,226.81
9,5506a44d0a1e04a3d471b43dcf00b21608edd50f,0,1,0,1,1,0,0,0,273,569.42
10,74dcfb263ca695534ec631d8cf11f909e54a9765,0,1,0,1,8,0,0,1,218,549.12
11,c25dae0a2f5292661dcd90dd5ca68cd6cbaed3ed,0,1,0,1,7,1,3,2,4038,3989.73
12,af47dc8476a6e4e4856476e4acff1ac8321a6a39,0,1,0,0,0,1,0,0,225,185.57
13,f25041afddf97b00e9a3bd46ce3650010f240c54,0,13,0,10,3,0,0,0,2816,4369.45
14,c08117f4cd496c2203aa01c7a3c66f7a39d1f3f9,0,7,0,3,1,3,0,3,797,994.13
15,f4f3ca50d84e165a909dca5608babb32df199f44,0,4,0,1,3,3,0,0,1282,925.81
16,76bc3cc8380dfdcad05348cf87af492f1a4a2206,0,4,0,0,9,12,3,4,708,567.61
17,e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,0,1,0,0,2,0,0,9,54,134.45
18,39d3f833f9c4e154eb157336f5e7b2a1ce9a79a3,0,5,0,2,11,0,0,6,1540,1237.88
19,fe825730bfae8f619247605ea0027a9c195c45fd,0,1,0,1,0,5,2,0,102,370.83
20,ce5595793578e53cad3019f132d6ac2bdad60d31,0,1,0,0,6,15,1,3,100,255.13
21,abc75388a3df8de72b28a5edb830e1c19ed9ec80,0,1,0,1,2,5,0,0,51,258.54
22,8f56a96a699050c7cd0a29973d36a9c62166321f,1,2,0,2,0,0,0,0,51,388.38
23,def1edd1fe90a4a9c9eef4ef26f422ba3a21d28f,0,2,0,1,2,5,2,6,61,305.27
24,22c52627201873086c38ee020838f0ed4e96f843,0,1,0,0,0,0,0,0,52,90.02
25,07c2d3c29dd4ef87ae0a0299a711565bfb7c30b0,0,2,0,1,1,0,0,0,320,488.45
26,a9c09a85922e9962f7b7f9bb362d9f56e1e8e673,0,2,0,2,0,0,0,0,669,1039.14
27,ce8a73f2be0406f954f39aa6f6e20863e99e5461,0,2,0,0,0,5,0,0,702,433.48
28,c5b1b8ba21a434f61867b5551390da3be0a37107,0,1,0,0,2,15,3,5,213,215.4
29,66dee7aaab26556561614ab056469ade85de5ebd,0,8,0,1,83,109,30,84,2344,1950.52
30,a996c8214baa4fa886071a24b8058ed1ca284686,15,9,0,3,20,195,2,6,1802,3070.01
31,41598bfead845723d5eaaacc0cf4f9372825f3a4,0,4,0,0,27,73,4,7,717,641.69
32,2aa0bba0d5c56289ba6ce7969d267a58e3b3e074,0,1,0,0,4,0,2,1,449,334.46
33,4cff66a0eebd138271f3fa5f23fae3df07a7adf7,0,2,0,1,0,4,0,0,631,443.91
34,ad1cc13f5613ae4b6bb07c1367750ecbf29e0477,0,7,0,6,0,0,0,0,703,1424.3
35,20e081f2901384f0786a56fb21a181033aa8e839,3,14,0,6,46,269,12,30,2757,2571.12
36,8ce795a0a98cf18444af4c1c1528e6a12caf1320,0,13,0,7,6,663,29,54,2853,3005.35
37,dd61d5119d951d94da28256e5482d580a0685030,3,28,3,7,18,56,6,8,2901,4085.81
38,bf684eea956dbbbf7a35ef3deca8b4462b139136,0,5,0,2,74,58,8,7,1000,960.3
39,4c194aa8d14cc8b473939d3496cd576c4cb397e7,2,9,0,0,70,34,10,17,2631,1992.77
40,09bc045e2674e91f57d3244b1aaeae0c1cd2c6f5,0,1,0,0,2,0,0,3,482,356.75
41,76f33027535a192ab2d76ac1f01a5a8829c845af,0,1,0,0,0,0,0,0,214,175.53
42,1866e3802bb16dd582cf5a95bc41bb13e808a0ba,0,2,0,0,3,3,0,0,668,447.72
43,2249a6a745f63873b89b2bc8d70df4d185d99298,0,1,0,1,4,1,1,4,17,218.34
44,6c189f73d70f641d7bfc01eb3f0414c0fd1039a8,0,1,0,0,0,38,0,0,0,106.8
45,2b27a9faded31d3315cf835e2e476227ee5c3029,6,0,0,0,0,0,0,0,0,454.77
46,d19877f286c734ca3edcea292e2371a8077329dc,0,4,0,0,52,2,0,6,302,434.79
47,f5d1a1289c88dcefd226e9ffcca2a1cd2d145892,0,3,0,3,20,3,0,2,204,642.99
48,52062900caf861e237355c297709976036c70404,0,6,0,6,32,0,0,3,380,1066.1
