idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,cf56f8f3acbeac0ddff9ee3131ad7abe2a919ba3,0,3,0,3,0,17,0,1,464,2905.96
1,e90036f6e1b2c799bef4842f69a0df9ee5b08ec9,0,4,0,4,23,1,0,26,969,968.45
2,16f30f16749fe4f75c94b17aa4a4b63df4ddb825,0,5,0,2,0,1,0,0,1193,429.65
3,283f3a08755f0f1d121c87a25ee7679b64d35d8b,0,1,1,0,0,15,0,0,431,2836.84
4,5bea7e1772e9fd042b10abebb1e0c78579942b26,0,2,0,2,0,22,0,0,826,410.52
5,ff2cf35afff5a0735b1f6410f44a2a59cb7a5ca9,0,1,0,1,0,9,0,0,183,165.87
6,da5c6b8fc6ce179e22fb344a2dd528403fc11385,0,1,0,0,43,1,0,5,19,154.23
7,0237abc7659b9897f5bd90527de38c0a2fba2e54,0,1,0,0,0,11,0,0,51,86.72
8,01b415a15d4b6548d15ec9539dc40bc791e0a1f0,0,2,0,0,0,16,0,0,74,115.78
9,5506a44d0a1e04a3d471b43dcf00b21608edd50f,0,1,0,1,0,0,0,0,181,205.96
10,74dcfb263ca695534ec631d8cf11f909e54a9765,0,1,0,1,2,0,0,0,147,180.69
11,c25dae0a2f5292661dcd90dd5ca68cd6cbaed3ed,0,1,0,1,3,1,0,0,2744,933.05
12,af47dc8476a6e4e4856476e4acff1ac8321a6a39,0,1,0,0,0,1,0,0,148,114.19
13,f25041afddf97b00e9a3bd46ce3650010f240c54,0,13,0,10,1,0,0,0,1916,1434.5
14,c08117f4cd496c2203aa01c7a3c66f7a39d1f3f9,0,7,0,3,0,0,0,0,548,468.08
15,f4f3ca50d84e165a909dca5608babb32df199f44,0,4,0,1,1,1,0,0,954,317.55
16,76bc3cc8380dfdcad05348cf87af492f1a4a2206,0,4,0,0,3,3,0,6,466,263.41
17,e9e08ff6b572c851ecfcfe49bc63de43dfe3ed04,0,1,0,0,2,0,0,9,47,107.34
18,39d3f833f9c4e154eb157336f5e7b2a1ce9a79a3,0,5,0,2,7,0,0,5,1100,473.88
19,fe825730bfae8f619247605ea0027a9c195c45fd,0,1,0,1,0,2,0,2,50,196.21
20,ce5595793578e53cad3019f132d6ac2bdad60d31,0,1,0,0,2,10,0,0,53,124.86
21,abc75388a3df8de72b28a5edb830e1c19ed9ec80,0,1,0,1,2,1,0,0,33,170.49
22,8f56a96a699050c7cd0a29973d36a9c62166321f,1,2,0,2,0,0,0,0,42,342.57
23,def1edd1fe90a4a9c9eef4ef26f422ba3a21d28f,0,2,0,1,1,2,0,6,32,261.82
24,22c52627201873086c38ee020838f0ed4e96f843,0,1,0,0,0,0,0,0,42,70.69
25,07c2d3c29dd4ef87ae0a0299a711565bfb7c30b0,0,2,0,1,1,0,0,0,196,237.85
26,a9c09a85922e9962f7b7f9bb362d9f56e1e8e673,0,2,0,2,0,0,0,0,444,382.92
27,ce8a73f2be0406f954f39aa6f6e20863e99e5461,0,2,0,0,0,3,0,0,441,154.4
28,c5b1b8ba21a434f61867b5551390da3be0a37107,0,1,0,0,1,8,0,5,141,144.78
29,66dee7aaab26556561614ab056469ade85de5ebd,0,8,0,1,61,94,0,78,1695,895.42
30,a996c8214baa4fa886071a24b8058ed1ca284686,15,9,0,3,15,157,0,4,1075,1856.92
31,41598bfead845723d5eaaacc0cf4f9372825f3a4,0,4,0,0,22,65,0,8,556,283.93
32,2aa0bba0d5c56289ba6ce7969d267a58e3b3e074,0,1,0,0,2,0,0,4,377,153.65
33,4cff66a0eebd138271f3fa5f23fae3df07a7adf7,0,2,0,1,0,1,0,0,395,184.38
34,ad1cc13f5613ae4b6bb07c1367750ecbf29e0477,0,7,0,6,0,0,0,0,464,700.04
35,20e081f2901384f0786a56fb21a181033aa8e839,3,14,0,6,26,153,0,20,1863,1416.18
36,8ce795a0a98cf18444af4c1c1528e6a12caf1320,0,13,0,7,5,425,0,47,1923,1195.12
37,dd61d5119d951d94da28256e5482d580a0685030,3,28,3,7,6,24,0,7,1979,1827.08
38,bf684eea956dbbbf7a35ef3deca8b4462b139136,0,5,0,2,61,51,0,4,766,406.31
39,4c194aa8d14cc8b473939d3496cd576c4cb397e7,2,9,0,0,48,25,0,20,1838,759.6
