idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,3,0,3,8,1,0,20,410,1397.48
1,816369425177cedc696f93b6daeedc31e601dd52,0,3,0,0,0,0,0,0,418,76.6
2,944511cfc3ea634b0e9f6cabcf3deb630d25ae8e,0,16,0,16,24,37,0,24,1864,1755.94
3,1dfad89e70b40f49ea724bf274ac2561d033a7d3,1,6,0,5,0,1,0,2,538,329.88
4,b843f1851c334bd6019fe50a29dd6e460183f69d,1,6,0,0,0,0,0,0,538,99.44
5,717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,0,22,0,19,74,51,0,41,1441,1588.63
6,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,5,0,0,0,0,0,0,0,0,247.18
7,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,1,0,1,0,2,0,0,102,88.77
8,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,1,0,0,0,0,0,0,102,19.94
9,ffbc7e177bca0a84d892514b138d6d208a87f64f,11,7,10,0,0,103,0,16,538,1339.6
10,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,1,5,5,0,16,3,0,12,417,604.63
11,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,3,0,2,18,0,0,33,101,199.9
12,fcf2afebfb123527f2a72be2392efb35c45ceb2a,0,25,0,19,9,7,0,0,2664,1218.21
13,03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,0,1,0,1,6,1,0,17,76,144.92
14,290c6a92260ed47abf88f7c701b22fa25b633cbf,0,1,0,1,0,0,0,0,0,15.35
15,3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,0,1,0,1,0,0,0,0,0,13.56
16,d224c48e136ef290dbf40dee8e29b21032922a31,0,1,0,1,0,0,0,0,58,41.9
17,6f52786e44bffd08973fc8a3a45e4a176f53ca41,0,4,0,4,3,3,0,0,289,234.41
18,78cee55f0fc0c43885fc2254e2b14939e17224ee,0,1,0,0,0,0,0,0,132,23.39
19,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,1,4,0,4,37,39,0,18,455,508.62
20,0558b39878360dade9baf0d3bdc2256ee38e396a,0,1,0,1,0,2,0,5,20,97.78
21,ade23c2c463f248e6cdf30e80643abe3bb332eb3,0,0,0,0,0,0,0,0,0,5.79
22,ad802effff6a33ee7f83bb50a1099eae3c697956,0,5,0,5,0,17,0,20,1191,812.36
23,19b933c7552f94cebb57bcd82e69a43cec9fc803,0,4,0,2,44,27,0,19,342,387.45
24,058f5ec785c29a580216c12faab9bd7f320efdf2,0,1,0,1,0,12,0,0,589,260.26
25,b5e21190354a1f5a8438902f0ba36d4365c28c5a,0,1,0,1,0,1,0,2,319,223.02
26,33eda2a6ab654e501c149adf8810cef83e3491e7,4,22,0,19,69,69,0,0,3382,1928.19
27,2f8a5a4df0e2ffbd477909ace0f4c57e4f2fe2d3,0,4,0,1,39,0,0,13,1148,312.06
