idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,3,0,3,8,1,4,6,410,957.73
1,816369425177cedc696f93b6daeedc31e601dd52,0,3,0,0,0,0,0,0,418,75.8
2,944511cfc3ea634b0e9f6cabcf3deb630d25ae8e,0,16,0,16,24,37,16,26,1864,2177.68
3,1dfad89e70b40f49ea724bf274ac2561d033a7d3,1,6,0,5,0,1,0,0,538,386.3
4,b843f1851c334bd6019fe50a29dd6e460183f69d,1,6,0,0,0,0,0,0,538,118.24
5,717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,0,22,0,19,74,51,0,10,1441,1914.74
6,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,5,0,0,0,0,0,0,0,0,320.08
7,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,1,0,1,0,2,0,0,102,102.49
8,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,1,0,0,0,0,0,0,102,21.01
9,ffbc7e177bca0a84d892514b138d6d208a87f64f,11,7,10,0,0,103,9,14,538,1615.85
10,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,1,5,5,0,16,3,5,8,417,737.61
11,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,3,0,2,18,0,12,25,101,286.67
12,fcf2afebfb123527f2a72be2392efb35c45ceb2a,0,25,0,19,9,7,0,0,2664,1587.18
13,03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,0,1,0,1,6,1,6,7,76,273.89
14,290c6a92260ed47abf88f7c701b22fa25b633cbf,0,1,0,1,0,0,0,0,0,18.09
15,3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,0,1,0,1,0,0,0,0,0,18.66
16,d224c48e136ef290dbf40dee8e29b21032922a31,0,1,0,1,0,0,0,0,58,82.58
17,6f52786e44bffd08973fc8a3a45e4a176f53ca41,0,4,0,4,3,3,0,0,289,314.72
18,78cee55f0fc0c43885fc2254e2b14939e17224ee,0,1,0,0,0,0,0,0,132,33.36
19,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,1,4,0,4,37,39,0,9,455,620.65
20,0558b39878360dade9baf0d3bdc2256ee38e396a,0,1,0,1,0,2,2,6,20,166.26
21,ade23c2c463f248e6cdf30e80643abe3bb332eb3,0,0,0,0,0,0,0,0,0,6.94
22,ad802effff6a33ee7f83bb50a1099eae3c697956,0,5,0,5,0,17,4,16,1191,1030.04
23,19b933c7552f94cebb57bcd82e69a43cec9fc803,0,4,0,2,44,27,12,20,342,521.04
24,058f5ec785c29a580216c12faab9bd7f320efdf2,0,1,0,1,0,12,0,0,589,337.86
25,b5e21190354a1f5a8438902f0ba36d4365c28c5a,0,1,0,1,0,1,0,2,319,256.35
26,33eda2a6ab654e501c149adf8810cef83e3491e7,4,22,0,19,69,69,0,0,3382,2299.5
27,2f8a5a4df0e2ffbd477909ace0f4c57e4f2fe2d3,0,4,0,1,39,0,2,14,1148,390.9
28,40bbce2e97083ad4b766d783281b02228c476035,0,2,0,1,14,7,4,13,439,356.58
29,5c46e10e5c78a697f054d85d48b066c3f8fa8911,0,2,0,1,0,17,1,4,372,254.64
30,ad3a3d6f68887a6a9ff4d7ecb833f5e4d982c4c6,1,5,0,3,34,26,2,25,494,693.05
31,a9cd8d18f8a6b67a39212138f85d93ef6d79aefa,0,1,0,1,33,0,0,2,575,362.45
32,c32ad03289a65039dc694861fd456f5815ec9e71,0,1,0,0,1,0,0,0,299,119.65
33,991844b95a54903c4b8d07dad219b7e34cf9115f,0,1,0,0,4,0,0,5,132,94.24
34,94afc4b3c4d19404fb03da7a8846cf4543197f6f,1,1,0,0,41,60,1,11,44,216.17
35,af9289d75b047b38f2b4c53f785940c37b431d01,0,1,0,0,0,0,0,0,85,22.96
36,8164cf97af1888f9677975f7086b02c51f6ae253,0,1,0,1,0,0,0,0,0,15.69
37,d377efc3b3ff0dc792e694c00289ec80340deac0,0,1,0,0,0,0,0,0,20,16.02
38,db604f7d749374ca56eca33dcf9129cf6d034291,0,3,0,3,16,13,7,10,267,348.16
39,106566cd53d391fa99b3cf82fe1d70aa2acf693d,1,0,0,0,0,0,0,0,0,82.03
40,5a906dedb3d3c0300b8165bb0a31df087a3e1860,0,6,0,0,2,0,0,0,468,158.28
41,a790a6bcd8dbd2314cc1e01bf922adb87f4a977e,0,0,0,0,0,0,0,0,0,5.67
42,4db616f96612173258550fed83518d9455308085,0,2,0,0,0,1,0,0,157,61.52
43,d89ffca1e3a9ff53756914c45241234501435b1a,0,8,0,8,0,0,0,0,515,360.03
44,ff6ce7a99e9ab065c6a705e1720967c7cd22978b,0,7,0,4,0,0,0,0,334,125.87
45,937c81b48cebe1f047ddc6c30d1e6f9846de5833,0,9,0,5,0,0,0,0,853,387.98
46,7ddf336b84c89ebf58ac25696f1aa49c7c39f20e,0,1,0,1,0,0,0,0,92,71.03
47,71f23deff26349f2cb650db128ffb850dc75741b,0,5,0,5,0,0,0,0,433,297.33
48,ce0325c3d9e456265ae78effa23d82e6f378909b,0,11,0,6,0,0,0,0,233,189.3
49,f06f1959d8c8a2b9ff09a269b459b1b06867f2f6,2,9,0,3,35,13,14,31,1507,985.07
50,fc128deffd2ef57f9de46cf9da247bfafa9898d7,5,10,1,4,4,15,0,3,1259,876.2
51,d864723baa3696a30e7cfd0816e3f452e3a17de7,0,7,0,0,22,39,2,0,928,361.73
52,bda4f9385210cf981b8c6b4626dba49ca6f68f3b,0,1,0,0,0,0,0,0,92,27.91
53,b91c8192472605010747c424acbfc902bf097659,0,12,0,3,120,3,10,21,835,748.19
54,dd6162c361dceea4bafedda3c11f78af366d9cab,0,6,0,0,0,43,0,0,132,207.3
55,49db2ba8e846f29b116799ddae69c5434001755e,0,11,0,2,107,149,9,21,1768,1105.88
56,9d1c38eabe0932682a1da8d7bd8442b563a4d3a4,0,1,0,0,0,0,0,0,307,58.52
57,b0d572990477a1db22ca08b325a285991875822d,0,4,0,0,134,22,0,3,409,313.33
58,a6a1af411a23b2998218a202feaaea28805d25ef,2,1,0,0,0,0,0,0,301,170.58
59,db4ee7270f1f714ec38450e5011b95138785f88b,1,4,0,0,29,2,6,16,751,392.68
60,9e12c3ce0f368c9bd76090c6c9871a417c4d7760,0,11,0,0,62,55,22,21,1127,831.47
61,e50e1ec768c6fba6f07ca183711761c0b9ff8717,0,10,0,4,14,111,3,2,1732,815.15
62,f56fb85529a00eac1d8bb5d3dcc004715b9b019b,0,11,0,7,27,0,3,3,810,709.22
63,7c10d4284811e000e8aa1c39780ddf44c60f1170,0,12,0,4,5,5,1,0,743,346.25
64,8d3861fdcff77f3fbab70247995df8eb410b04d6,1,11,0,4,53,9,6,24,1264,1056.02
65,777f7aea2b4504b67aaf64158ad4cce751b494da,3,2,0,1,4,0,0,0,191,472.86
66,33252df8fd56096055225328b9721485438356ce,1,18,0,8,0,42,0,0,1309,798.48
67,f850e77d4ba974eab8ec51636ac58a90ab472d40,0,1,0,0,0,0,0,0,31,13.15
68,d9a2914d0c3fc866e16a2cc4b67f83198a71a16c,0,1,0,0,0,0,0,0,55,17.59
69,6035b3dd181b5143f9c95b223d2e81cdfe285bca,0,2,0,2,191,191,0,0,14,371.63
70,b7da564a568c38d7d2f8c43dd4388892eb2def3c,0,1,0,0,0,0,0,0,205,38.51
71,558f8e80b761c53e1dde10c07d84cc486feb6711,0,1,0,0,3,0,0,2,132,143.32
72,a962be010651a5a21d9e30fa23a58be9b20951d6,0,1,0,0,0,0,0,0,6,13.34
73,62e9820fdea79c82163031e8d415e5fe7a11f98c,1,0,0,0,0,0,0,0,0,111.07
74,cc7c32127d0419ddddadba4864ac123f0f2c0845,0,2,0,0,7,0,0,0,159,133.85
75,0ab06d2c21f28200b4aa303fe52bc02e97d29790,0,1,0,0,0,0,0,0,359,57.68
76,25bf5dc8be5cd2ae6459a543b27893c61eaa5c8a,3,0,0,0,0,0,0,0,0,228.94
77,c59afdfdb62efc1aff6d0d78e49818d0455556d1,1,2,0,2,24,10,1,0,30,282.81
78,f51cd18f807308dfca8b92d64d3d65aab8155786,2,0,0,0,0,0,0,0,0,114.46
79,23c0a8711807460e7eb059333ae76e120c0c91f8,0,5,0,2,0,0,0,0,654,226.77
80,a4ec025e609f850e3285f23c46985959976a386f,1,0,0,0,0,0,0,0,0,76.19
81,cb1e77871fc50ab40e010d5ce4d4ca1dd74f5f4e,0,1,0,0,0,1,0,0,94,49.81
82,59a383cde2cbe84f6235fd17afbaab28db9a1169,2,1,0,1,55,6,1,21,223,551.74
83,f90d0575df79362c4f719a70e8d46bb1d0d9d29f,18,3,15,2,0,0,0,0,273,1983.09
84,f32d3ca3ee781946a4d87909917af4f50fcc0c56,0,11,0,9,7,45,6,9,949,1136.53
85,d4e9af3971d2462690ce3e8d18b55e162d8c5691,0,1,0,0,0,0,0,0,153,36.32
86,f05dc535c83768fc6a8c91e290b0d723f02a49c2,0,13,0,9,77,77,0,0,489,364.12
87,d5c7493124f49b06ed5fea518a764c9665be2380,0,4,3,0,0,0,0,0,318,184.93
88,ae110453452322675913d911c9cea522c03ad434,4,0,0,0,0,0,0,0,0,254.5
89,1d908cbcefe5b9e02a1def42a2cf4ec9b930987a,1,11,0,7,24,10,3,7,1033,917.02
90,c54d769f41354da7fd2953ac3d7eaea2b1ab568a,0,1,0,0,2,0,0,0,42,130.52
91,3b219b1f33d1cde3b72012029a0f0cfd0145ef28,1,2,0,0,52,7,0,5,124,225.57
92,47e2ecc2f615230a3f9620286030f45e2ef76a7d,0,2,0,1,12,11,0,0,146,141.1
93,f412988a18f8dea85fb34935b24159124ec27c1c,0,2,0,1,9,1,4,1,257,257.84
94,a95dd4ac8c508926f6d70f76073a63d4662ed2b5,1,13,0,0,166,108,16,60,2887,1580.44
95,4ef753d4aa8e69e341653513c61d18d8d08fe424,0,2,0,2,0,0,0,0,118,103.6
96,016e2c83f358f10daa5d89eb0dedbdc3e6ba2fa4,0,2,0,0,4,0,0,4,293,195.12
97,1fe936076aa5274125328761308ae5d72e4de5c1,0,1,0,0,1,0,0,1,36,72.21
98,ab960f264f4ce2cdbe130c0c5b83d20e05c42823,0,1,0,0,1,0,0,0,301,91.68
99,f4efd998e53d8d715c6eafbd41892244a6c1a7a9,0,2,0,1,26,22,2,11,127,240.34
100,5dcf6f4f773555797e9b4a18904a66de8bba4561,3,1,0,0,52,150,60,89,457,423.75
101,bdc5e5d3452e9d0d07004ad18c146bd152b137c8,0,1,0,1,4,0,0,2,189,167.37
102,daecab83a2212f1f3fd1e0b3809bad80be7caa6a,0,9,0,3,91,0,0,1,1410,626.0
103,2e700e98735802563c9d1408d6f44154a2ed2bab,0,2,0,0,2,0,1,2,153,130.19
104,1761b5ce4719e5948ff98af8ca1eb358cf98327f,0,2,0,1,145,150,8,12,119,403.83
105,e01366aba32a0ae5c8effad7a43575f5f7b5771a,0,1,0,0,32,1,0,1,70,114.01
106,1f1d293c3728f7156bcbde91ec164e42afc06d92,0,1,0,0,17,0,0,0,26,63.15
