idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,62f30afabae369ce4a81e03457ee5999c59b9fb0,0,3,0,3,10,1,0,3,300,768.67
1,816369425177cedc696f93b6daeedc31e601dd52,0,3,0,0,0,0,0,0,310,68.85
2,944511cfc3ea634b0e9f6cabcf3deb630d25ae8e,0,16,0,16,27,29,0,29,1339,1704.57
3,1dfad89e70b40f49ea724bf274ac2561d033a7d3,1,6,0,5,0,1,0,0,375,289.75
4,b843f1851c334bd6019fe50a29dd6e460183f69d,1,6,0,0,0,0,0,0,375,99.37
5,717a37751aa46a8fcd8b46ec5a0c92d7ac43198d,0,22,0,19,51,33,0,2,952,1363.63
6,7ddfb16a047c6de2e8a7f7be6ac43bf66e248e39,5,0,0,0,0,0,0,0,0,261.57
7,4cdb77107316f9ece891a9b5781ecf4c10fcb041,0,1,0,1,0,3,0,0,61,77.42
8,5cf06bdfb63382cef07b26db0a63045e0e3004de,0,1,0,0,0,0,0,0,61,19.61
9,ffbc7e177bca0a84d892514b138d6d208a87f64f,11,7,10,0,0,77,0,5,347,10871.47
10,54ee5fa3d278fbfd4ee6850b6e20d04d0d10aea5,1,5,5,0,10,1,0,5,294,663.69
11,e5a3a59b33d4d5877588e159db2f5bcea6bad7f4,0,3,0,2,21,0,0,20,81,264.01
12,fcf2afebfb123527f2a72be2392efb35c45ceb2a,0,25,0,19,8,5,0,0,2140,1328.22
13,03ce1925cde3637bf51209da8d0a9dbf9fbb4eab,0,1,0,1,6,1,0,2,52,161.43
14,290c6a92260ed47abf88f7c701b22fa25b633cbf,0,1,0,1,0,0,0,0,0,16.57
15,3d19b6c24b60bdb8147d1b9f04184cb56a5e74d7,0,1,0,1,0,0,0,0,0,13.78
16,d224c48e136ef290dbf40dee8e29b21032922a31,0,1,0,1,0,0,0,0,44,40.65
17,6f52786e44bffd08973fc8a3a45e4a176f53ca41,0,4,0,4,1,1,0,0,202,224.49
18,78cee55f0fc0c43885fc2254e2b14939e17224ee,0,1,0,0,0,0,0,0,98,33.59
19,6b360ebff0da7eaf5551bd6c0542a71b95efacf0,1,4,0,4,31,48,0,10,368,525.36
20,0558b39878360dade9baf0d3bdc2256ee38e396a,0,1,0,1,0,1,0,2,9,96.26
21,ade23c2c463f248e6cdf30e80643abe3bb332eb3,0,0,0,0,0,0,0,0,0,5.91
22,ad802effff6a33ee7f83bb50a1099eae3c697956,0,5,0,5,0,18,0,13,969,728.41
23,19b933c7552f94cebb57bcd82e69a43cec9fc803,0,4,0,2,46,30,0,17,291,358.44
24,058f5ec785c29a580216c12faab9bd7f320efdf2,0,1,0,1,0,16,0,0,548,272.24
25,b5e21190354a1f5a8438902f0ba36d4365c28c5a,0,1,0,1,0,1,0,1,274,180.66
26,33eda2a6ab654e501c149adf8810cef83e3491e7,4,22,0,19,36,36,0,0,2792,1732.86
27,2f8a5a4df0e2ffbd477909ace0f4c57e4f2fe2d3,0,4,0,1,33,0,0,11,969,311.47
28,40bbce2e97083ad4b766d783281b02228c476035,0,2,0,1,16,3,0,11,398,283.23
29,5c46e10e5c78a697f054d85d48b066c3f8fa8911,0,2,0,1,0,16,0,4,319,178.9
30,ad3a3d6f68887a6a9ff4d7ecb833f5e4d982c4c6,1,5,0,3,30,18,0,25,435,583.81
31,a9cd8d18f8a6b67a39212138f85d93ef6d79aefa,0,1,0,1,38,0,0,0,500,220.23
32,c32ad03289a65039dc694861fd456f5815ec9e71,0,1,0,0,1,0,0,0,267,75.39
33,991844b95a54903c4b8d07dad219b7e34cf9115f,0,1,0,0,4,0,0,3,98,89.25
34,94afc4b3c4d19404fb03da7a8846cf4543197f6f,1,1,0,0,36,41,0,10,30,175.29
35,af9289d75b047b38f2b4c53f785940c37b431d01,0,1,0,0,0,0,0,0,66,18.34
36,8164cf97af1888f9677975f7086b02c51f6ae253,0,1,0,1,0,0,0,0,0,14.48
37,d377efc3b3ff0dc792e694c00289ec80340deac0,0,1,0,0,0,0,0,0,9,12.0
38,db604f7d749374ca56eca33dcf9129cf6d034291,0,3,0,3,21,8,0,15,249,258.36
39,106566cd53d391fa99b3cf82fe1d70aa2acf693d,1,0,0,0,0,0,0,0,0,71.25
40,5a906dedb3d3c0300b8165bb0a31df087a3e1860,0,6,0,0,2,0,0,0,304,134.23
41,a790a6bcd8dbd2314cc1e01bf922adb87f4a977e,0,0,0,0,0,0,0,0,0,5.89
42,4db616f96612173258550fed83518d9455308085,0,2,0,0,0,1,0,0,122,58.07
43,d89ffca1e3a9ff53756914c45241234501435b1a,0,8,0,8,0,0,0,0,271,270.93
44,ff6ce7a99e9ab065c6a705e1720967c7cd22978b,0,7,0,4,0,0,0,0,177,110.77
45,937c81b48cebe1f047ddc6c30d1e6f9846de5833,0,9,0,5,0,0,0,0,660,298.33
46,7ddf336b84c89ebf58ac25696f1aa49c7c39f20e,0,1,0,1,0,0,0,0,64,56.99
47,71f23deff26349f2cb650db128ffb850dc75741b,0,5,0,5,0,0,0,0,335,204.65
48,ce0325c3d9e456265ae78effa23d82e6f378909b,0,11,0,6,0,0,0,0,101,133.03
49,f06f1959d8c8a2b9ff09a269b459b1b06867f2f6,2,9,0,3,34,14,0,35,1302,780.36
50,fc128deffd2ef57f9de46cf9da247bfafa9898d7,5,10,1,4,1,7,0,0,970,704.89
51,d864723baa3696a30e7cfd0816e3f452e3a17de7,0,7,0,0,13,36,0,0,792,324.02
52,bda4f9385210cf981b8c6b4626dba49ca6f68f3b,0,1,0,0,0,0,0,0,64,21.61
53,b91c8192472605010747c424acbfc902bf097659,0,12,0,3,92,1,0,17,639,522.35
54,dd6162c361dceea4bafedda3c11f78af366d9cab,0,6,0,0,0,28,0,0,68,182.45
55,49db2ba8e846f29b116799ddae69c5434001755e,0,11,0,2,91,129,0,19,1535,795.24
56,9d1c38eabe0932682a1da8d7bd8442b563a4d3a4,0,1,0,0,0,0,0,0,264,45.46
57,b0d572990477a1db22ca08b325a285991875822d,0,4,0,0,100,1,0,4,338,229.54
58,a6a1af411a23b2998218a202feaaea28805d25ef,2,1,0,0,0,0,0,0,261,169.21
59,db4ee7270f1f714ec38450e5011b95138785f88b,1,4,0,0,39,2,0,11,663,325.37
60,9e12c3ce0f368c9bd76090c6c9871a417c4d7760,0,11,0,0,55,58,0,15,852,487.66
61,e50e1ec768c6fba6f07ca183711761c0b9ff8717,0,10,0,4,17,58,0,12,1425,791.5
62,f56fb85529a00eac1d8bb5d3dcc004715b9b019b,0,11,0,7,18,0,0,2,619,534.93
63,7c10d4284811e000e8aa1c39780ddf44c60f1170,0,12,0,4,4,3,0,0,603,278.5
