idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,a322a829a586cf03685152f06cc7025d66062202,0,1,0,1,0,0,0,0,18,328.58
1,8169b159895f5f727287f6dff351e61569d03f48,1,0,0,0,0,0,0,0,0,84.82
2,a93ff66772451264ef054ed19e98448d3f01953b,0,1,0,0,0,0,0,0,18,39.2
3,fae44a3dbc26273587a40250d4fa94ff8b2c22a9,0,1,0,0,0,0,0,0,18,51.24
4,87578c39d8d55b8eab63b497391eed80b50120f4,0,1,0,1,9,0,0,0,183,204.67
5,b9a41b6d1eb59897187c91fbb45526ef347fdeae,0,1,0,0,12,0,0,0,192,83.82
6,e7619d322d9d735e947756cf5c87917e1e7921b2,0,6,0,5,8,0,0,0,410,386.71
7,82661774a6c5e65d33ab2e7f3c830026c0556f4d,0,6,0,4,6,2,0,0,738,560.56
8,1b3f8b9f8a7432daa6f9b49f4a703fa1097e96c4,0,2,0,0,0,0,0,0,253,97.63
9,8b51c36c2360acfbbe7b2b572121f6d447b82a07,0,1,0,1,3,0,0,0,3,45.54
10,6ba7af92409900eb55e0dd46c9b71ea535357feb,0,3,0,2,1,1,0,0,127,91.61
11,f9687e8b03815eb10e960906263f058524e5b880,0,2,0,1,2,0,0,0,75,95.08
12,422e8974e233d8e687d9be6bc5f75743478980be,0,1,0,0,1,0,0,0,128,52.2
13,192b631e7be302ecde822546ba70a9853ddbda01,0,2,0,0,0,0,0,0,77,43.27
14,192543f43bf728e3ed887744fa0fcaf33dc460ed,0,2,0,0,0,0,0,0,77,41.95
15,bbadbfd40824d8491df547a8b20f790830ee94a7,0,2,0,0,0,0,0,0,364,82.11
16,a6ee72a353768d98a43c2f0bd3ac3b1546414b91,0,1,0,0,1,0,0,0,129,65.38
17,af40753aee0a0369706de26c0ab8dd5c7bd0b95c,0,2,0,0,3,0,0,0,365,122.61
18,535bf948c749b427e8a1b0e87f4af2e80165fe60,0,3,0,1,19,0,0,0,275,156.33
19,9d244e987eb3611331b3cbebb1e936ae5e70862e,0,1,0,0,0,5,0,7,235,108.69
20,d686ebbc47931e3063ce7202ade17327f12fb5d8,0,4,0,1,9,4,0,11,303,206.95
21,8dcc001e4e0cdc059daa0fd2e1ebcc1bd30bf222,2,3,0,0,0,0,0,0,305,146.99
22,e71542f9a8ed01a1ef4e21a53482a0fd2d54b62f,0,1,0,0,13,0,0,0,22,56.61
23,45504114aa13670726bd204e29c3e5a8bdc356f4,0,3,0,0,10,6,0,4,431,206.01
24,65f8c34b408ec4ca6ce16f35dfd47dbb100f978e,0,2,0,0,0,0,0,0,372,81.94
25,51286f1559f59473a50379eea8ac4e4fac34f0f1,0,2,0,0,21,0,0,0,372,133.6
26,698df9f5b0816e05bbf97a390428f8ef94e0cdbf,0,6,0,0,9,0,0,0,775,322.05
27,eb885b0bdbf61bb0a8f37bc4dd4248c4beb9d2e3,0,1,0,0,0,0,0,0,256,52.86
28,f604e00970231c359771075b86642ea275c5bf1f,3,4,0,1,32,15,0,3,301,314.02
29,d1963f1be79aeb0dca8aa012659f725e1ffc96f9,0,11,0,6,27,1,0,3,556,409.16
30,4fb3f2922e3aef0c494c315241826a7c9cb8e371,0,1,0,1,7,0,0,0,75,89.38
31,e2c6289ab695e2b52dc9dd67338a05142219fed3,1,0,0,0,0,0,0,0,0,37.16
32,76636a8b0f9ffc07cbb5dc758ed30d413a084c76,1,3,0,0,0,0,0,0,310,111.78
33,f7ff091a963c69a24f554581e2d3444cee0b3877,1,3,0,0,1,0,0,0,310,128.06
34,34d9b8096cbc92714295ce6c681bc8082934a399,0,2,0,1,19,0,0,0,23,82.87
35,3bf1171e37bb8e093687f4aa5cbd2e8009c1adaa,0,3,0,0,13,0,0,0,366,119.94
36,198bddc586a97a05e26c146541bf46b7aade1730,0,2,0,0,14,0,0,0,403,130.53
37,797fdd674036b65151138b10aecb475c8b26a9f5,0,3,0,0,31,1,0,1,386,184.98
38,ea53eef5ce6a983fc8d35ccfe4bfeff0e6d9c65c,0,1,0,1,2,0,0,0,0,32.04
39,44ef41e36b833081ab4a689170a4871ccabe7aaa,0,1,0,0,2,0,0,0,33,34.8
40,b8cd37938ed7a1779294f8f5da01b4e4675e9f9a,0,8,0,6,13,4,0,4,364,274.7
41,0bb5a5fd890ad6ca46694555b208d3c30328e879,0,3,0,1,3,3,0,0,1,70.57
42,28fb7a567bcd349164067b330a4c3225894071e4,0,3,0,0,38,0,0,2,347,142.85
43,5a787ab2b618731249d84b9fe612924d27d5edfb,0,2,0,0,8,4,0,1,350,139.2
44,1dc96b90f0612ad2642a415227379e02c48a4e5e,0,1,0,0,5,0,0,0,151,65.84
45,f53518d75b28e0e796c2910fbeda51989233a5cf,1,0,0,0,0,0,0,0,0,44.97
46,1118237196e19816492fe64a21f6509c1c78d892,0,2,0,0,20,0,0,2,358,137.26
47,5bc34028c9e802c2219c670dbabfb7aebb91584e,0,1,0,0,1,0,0,0,156,63.45
48,9fa095a4774516bba3a725246afdc8b7d44ccbd9,0,2,0,0,5,0,0,0,423,122.59
49,c8d36fce6c447b6a861d929e6fd222bd621f532c,0,1,0,0,0,1,0,0,161,56.55
50,acdd96311f3ed570443e8ff839606b0c1bcd4666,0,4,0,1,21,0,0,3,452,185.48
51,3ebd65a22530b0a8216ad4457d1ee6a8108cbe1c,0,3,0,1,4,1,0,0,260,149.71
52,cd84934930f011c6787c0cf52be437db18d88656,0,1,0,0,0,0,0,0,29,15.73
53,3a0e164308dbf76322cc7473f6181694ca7e4867,0,2,0,0,8,0,0,1,502,164.41
54,ecce4047414cafb254541307247c8d9101646609,0,2,0,0,8,0,0,1,401,125.94
55,c4eeee65c9e525b823a407ecae31219f3328241c,2,5,0,2,14,0,0,0,229,271.16
56,488bd06ca39a9b38166b173c14779eea761a9c8b,0,3,0,0,97,0,0,7,458,191.58
57,d0f22e3e9bc9d5bba803c06b2953e95176685dc0,2,17,0,8,108,16,0,14,941,788.02
58,e38d71166fc8cd7ebb7217fd4b7d7465a10b6d7c,0,2,0,0,15,0,0,2,426,126.87
59,508ae5fd99ab1307043918ffd4b1c87de9af9f6f,0,1,0,0,16,0,0,0,166,69.28
60,27b550493debc84f9b5584bab85018126c00e956,0,2,0,0,5,1,0,0,263,105.51
61,901b3294774cdd73c5591233f01a9b2f875310ae,0,1,0,0,0,4,0,5,432,116.19
62,aafff1d384f611a66edd1b95108502c27789e2cc,0,4,0,0,8,0,0,0,610,226.8
63,a30c3cc287de122be0d31cb7e974c063c74ac04d,0,3,0,0,33,4,0,1,521,233.56
64,ac25c02414dfa1ee48e0450f921fe95a677df7d3,0,1,0,0,3,0,0,0,294,76.6
65,a0ed26028c87342036eafb46d9e51d6d1dd0405d,0,2,0,0,9,8,0,0,307,124.92
66,57af1390271670c354511a8e949fa0629aa9b243,0,1,0,0,0,0,0,0,432,72.55
67,b1666e2150bc34e33fab0d3d83d1c1bf3249c62f,0,4,0,0,8,3,0,2,379,171.79
68,7444652de672344da40a46c6b7846f82aa8ee015,0,1,0,0,0,3,0,1,217,65.46
69,40f82da1eadd6d55ce0473f254bf7760fca6d3b4,1,4,0,1,3,0,0,2,513,178.84
