idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,4ba4f741d159e83fffe40b0d6ced5ce3f15619f4,5,0,0,0,0,0,0,0,0,2895.32
1,95a0db602b2e0606af11d666d9d10d64766f9ecf,17,0,0,0,0,0,0,0,0,11109.36
2,27abcf0b08d38378bd0fd736d916e32e0d027d3e,17,0,0,0,0,0,0,0,0,10367.2
3,29aecea97dc64aebe8e0a44ec7f7de5f663bd404,4,44,0,40,2809,679,19,374,122920,59844.17
4,db8964c1a56e5909b5d8155ca199bd5e61e5f87d,0,0,3,0,0,0,0,0,0,578.43
5,99965c02430ac460a3740aec4dd6965886c9b42e,1,7,0,4,466,112,1,44,26288,8100.42
6,929b608db6d6f6dd6e5d5ea7cb795bc08ddf3018,0,1,0,1,69,75,0,1,1285,1145.78
7,63c97f010c4cbc0de959610f0bf0c0c3c2a9fcaa,0,1,0,1,83,134,3,12,464,1103.59
8,1cb5af11d1c787e2246fb21907b95b4926fa8176,0,1,0,1,2,31,0,3,5853,1778.52
9,1ada062e4b3c5dfdac7c4aec6447316eee686013,2,6,0,5,96,225,3,17,27684,8528.59
10,bc9fac495f8275e5f0316aca9f6c0b8d759ec7ad,0,3,0,0,9,64,2,2,13936,2121.95
11,27797be59d64ea21280e29220686daa876dd6ab1,0,6,0,2,1286,654,7,42,30567,5663.98
12,39fe461491af7767d4889757420527cec798fca3,2,0,0,0,0,0,0,0,0,869.24
13,4b9e2f0836510d007bb9ddaecb516ff292c67f8b,0,6,0,2,238,32,2,34,26227,5186.36
14,f652fefcf7b37a7b4fff44be57e4dbbb9bf59b30,0,13,0,6,753,196,3,75,48030,11736.74
15,7540ce19b2422f2d881cf68ebfd1f1c1415f0f36,0,1,0,0,26,2,2,9,4389,818.94
16,1c1655b80e08c25a79122d571d3057c7170debf8,0,2,0,0,47,14,0,3,307,970.17
17,93d10f28f3deae4eea2c2a915c82980d71329976,0,1,0,0,11,6,4,37,4409,836.73
18,124446ae274dc366a779369605c584ecceda91a4,3,6,0,6,766,125,1,25,2636,7281.04
19,cb3672e3d6f4cc6997acad9efb6447d3c487028f,0,0,1,0,0,0,0,0,0,116.15
20,35064be7aecac6e938d39a6c9d6eb581aba46763,0,1,0,0,0,0,0,0,13737,1346.66
21,d2ca899d5e271205a8c5536249e9892706e46b09,1,2,0,1,20,0,0,0,4880,2085.01
22,613273e5fdb7746d84c8323ec1475f9b22c0b7b2,2,6,0,0,183,77,8,132,7858,20516.33
23,16aa60e5ff3b783888c08f5cc3c5fd18f37a5889,1,3,0,2,289,9,2,17,2797,3063.4
24,a8ea62b8f0717a3c6650d1b93f0e2f253aaf52fc,0,1,0,0,8,0,0,2,6737,868.86
25,f551b3b8e5a41a638e7ad12625c3f9c1cd1e575d,0,1,0,1,19,0,0,3,4449,1489.31
26,f58775d5c685d91b8dcca7d088de8d3e1a161edd,0,2,0,0,484,0,0,10,17849,1975.98
27,b010deca84339d6b6bf863b46af41aa241064ca6,0,3,0,1,74,0,0,0,15111,2628.21
28,56d8d7e471dbae9c206e63a54342e11aaf8a312d,0,3,0,1,246,107,7,42,18250,3243.03
29,1cc275771e85d75855b6adb3a3d2c026fe20a9da,0,1,0,0,5,40,0,0,1052,545.23
30,8908133ce32d45edaab93ca46263a60e64f28cc2,0,9,0,3,939,476,4,151,33890,9771.0
31,cbe2a069e38ec4ffcb7f7735eb0345bab07ec9a2,0,3,0,3,26,6,0,0,7523,4686.66
32,9c3e5bd44167d3fd21054da0331c82f004d44dc6,1,9,0,2,34,1470,3,19,39431,10766.17
33,4ddd82414a8c8f8a47eac9662229dadd462fe1d0,1,2,1,2,69,60,0,50,9517,5055.09
34,843ac403d3bac14a341cad21d699a2f237f388f8,1,2,1,0,69,60,0,50,9517,2410.94
35,a16f922afc6e75b0cd012542a505b5cee598fd5b,0,3,0,1,72,63,3,50,9986,2941.21
36,9807968bed0df7084f4862c7929193cca1e0a729,0,1,0,0,12,0,0,0,4444,937.61
37,7e2c7b22877358296dbf3dd1d75aa345192764d4,0,1,0,0,60,40,1,26,6359,1094.1
38,2dc27d29bccd01dc0c6affb3a1c770eaeeec9823,0,14,0,9,147,52,0,102,36187,15549.27
39,89f9717258e9966fa0080c95cf35f682f66b4f97,0,2,0,0,10,10,0,0,18477,2587.2
40,fc86756283bcb230e5fc7261461d076453a36273,0,3,0,0,137,146,3,93,26075,4450.93
41,627f89b33a7272a9b0c894e8c9acb291adafe498,0,2,0,1,746,7,0,22,14339,2793.97
42,1d3b089fa0ff102d4d349f150139b7e536e8b016,0,2,0,1,384,0,0,0,6555,2241.38
43,7e2bf2e6a24d8a98785534b3c90aa2a3aa4f199f,2,38,1,0,0,0,0,0,123428,28257.77
44,f82cc23f5b1ed270f954f836bb78033854a4df6e,0,2,0,0,214,149,1,47,4354,1710.45
45,a51727dd8a5eb0972d13f51b9c6eef37b8a25991,0,6,0,1,129,29,1,13,20337,5926.02
46,5c6be25b7e4a5840914ee1a4ff66bd18fb053b90,0,3,0,0,51,28,0,11,21242,3332.43
47,474552fb260e8380a1074cb163322a67382da6ed,0,4,0,2,421,574,9,89,4806,3843.91
48,409eee88f71114274e14095501b38ee7d42105c5,3,3,0,0,26,2,0,0,14036,4115.71
49,102766c47c8ff9245c225d41c4756fb7bf86b6ab,2,2,0,1,10,23,0,0,2178,2745.39
50,5754a8cc09304fbc115d1f92f5aec0e55c4f7884,5,19,0,0,0,0,0,0,64856,16553.82
51,7746a78ef80f64335370196761d90f474c3a8df8,6,6,0,1,729,781,17,274,17008,7736.78
52,5a86a7c34c1390df4b94832a9eb3632d39eb5279,1,6,0,3,490,103,4,101,23400,7534.11
53,191e0c47e62a81353a9b098939340a21c36dab86,0,2,0,1,68,92,0,45,14261,2567.44
54,68a40a17513547875df87e6e612ac257e1009420,2,1,0,0,109,60,2,46,14097,2674.9
55,1616f49923fba76ee1f665abbeaa884db765ff16,1,8,0,3,1436,348,17,311,25945,9146.1
56,b25ffccd1cf1fc9eea642d7e439ec5b72f4f1c0c,0,1,0,0,8,0,0,0,2292,939.33
57,9724bcfeb312bddc407bff4f390ea31bc7ebf0c6,2,2,0,0,156,147,3,48,922,2403.06
58,9a14633020a24e6630aa96cf6033be6d96af5a99,0,1,0,0,147,10,4,6,428,714.87
59,bee153af281413662ee0c983e85f84251a8edc19,3,9,0,0,51,21,1,19,46212,10527.78
60,99a2267e7b50b7bc15441d91f6f38a2edef20a82,3,11,0,0,413,615,13,254,30195,9824.52
61,53ec15530122df746fa7c0d654adb1d8ca9bf3bb,2,12,0,0,908,418,13,109,50310,11921.65
62,8d01e499151a40e18df0bdcd414351ab13e998b4,0,2,0,0,24,6,0,1,3703,1638.5
63,4171c28379dc6a5970c6c8a566cc33555e4760f1,0,1,0,0,32,16,0,16,14209,1880.28
64,163e6dca7d6bbbd57088ae3e5be4b002bad8edfd,1,14,0,3,921,56,4,77,28826,25810.48
65,230cb36b8b7deab13d0a3b1a22a4cefeb45ab612,0,5,0,0,701,98,6,82,18430,4393.92
66,84f69ca6bb20bcb745e0aa1f6e83b97e91a1aef8,0,1,0,1,10,0,0,3,1865,1677.86
67,ec3edd2c8dcc9b380fed385be8711cf9d4f5e1ff,0,1,0,0,0,0,0,0,1872,740.02
68,f27adbb4c64d6c2c072d033e69cabd0d7b5a1fec,0,1,0,0,2,9,0,0,1863,814.15
69,c33374507739c9caedc87f9f2d6e47a6c9d9baf8,0,1,0,0,212,12,0,1,639,748.81
70,b906eb72a7ae4c83d0f39e5fb85b180e17a02994,1,7,0,1,154,176,10,161,25193,7368.88
71,2626fd61e83ea48f64c048e4bb2bdd3268c279b7,2,10,0,1,690,427,15,149,18946,9099.83
72,37a62f3eaa223d6a392757ead53e5694c4aa63a1,0,2,2,0,23,10,0,0,2178,1226.99
73,a5c822b0e64f194f233215d3ff95818393f359eb,0,2,0,0,107,19,0,16,2182,1196.86
74,97b0a474b4d785eb1f1a68e5d1a463e2636437af,1,17,0,0,265,121,2,97,52160,12706.19
75,1e9c6058fae3509408c7f483a2f2cdd8432e90cf,0,12,0,0,298,83,4,65,59069,11326.04
76,a966fd436cffcf203774856eb8406e59f364f597,1,5,0,0,1253,343,5,61,27533,5807.33
77,e4fdf9ae3e3e4e0f84e19c0f9f1ece8d3fdebb48,1,2,0,1,554,11,0,26,7234,2938.44
78,e7f903ea4d2fca17e4ddc77153f2e32d2fdf72f9,2,7,0,0,356,90,2,71,30941,6988.75
79,8d29e6c6f66bbddd98ebe19e57ad487eeb494aac,0,2,0,1,135,85,1,3,2002,1629.9
80,0809d3a98bab1499c4f0c9c4b12c0c2781947e66,0,2,0,0,44,0,0,0,2133,2104.55
81,060ee0096552e46d1c7774f4d566615f76899170,1,7,0,0,691,421,13,208,18769,6322.93
82,b7906a0d78360d6c2fa654489fb5fbca18ca2b18,0,2,0,0,26,12,0,0,21414,3017.5
83,95ec5ea88ba0da4d3aaa95ee51ddd0da8ea8f5ac,0,2,0,0,238,202,2,15,7434,1915.24
84,435032c31c0802f294b0432d22dbbeb0644da216,1,0,0,0,0,0,0,0,0,793.89
85,637a38a43dac2cc246a3e002b27bcc72f99a321a,2,5,0,0,519,30,6,29,28416,6136.87
86,ceb1c08a784b22fd0b1eb25cc303458b37de74a9,0,25,0,2,1222,281,11,130,52097,18902.89
87,83482aee55735d4b27e34f1b1a2ce932d7901235,0,3,0,3,0,24,0,0,2458,2753.13
88,6734001d20bc9831d1f5b2560e1f80df6d944377,0,3,0,2,46,26,3,6,7352,2645.44
89,4c0422d74a5ab590b5a3c89d434d20b2cd6a1c7d,0,8,0,0,509,296,11,155,41087,5981.5
90,ff8df01a578c3d6809668b596e8ec6da8f1cea87,0,2,0,0,12,7,0,1,5754,1192.86
91,cdbb724edbe093a02d4e2c24523001dcdff0ffd5,3,3,0,3,399,891,2,14,2306,13540.27
92,2847fa7f00883087f4357e7a4b20ca645cbb0373,3,2,0,0,400,113,0,21,1675,2459.39
93,cb434269c4d216723865dbf12ae8cc6ef88adca7,3,18,0,0,346,126,9,138,59125,12419.07
94,567ebb43baf5700e535914fefd3a0a45533511c7,1,11,0,0,260,89,7,9,15278,6588.91
95,63e473aa27ae53737ff5546689fcfabc23713942,0,2,0,0,210,20,2,21,3419,1217.24
96,d4c68fcaab9c143c94e17cab3289d1cd8a7701f4,0,2,0,0,80,175,7,63,19852,2357.99
97,8f7adefb143de24ce70b3ecadf138c18082d5759,0,1,0,0,8,208,2,0,6910,914.0
98,3617ed0badf8b16b4de56eabd950df7cf0986593,0,2,0,0,45,47,1,0,1877,1080.42
99,9487e92690307b32022c9f1f88f392332497f0fc,0,1,0,0,22,31,0,3,1277,624.57
100,be07610189ecc8c8d1ffd36c8caee22e1b85158b,0,1,0,0,32,36,0,35,2204,894.49
101,711e52c2addc58b0aec83f81ff85fbf3ccb1ed76,0,5,0,0,472,65,8,124,30267,4135.15
102,e10e7d55b095430ad186c3fd0a1fb5d15acf4bfb,0,1,0,0,1072,1171,32,424,7278,1060.66
103,06c0662c7fb733893bfd3cb4905c75502d40662a,0,4,0,0,773,83,5,78,11056,2492.79
104,825165d09a7c2f111cc215e02f892c3b5add4bf1,0,6,0,0,1139,215,4,231,32008,5151.39
105,24e39ad095dd42fd6ef42ccea4ecbdd7d84407db,4,8,0,3,499,2867,8,236,40098,13436.08
106,8f93a566bd3bf08268425ba86eb1aaa1c042e3de,0,8,0,0,885,286,6,176,47041,8283.0
107,9164c6319ec64adaba540760606d13a35495bacf,1,1,0,1,35,0,0,0,450,1765.81
108,9a37eff904ccacc040c4d2702a5dba5e5a225314,0,1,0,0,3,2,0,0,6918,1151.66
109,fe729c7b09dd1d0a1b8ad1a894ce2884d07c72e2,4,17,0,1,2712,1005,34,630,81181,18651.25
110,5317558fd50c3002fe3507e86a6d05f679444908,2,5,0,0,1000,9,0,0,11631,5207.93
111,0101a69538db2609de3d0140c7cf979355412801,1,4,0,0,257,2,0,0,20812,4332.17
112,3457898bd5f5785009c6591dbd04c9c7d3f06708,2,0,0,0,0,0,0,0,0,1184.04
113,08fae5f0248baaad35e8eb4cbb2cc96ba9e84a5f,1,3,0,0,368,173,6,95,17842,3787.58
114,1695ecd1a3bbdef1b6bb5d0c9246c42ec3e9a20f,2,4,0,4,873,525,10,113,12719,26729.4
115,0c03cd48d764dea3cba47dae073468d96564f948,0,3,1,0,87,339,0,60,17072,2855.82
116,f290fa4705e42de53d74560f7e946cdf9a694dae,0,3,0,0,496,132,0,86,23617,3550.38
117,6b53fe5f43204106c463ca4954586b89f9162c3b,0,1,0,0,3,1,0,0,153,536.72
118,ff85e557fc8f235f480234076f47231cdd8c5bfc,0,0,18,0,0,0,0,0,0,1107.21
119,2c6aa4eb2651181a9c701fece74cc20e91882804,0,1,0,0,40,217,4,32,4588,941.04
120,9e146f69a97696ccfd68b465758d72856f5b103b,0,2,0,0,285,8,2,38,4713,2395.55
121,ac44d450c5ae7a7c022854f450087865a13b7aa4,1,15,1,0,2544,653,30,442,58585,13075.66
122,c4b7ee0dcfe513982f6ae21e5c577f940246c0f6,0,5,0,0,33,35,1,17,27196,5081.46
123,d81962810c171d2449f516f80d69ea9fbeb0fcea,1,16,0,2,1001,533,8,95,55249,13759.84
124,89da84364ec751ff4afbeccfa6763f53b4c08a14,0,2,0,0,661,141,5,58,10302,1894.36
125,cc07fe635f3ba5d7abf7c8f1953fc46ea2f19dc5,1,11,0,2,1148,140,10,61,49271,10573.47
126,8cfd45906682b7a2a0e3cd73e9e852b2bceaa498,0,7,0,0,6,381,3,1,29843,5698.47
127,1462bcddb60d57bd030c62642d8e8f06eae21d39,0,1,0,0,5,0,0,0,836,563.08
128,8ca952015ee4dc495ff2c58ab6cc12f1e339bcb3,0,8,0,0,670,201,18,43,14673,5071.78
129,eee1658db697b2f18a6a1be1c655c5aa0760394d,1,13,0,1,856,457,13,120,52213,11115.96
130,c1a98ff71f58dc3d3aa2c6b51afe353cd508b24d,0,14,0,0,1513,255,6,99,55516,11411.7
131,860c65888594737516516dc0488b7dd170243396,0,14,0,0,318,1444,7,66,55525,15790.75
132,9b4c9b09d8c627fcbbe6992a613f9526fbb7a586,0,13,0,0,1517,255,5,98,50504,14826.92
133,570f68d6b8bbeb149ea568e3e9c33b42a47f8b21,0,5,0,0,320,96,3,22,39187,8829.67
134,89ec1c2c35d380e6ca2c822089b2cca6e99a80e3,0,1,0,0,0,12,0,0,15031,2456.65
135,f3a30a0da294b4c73d37c014f33b19034db6048b,3,0,0,0,0,0,0,0,0,2477.91
136,0c49b658444966ee7a6d7a8f1abc0b4a0217f214,0,1,0,0,21,0,0,0,2008,946.95
137,83b9a2e2d4a77a2e2c72564292c8d44d7b46621e,0,1,0,0,2,2,1,0,2943,1274.76
138,58f1184e1af04654a42993cf75d16df6d9e93db2,22,65,0,0,0,0,0,0,173035,77405.79
139,1882dba508f183da8833afb4794c35a4c3104951,0,6,0,0,49,715,1,17,20352,6707.78
140,f2809529a9d80906c53ae6931e84255f89ff1f8b,12,0,0,0,0,0,0,0,0,26053.13
141,2426d84a3a13421abb9f48c81e479e935733c3f8,0,4,0,0,23,89,2,15,14168,4685.44
142,7d68dfbe2f4b29cddb80b28af8733dbe4aa1cac3,0,1,0,0,11,1,0,8,4719,1295.45
143,41ed9906b3f33fbb2bc15be0b27ea745d7b2d5b5,0,1,0,0,0,0,0,0,4415,1348.58
144,3e9ba3584153a41b0ceaeecd72407bd1069b161a,2,0,0,0,0,0,0,0,0,1497.79
145,867a5de949b5bb8fe94356998f5974dad51dad55,0,2,0,0,141,17,0,16,10712,14811.47
146,4c05ea8ebfe437f72b86b1751e1fb006d81c7ed8,0,11,0,0,271,78,0,10,18126,20018.5
147,e514d8a589fca47c29682767ae1b90bb2b1e6ae7,0,1,0,0,10,12,0,3,836,929.28
148,3767907ef7a4f077543b195c69950c6344179332,1,0,0,0,0,0,0,0,0,746.18
149,de0ca02b5b3a4b765ec4795c9e24f4550ef1c2e0,0,4,0,0,812,68,1,13,1611,3092.11
150,b427c91856251fddb736bb05ba78cab5024a9884,0,4,0,0,250,11,0,19,7672,3543.9
151,f46fd3503744b580059ef9aa1710c4b4011e1044,0,3,0,0,77,9,0,17,8875,2945.38
152,1508e3d41345865141d1ec905c7f3240add41c33,0,9,0,0,615,318,5,58,35972,9686.58
153,57fe80c673eed7bc83ea37c24970b42f1451b35f,0,3,0,0,434,0,0,0,2878,2526.1
154,867a53a2c337f6774c7d84715ac038ca566a384f,0,1,0,0,14,0,0,0,15053,2111.87
155,335ca495bde6976cc0fe6f48727128dd964e0730,0,1,0,0,9,4,0,5,4783,1192.98
156,ed21d1372c8a8a2983224adbaeea2c837a846505,0,1,0,0,251,4,0,0,152,806.75
157,7a0855e20a346a9fa6a95b2114192a909632aab8,1,12,0,0,3047,202,12,304,58865,15324.13
158,7dd27ad5a5fa2453628c4c5be64dddab8b6aaa81,2,1,1,0,17,0,0,0,65,2503.01
159,4d6da77b6561cad1424a6bc65c13d85a26362182,0,1,0,0,17,2,0,3,15119,1847.35
160,8969fd33ade2e649aabed7a57f6cc36737f50310,0,3,0,0,444,5,1,21,3307,3546.26
161,8747d46d184a5764624131f0f9412602b3a24d9d,1,1,0,0,30,0,0,1,773,1590.23
162,ec91e4262b0a26a8d2ab919fee0c130e7ecf54f9,1,0,0,0,0,0,0,0,0,891.59
163,c3e0c68b956c304dc9646b5d138bcfa7e02ca59d,0,1,0,0,21,2,0,1,15134,2098.43
164,d9561504e39c44f49c13386b0424746691fcf62d,2,13,0,0,1580,18,6,29,57493,15669.94
165,0b592f0bd4c1ec906b1fa9f8cc309e2afbdacee0,0,12,0,2,213,163,0,3,29845,12524.65
166,3f371a0a644181b204111ee4e12c995fc7b5e5f5,12,5,0,3,727,581,13,116,5525,14180.18
167,f20b325c3847c66eff7e939b74a5a395553315d7,3,2,0,0,23,16,1,5,5281,3827.2
168,c08188db3363fa446cac8577bc1d5ef8f6c04d51,3,4,0,0,148,61,0,37,21587,6767.63
169,84c5d269fe273b72d4b7acf115d9881738a695fa,0,1,0,0,3,1,0,0,1114,933.43
170,e16df069dc4a900270793091b37c3e9a209de451,0,1,0,0,308,40,6,92,2883,1133.38
171,2341e792db185839aebf108c7b9fdd51f1f64f6a,0,1,0,0,8,0,0,0,2506,927.66
172,67dffa3e39c4fcd87ffa54835a46b3c0b1dabf8e,2,2,0,0,98,157,4,14,9761,3829.07
173,7a8456c35ce2d2997254eaa8c6fb30a2918eb020,0,2,0,0,387,9,1,1,8406,2224.41
174,412a50ddbaca8b7897635c50775abfd36720c802,0,1,0,1,12,2,2,2,889,1641.27
175,e0b79d862ba1da0631c73b31dda5128615290591,0,1,0,0,12,7,2,10,3182,1022.62
176,0f1ca03f68fb0f499f23a89ffeb43f06a79c9bf0,0,1,0,0,4,12,0,0,903,852.35
177,6e3aa3ec2b61c624588f5867962f24e412279e9e,0,1,0,0,69,30,0,8,674,786.22
178,3b82ca2014925a64489da25016281d25c2e53d15,0,2,0,0,95,31,0,21,803,1593.44
179,4e1de3ba196e30909c3086f72358c558802e2c17,7,19,0,4,403,278,2,34,70588,27486.04
180,2c8fe7cdc597fe767811bcbfb48f1dcc202f97cf,0,1,0,0,3,1,0,1,4069,1633.4
181,88c3f65400b01f2ce5c6d845eabbbbf2353313d6,1,7,0,0,417,4,0,30,40969,9504.07
182,a5064d41dab8aca2543ad253963831959fe754e8,0,5,0,3,62,36,0,0,3029,18776.82
183,96378c230b82f825b9d3088cfd1df87d16cfd125,1,1,0,0,0,1,0,0,4768,1899.35
184,840a048c6ba3baee718f61231aa1cedfa2ff868a,0,2,0,0,452,75,1,33,8004,2272.24
185,ae287fb2543d85286d4914ea83d681e27ce72697,0,9,0,2,288,149,4,57,43811,14026.53
186,67af435ee785b85c60fd2c50f822ca29941f2156,0,4,0,0,498,256,7,42,24326,5523.76
187,ca176f5f943ae32069afd452ed5eb571e89e6b2b,0,1,0,0,1,1,1,0,2268,1026.79
188,11234f313d7a265c88c921ae208707a8a4def791,0,1,0,0,179,8,0,0,499,914.21
189,e151872b22282c590286a4be3ec6b4500970da71,0,1,0,0,7,0,0,0,15237,2302.68
190,d2cdeeddea3a74a554a10451f5f1de06bb86e18a,0,1,0,0,45,0,0,0,17056,2412.06
191,fedcebb1a7139164ad199b87b72aba76acb4f8da,0,1,0,0,12,0,0,0,678,805.01
192,b6346d39e27d795849975cfc8fe97f8abb8de214,0,1,0,0,1,1,0,0,1031,872.12
193,b0c2cf8576fcde3748681d6cd02655f1464032c5,1,7,0,1,418,460,0,42,33611,9482.75
194,c344d269c457117eae9de38a6e91b60310f9a655,1,4,0,0,578,460,6,51,22512,7941.47
195,e8d9bf47ab0c461de204cd8e8facec676f4bbdd2,3,2,0,2,30,2015,0,0,472,6085.38
196,6e234f7079c5909ed1fa84be515f5c937d46253f,1,2,0,1,60,250,1,3,2225,3320.32
197,80c3909762cc73072a2da4bda2d7fc398b0a6684,0,1,0,0,36,0,0,0,1164,969.13
198,7307b66d9ce4fdd913a70df747180b069613cfbe,1,6,0,1,595,27,0,23,16079,7321.66
199,ad05d72a8d0abdbac38e64139befeff922bf9fe2,0,7,1,0,39,399,1,22,41225,8809.77
200,47526e7cc3562cf9552f20a03e563992a5b3607c,0,1,0,0,73,42,2,22,4160,1897.72
201,af9b730398463658ab4cfe41daa8ab0f98548627,1,7,0,0,701,28,2,125,9022,7255.45
202,c5fd3c44c2fcbbd3ec3c2cc5ce75e5105dce247a,0,2,0,0,24,66,1,1,16035,2883.78
203,d912542f7a8144570fda377dc39fca900f649904,0,1,0,0,14,9,0,0,9491,1626.4
204,a9bae999032d488d426daad8c3008e4ecc2fd58d,0,2,0,0,412,16,0,5,7380,2425.19
205,c09ec0d9455f53f74ddf59fc9824701ecaa14613,0,1,0,0,609,10,0,4,3707,1291.43
206,8bf59c1a84d0cec00bc945590d8eb857ac08b153,0,4,0,0,1332,0,0,2,21512,5214.95
