idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,4ba4f741d159e83fffe40b0d6ced5ce3f15619f4,5,0,0,0,0,0,0,0,0,1046.7
1,95a0db602b2e0606af11d666d9d10d64766f9ecf,17,0,0,0,0,0,0,0,0,2102.68
2,27abcf0b08d38378bd0fd736d916e32e0d027d3e,17,0,0,0,0,0,0,0,0,1301.48
3,29aecea97dc64aebe8e0a44ec7f7de5f663bd404,4,44,0,40,534,330,218,80,12513,8493.26
4,db8964c1a56e5909b5d8155ca199bd5e61e5f87d,0,0,3,0,0,0,0,0,0,138.02
5,99965c02430ac460a3740aec4dd6965886c9b42e,1,7,0,4,41,5,30,12,2822,959.09
6,929b608db6d6f6dd6e5d5ea7cb795bc08ddf3018,0,1,0,1,3,0,29,1,156,227.16
7,63c97f010c4cbc0de959610f0bf0c0c3c2a9fcaa,0,1,0,1,1,4,8,1,38,180.96
8,1cb5af11d1c787e2246fb21907b95b4926fa8176,0,1,0,1,0,4,0,0,470,284.16
9,1ada062e4b3c5dfdac7c4aec6447316eee686013,2,6,0,5,0,19,13,0,3392,1053.17
10,bc9fac495f8275e5f0316aca9f6c0b8d759ec7ad,0,3,0,0,1,8,7,3,1894,330.37
11,27797be59d64ea21280e29220686daa876dd6ab1,0,6,0,2,412,282,62,30,2847,953.08
12,39fe461491af7767d4889757420527cec798fca3,2,0,0,0,0,0,0,0,0,182.71
13,4b9e2f0836510d007bb9ddaecb516ff292c67f8b,0,6,0,2,21,1,125,54,2783,687.41
14,f652fefcf7b37a7b4fff44be57e4dbbb9bf59b30,0,13,0,6,40,0,29,25,5090,1489.47
15,7540ce19b2422f2d881cf68ebfd1f1c1415f0f36,0,1,0,0,0,0,0,0,392,146.8
16,1c1655b80e08c25a79122d571d3057c7170debf8,0,2,0,0,4,0,5,0,22,132.15
17,93d10f28f3deae4eea2c2a915c82980d71329976,0,1,0,0,0,0,0,0,392,137.04
18,124446ae274dc366a779369605c584ecceda91a4,3,6,0,6,80,0,23,3,235,912.86
19,cb3672e3d6f4cc6997acad9efb6447d3c487028f,0,0,1,0,0,0,0,0,0,75.36
20,35064be7aecac6e938d39a6c9d6eb581aba46763,0,1,0,0,0,0,0,0,1661,214.51
21,d2ca899d5e271205a8c5536249e9892706e46b09,1,2,0,1,1,0,0,0,470,267.02
22,613273e5fdb7746d84c8323ec1475f9b22c0b7b2,2,6,0,0,31,16,95,34,807,651.26
23,16aa60e5ff3b783888c08f5cc3c5fd18f37a5889,1,3,0,2,28,4,24,4,265,484.45
24,a8ea62b8f0717a3c6650d1b93f0e2f253aaf52fc,0,1,0,0,1,0,5,4,591,156.86
25,f551b3b8e5a41a638e7ad12625c3f9c1cd1e575d,0,1,0,1,3,0,2,0,413,224.71
26,f58775d5c685d91b8dcca7d088de8d3e1a161edd,0,2,0,0,38,0,12,7,2113,322.89
27,b010deca84339d6b6bf863b46af41aa241064ca6,0,3,0,1,3,0,0,0,1449,337.75
28,56d8d7e471dbae9c206e63a54342e11aaf8a312d,0,3,0,1,33,22,45,17,2207,390.21
29,1cc275771e85d75855b6adb3a3d2c026fe20a9da,0,1,0,0,0,4,6,2,137,116.02
30,8908133ce32d45edaab93ca46263a60e64f28cc2,0,9,0,3,41,3,184,74,3581,1053.11
