idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,4ba4f741d159e83fffe40b0d6ced5ce3f15619f4,5,0,0,0,0,0,0,0,0,1698.38
1,95a0db602b2e0606af11d666d9d10d64766f9ecf,17,0,0,0,0,0,0,0,0,2240.24
2,27abcf0b08d38378bd0fd736d916e32e0d027d3e,17,0,0,0,0,0,0,0,0,1529.17
3,29aecea97dc64aebe8e0a44ec7f7de5f663bd404,4,44,0,40,433,327,0,97,9692,11903.94
4,db8964c1a56e5909b5d8155ca199bd5e61e5f87d,0,0,3,0,0,0,0,0,0,246.41
5,99965c02430ac460a3740aec4dd6965886c9b42e,1,7,0,4,39,10,0,14,2306,1035.17
6,929b608db6d6f6dd6e5d5ea7cb795bc08ddf3018,0,1,0,1,0,1,0,1,81,219.18
7,63c97f010c4cbc0de959610f0bf0c0c3c2a9fcaa,0,1,0,1,0,4,0,0,33,201.32
8,1cb5af11d1c787e2246fb21907b95b4926fa8176,0,1,0,1,0,2,0,0,583,306.48
9,1ada062e4b3c5dfdac7c4aec6447316eee686013,2,6,0,5,3,9,0,0,2543,1120.71
10,bc9fac495f8275e5f0316aca9f6c0b8d759ec7ad,0,3,0,0,0,8,0,2,1177,265.21
11,27797be59d64ea21280e29220686daa876dd6ab1,0,6,0,2,256,278,0,16,2556,858.24
12,39fe461491af7767d4889757420527cec798fca3,2,0,0,0,0,0,0,0,0,187.31
13,4b9e2f0836510d007bb9ddaecb516ff292c67f8b,0,6,0,2,18,2,0,42,2294,629.79
14,f652fefcf7b37a7b4fff44be57e4dbbb9bf59b30,0,13,0,6,39,0,0,10,4178,1252.67
15,7540ce19b2422f2d881cf68ebfd1f1c1415f0f36,0,1,0,0,0,0,0,0,448,126.56
16,1c1655b80e08c25a79122d571d3057c7170debf8,0,2,0,0,1,1,0,1,14,161.51
17,93d10f28f3deae4eea2c2a915c82980d71329976,0,1,0,0,0,0,0,0,448,119.51
18,124446ae274dc366a779369605c584ecceda91a4,3,6,0,6,51,2,0,7,175,877.61
19,cb3672e3d6f4cc6997acad9efb6447d3c487028f,0,0,1,0,0,0,0,0,0,70.42
20,35064be7aecac6e938d39a6c9d6eb581aba46763,0,1,0,0,0,0,0,0,1245,215.38
21,d2ca899d5e271205a8c5536249e9892706e46b09,1,2,0,1,1,0,0,0,372,736.28
22,613273e5fdb7746d84c8323ec1475f9b22c0b7b2,2,6,0,0,20,16,0,5,525,704.31
23,16aa60e5ff3b783888c08f5cc3c5fd18f37a5889,1,3,0,2,19,0,0,5,204,456.44
24,a8ea62b8f0717a3c6650d1b93f0e2f253aaf52fc,0,1,0,0,2,0,0,2,596,164.64
25,f551b3b8e5a41a638e7ad12625c3f9c1cd1e575d,0,1,0,1,3,0,0,9,456,281.37
26,f58775d5c685d91b8dcca7d088de8d3e1a161edd,0,2,0,0,48,0,0,19,1547,327.34
27,b010deca84339d6b6bf863b46af41aa241064ca6,0,3,0,1,7,0,0,9,1369,399.5
28,56d8d7e471dbae9c206e63a54342e11aaf8a312d,0,3,0,1,25,13,0,12,1579,402.86
29,1cc275771e85d75855b6adb3a3d2c026fe20a9da,0,1,0,0,0,4,0,0,79,113.68
30,8908133ce32d45edaab93ca46263a60e64f28cc2,0,9,0,3,9,3,0,0,3090,782.8
31,cbe2a069e38ec4ffcb7f7735eb0345bab07ec9a2,0,3,0,3,0,0,0,0,531,471.44
32,9c3e5bd44167d3fd21054da0331c82f004d44dc6,1,9,0,2,8,113,0,18,3422,860.68
33,4ddd82414a8c8f8a47eac9662229dadd462fe1d0,1,2,1,2,0,0,0,0,842,522.35
34,843ac403d3bac14a341cad21d699a2f237f388f8,1,2,1,0,0,0,0,0,842,246.41
35,a16f922afc6e75b0cd012542a505b5cee598fd5b,0,3,0,1,45,45,0,0,842,251.34
36,9807968bed0df7084f4862c7929193cca1e0a729,0,1,0,0,0,0,0,0,357,180.65
37,7e2c7b22877358296dbf3dd1d75aa345192764d4,0,1,0,0,9,4,0,10,413,190.61
38,2dc27d29bccd01dc0c6affb3a1c770eaeeec9823,0,14,0,9,1,0,0,0,2896,1364.75
39,89f9717258e9966fa0080c95cf35f682f66b4f97,0,2,0,0,0,0,0,0,1726,241.84
40,fc86756283bcb230e5fc7261461d076453a36273,0,3,0,0,12,18,0,26,2340,398.02
41,627f89b33a7272a9b0c894e8c9acb291adafe498,0,2,0,1,40,0,0,14,1286,329.99
42,1d3b089fa0ff102d4d349f150139b7e536e8b016,0,2,0,1,24,0,0,1,542,286.82
43,7e2bf2e6a24d8a98785534b3c90aa2a3aa4f199f,2,38,1,0,0,0,0,0,10174,2015.68
44,f82cc23f5b1ed270f954f836bb78033854a4df6e,0,2,0,0,21,5,0,3,285,233.3
45,a51727dd8a5eb0972d13f51b9c6eef37b8a25991,0,6,0,1,11,2,0,10,1774,521.6
46,5c6be25b7e4a5840914ee1a4ff66bd18fb053b90,0,3,0,0,3,1,0,3,1912,349.94
47,474552fb260e8380a1074cb163322a67382da6ed,0,4,0,2,13,23,0,2,357,389.89
48,409eee88f71114274e14095501b38ee7d42105c5,3,3,0,0,3,0,0,0,1294,528.3
49,102766c47c8ff9245c225d41c4756fb7bf86b6ab,2,2,0,1,0,2,0,0,139,275.35
