idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,867a8565cf219e79250a3ca9ad77b8a5448694ea,5,0,0,0,0,0,0,0,0,14753.08
1,8a1b0b5d1bf91ba7b4eb74329cecaa6c9e444aed,3,0,0,0,0,0,0,0,0,7564.01
2,2f455fd7a327dafa2ed6e2b3cf2957a26015b420,4,29,0,29,4084,1079,47,532,100135,50410.35
3,a115ca6b076248501230366b641d52f9620508e6,0,1,0,0,160,7,4,68,7315,874.59
4,2c6596420664bfdb8a81a2c61ec9c80abbca6f2b,0,4,0,2,3988,1662,60,685,15168,3973.03
5,b4fa117d0f9847afe748bb4aa8077228ee8d0d10,8,7,0,7,287,20,1,16,7989,10185.57
6,bb3d18895699d5bdee366d2dabaf40d6f52edc3c,0,1,0,1,6,0,0,0,492,850.26
7,a337a96d4108ae6aebc953bd961c5be4f1444a11,0,1,0,1,68,5,0,3,211,794.13
8,fe7e6a4f00485f08a761c4b64f090d848d6d33c8,0,1,0,1,1,1,1,0,2508,1190.83
9,4ef2718358b589aee86b14080a1d71a3704ad54a,1,37,0,20,3112,909,20,781,125916,34090.36
10,8d2503d5412c3253e329127d06a07f01b6888160,19,20,0,20,309,2339,2,2,2977,22413.62
11,285bb6adf100200e791fbf8a31ba2339f065eabe,1,1,0,1,21,0,0,0,391,1160.29
12,3d9638c710a5b5d966448ee0144e038edb0a0a8e,0,3,0,0,247,7,0,4,28186,2682.96
13,08da22a056c1d6adc844277c5d37bbcca51dd157,1,2,0,1,187,1,1,45,18732,2990.52
14,c6fd9700c975e737a4dbb30ce5c3317214ae1c12,0,5,0,2,398,31,2,49,34909,4953.5
15,9deab88007ce3f8ef6327bcfd041469905084c23,1,10,0,5,5939,133,16,195,29658,10894.52
16,e0dad7f96ec78f0ea36ef8b02561e973af9766cf,0,2,0,1,163,0,0,3,8980,2090.66
17,10db66a425d2584382e721896e1f9ad0f5ca6876,0,1,0,0,60,0,0,5,7463,1057.41
18,5ed989f49102b80c501055c38bc2deddb8f720e4,0,4,0,1,1081,186,18,290,30442,13308.76
19,cca79167c91471e375a7d939a069fc74a78942e1,0,1,0,0,134,1,0,6,7516,829.71
