idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,867a8565cf219e79250a3ca9ad77b8a5448694ea,5,0,0,0,0,0,0,0,0,3431.08
1,8a1b0b5d1bf91ba7b4eb74329cecaa6c9e444aed,3,0,0,0,0,0,0,0,0,494.7
2,2f455fd7a327dafa2ed6e2b3cf2957a26015b420,4,29,0,29,514,200,0,256,10839,11143.12
3,a115ca6b076248501230366b641d52f9620508e6,0,1,0,0,29,16,0,35,618,619.74
4,2c6596420664bfdb8a81a2c61ec9c80abbca6f2b,0,4,0,2,467,260,0,77,1582,1362.2
5,b4fa117d0f9847afe748bb4aa8077228ee8d0d10,8,7,0,7,33,1,0,28,928,1507.85
6,bb3d18895699d5bdee366d2dabaf40d6f52edc3c,0,1,0,1,1,0,0,3,46,172.01
7,a337a96d4108ae6aebc953bd961c5be4f1444a11,0,1,0,1,11,5,0,0,19,207.34
8,fe7e6a4f00485f08a761c4b64f090d848d6d33c8,0,1,0,1,0,0,0,0,250,178.16
9,4ef2718358b589aee86b14080a1d71a3704ad54a,1,37,0,20,278,61,0,113,13662,10729.29
10,8d2503d5412c3253e329127d06a07f01b6888160,19,20,0,20,4,310,0,0,275,2661.34
11,285bb6adf100200e791fbf8a31ba2339f065eabe,1,1,0,1,4,0,0,3,31,266.76
12,3d9638c710a5b5d966448ee0144e038edb0a0a8e,0,3,0,0,33,4,0,9,2797,1008.69
13,08da22a056c1d6adc844277c5d37bbcca51dd157,1,2,0,1,15,0,0,54,2154,1704.2
14,c6fd9700c975e737a4dbb30ce5c3317214ae1c12,0,5,0,2,49,11,0,24,3931,1394.44
15,9deab88007ce3f8ef6327bcfd041469905084c23,1,10,0,5,674,31,0,92,3303,1996.9
16,e0dad7f96ec78f0ea36ef8b02561e973af9766cf,0,2,0,1,17,0,0,5,810,396.18
17,10db66a425d2584382e721896e1f9ad0f5ca6876,0,1,0,0,4,0,0,7,647,222.81
18,5ed989f49102b80c501055c38bc2deddb8f720e4,0,4,0,1,113,17,0,68,3028,1767.49
19,cca79167c91471e375a7d939a069fc74a78942e1,0,1,0,0,12,0,0,7,651,340.47
20,77f87baf9729a859090fe8aa509cfe9a770c592f,0,2,0,1,9,0,0,9,1269,1179.53
21,9515401e9627aed7ac8cc0f811a7814085ae9f2a,3,4,0,0,187,21,0,36,3415,1665.58
22,e81e0143c904c30477d773cc85ef840f804ac6c5,17,1,0,1,1,0,0,2,28,1287.86
23,83482ad3c22c607615c9636c79a094b7b6112e22,0,2,0,0,47,0,0,52,1208,455.29
24,fff3bfd1d300ca6259031460f12e21980dc75032,0,2,0,1,1,0,0,1,635,294.53
25,33daac7aeca663afb6376878012b92024b41d011,1,2,0,0,14,84,0,3,254,258.0
26,105d1d5958fd75807260db6a1b28951abb74e6c1,0,2,0,1,54,59,0,5,1381,677.04
27,97291b3b1d7949d7a8dae3dc96d315d2f12e1004,1,2,0,2,0,0,0,0,159,289.49
28,2c139ba7b7dd57307b0225bf24c3d5352533a343,1,1,0,1,0,0,0,0,77,269.92
29,96153c157903186cd22071da5722f92fb104f0f2,0,3,0,0,150,0,0,7,2023,614.87
30,7bd771c2640704af2bb24e39e7e7b200e099a2c1,0,3,0,2,74,36,0,5,1479,731.53
31,512234f1aa67c83ad0dd278d1fba4cbedf8feaee,0,2,0,1,3,1,0,10,698,328.61
32,3f8cd90a46433f12c5ec1573e47aef0d3cc8f7ca,0,2,0,0,24,3,0,0,2076,748.69
33,c2f4016d1aa9dfba44b484405a4dd7090165661c,0,2,0,0,2,0,0,4,178,162.5
34,c9f9ae573f316f930bd4e872b968bdb469d561ed,0,11,0,11,58,0,0,35,861,1205.85
35,de722236683714e4dbfdb4e532cfa4f2e666c074,1,5,0,2,15,1,0,47,494,504.56
36,5a698f37f5197089aaf80ed2736f3ede629dec6d,1,7,0,3,123,34,0,50,901,761.39
37,8ed6e34fcbba510566d4c6683042fdf470f9d82d,5,3,0,2,3,193,0,4,101,661.86
38,e71f038263410881a228150cd4c8c7b7715a970f,0,1,0,0,3,0,0,2,1940,744.19
39,9cba15c32e3aa87a75e262c526ffcfe6dec9b031,0,6,0,1,61,11,0,40,585,450.54
40,1c75957e9538b8d3b7c81483c8953146712e90bb,0,2,0,0,0,0,0,0,159,116.09
41,7d70bb32278217e74b1995feb325a242e42bfe26,1,1,0,0,4,2,0,28,1407,481.0
42,10dcb22cad6bc1209f1df3a09c09325d374e088a,0,4,0,0,78,11,0,9,1700,622.39
43,f76ddc07370dc95611acb00b95a58dc6422140bf,0,4,0,1,0,136,0,19,1857,577.41
44,a3e58b09c7e6aefc77b96defefc677b73034a48e,0,1,0,1,2,0,0,3,222,215.08
45,da3afa2d862eaad714113763a2ea9182a8aa2680,0,18,0,7,0,0,0,0,5791,2192.42
46,d803a1b444de8c71a76bb807e7a75c7872e026b6,0,3,0,2,105,74,0,18,2071,977.94
47,c9f5b152f89dbb4ae4f17cf75a3ca2bed925c317,0,1,0,1,2,0,0,6,44,292.29
48,86a9130beb99107f9fe92409ce0e2b20fccd3af6,0,5,0,2,0,0,0,0,678,796.03
49,7ed2c359b89191e1c9fae85b32284ac144effdbb,3,2,0,0,10,0,0,7,3339,1494.51
50,be57e31c975f4936b3631ada5818741c56c25713,1,4,0,0,35,0,0,42,484,342.12
51,7e8367b9bb679b7f282ad60e069bbd413a73b39c,1,2,0,2,31,0,0,0,23,289.9
52,33bd3cd42bb1feb106a5337b055b72a330ffa7f7,0,1,0,1,1,4,0,10,38,189.57
53,24ad5079121694d6d8e794ef19e55a3695ffdcaa,0,2,0,1,14,51,0,0,1951,908.98
54,a0e38730efd9a061b0a5a801e53fc5e48d65cdcb,0,3,0,1,47,87,0,25,2034,1170.65
55,14d82add99a2502700d087803e46a6485bbbbd7e,0,1,0,0,2,0,0,1,1125,412.64
56,9f448bf1494ab89fa2d4ad5693c17a92036f74c7,0,3,0,1,19,0,0,17,2571,1514.92
57,53edd701072e317fcc6e818613151a5d9bf157bf,0,3,0,0,0,19,0,15,2571,1155.63
58,99b5ea2033c2be7b0b1574088b223084b81aa3e2,0,3,0,0,19,0,0,17,2571,976.53
59,5996ca355e13342fa8750f2e9ac0b2812745543a,0,2,0,0,184,101,0,32,351,296.6
60,b31e26fa4af6031bec89cc30bdb881d12cef01df,0,1,0,0,9,0,0,19,184,270.67
61,aa5034c8c22f6b72a5ad56afc774ac2b3f58c231,0,1,0,0,0,0,0,0,352,142.17
62,5dcd15606721c31723c58d58ad7fb0b3f054f535,0,4,0,1,27,0,0,52,2046,697.89
63,7d479ccca81fbe42f0b9a1b5f61ea9cc4d7a7643,0,5,0,4,7,7,0,0,421,545.13
64,6cef49bee1a9863a26edfb4b50ba7d0aff442989,1,1,0,0,0,0,0,0,1960,614.04
65,db08985e6d700183e3b6f77e17c6f448a95952a6,0,8,0,1,31,32,0,29,3395,1472.63
66,55c8097b9e4d9b08c7d85c1cef3abec165873cc4,0,1,0,1,0,4,0,2,58,166.23
67,abf798934ccd7b7cc6c60d4f75e5b90640988977,0,8,0,0,32,31,0,27,3395,1321.33
68,3128b61b572666c2cc53c1e4b01c6b1d2a44258b,3,2,0,2,33,79,0,1,166,660.88
69,7e204a0343860ab79eb5feea1688e106d9cbc5ad,1,1,0,0,0,125,0,0,28,193.43
70,2a10f2291fcd69b16be6c5d33f5e58fba8662013,1,4,0,0,72,0,0,0,256,502.31
71,fdf1f319526fe9919c0beb8fa26333313e663e41,10,17,0,3,441,25,0,67,1527,2500.59
72,812aae6c297ac485bc66b0aa89acfd887265f9c6,0,3,0,0,46,14,0,16,2169,1175.15
73,25ae48c44bdb33be100652719373dd302af6d88a,1,5,0,0,51,21,0,62,2735,1164.53
74,4aff4be51b2381d89f07c14a04d270203d711b22,0,2,0,0,0,0,0,0,1360,487.24
