idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,867a8565cf219e79250a3ca9ad77b8a5448694ea,5,0,0,0,0,0,0,0,0,2939.94
1,8a1b0b5d1bf91ba7b4eb74329cecaa6c9e444aed,3,0,0,0,0,0,0,0,0,613.25
2,2f455fd7a327dafa2ed6e2b3cf2957a26015b420,4,29,0,29,516,289,533,180,9215,10178.73
3,a115ca6b076248501230366b641d52f9620508e6,0,1,0,0,34,16,94,31,849,310.22
4,2c6596420664bfdb8a81a2c61ec9c80abbca6f2b,0,4,0,2,272,128,140,58,1143,1016.25
5,b4fa117d0f9847afe748bb4aa8077228ee8d0d10,8,7,0,7,17,0,23,14,718,1657.09
6,bb3d18895699d5bdee366d2dabaf40d6f52edc3c,0,1,0,1,0,0,0,0,53,154.53
7,a337a96d4108ae6aebc953bd961c5be4f1444a11,0,1,0,1,8,2,1,0,11,143.41
8,fe7e6a4f00485f08a761c4b64f090d848d6d33c8,0,1,0,1,0,0,0,0,283,214.13
9,4ef2718358b589aee86b14080a1d71a3704ad54a,1,37,0,20,283,22,517,147,11722,7615.52
10,8d2503d5412c3253e329127d06a07f01b6888160,19,20,0,20,3,205,9,0,301,2846.7
11,285bb6adf100200e791fbf8a31ba2339f065eabe,1,1,0,1,2,0,13,5,50,241.73
12,3d9638c710a5b5d966448ee0144e038edb0a0a8e,0,3,0,0,24,1,6,6,2861,911.5
13,08da22a056c1d6adc844277c5d37bbcca51dd157,1,2,0,1,38,0,88,25,1861,797.71
14,c6fd9700c975e737a4dbb30ce5c3317214ae1c12,0,5,0,2,35,25,32,20,3292,1941.92
15,9deab88007ce3f8ef6327bcfd041469905084c23,1,10,0,5,555,24,238,75,2410,1673.62
16,e0dad7f96ec78f0ea36ef8b02561e973af9766cf,0,2,0,1,11,0,0,0,954,363.71
17,10db66a425d2584382e721896e1f9ad0f5ca6876,0,1,0,0,4,0,10,6,883,277.72
18,5ed989f49102b80c501055c38bc2deddb8f720e4,0,4,0,1,166,22,359,113,3123,1037.82
19,cca79167c91471e375a7d939a069fc74a78942e1,0,1,0,0,25,0,36,12,887,295.96
20,77f87baf9729a859090fe8aa509cfe9a770c592f,0,2,0,1,11,0,24,0,1205,536.97
21,9515401e9627aed7ac8cc0f811a7814085ae9f2a,3,4,0,0,149,23,22,11,2705,1380.06
22,e81e0143c904c30477d773cc85ef840f804ac6c5,17,1,0,1,0,0,0,0,7,1575.26
23,83482ad3c22c607615c9636c79a094b7b6112e22,0,2,0,0,66,0,156,39,1776,517.36
24,fff3bfd1d300ca6259031460f12e21980dc75032,0,2,0,1,0,0,0,0,531,309.97
25,33daac7aeca663afb6376878012b92024b41d011,1,2,0,0,7,96,8,3,203,278.61
26,105d1d5958fd75807260db6a1b28951abb74e6c1,0,2,0,1,56,77,13,3,1151,724.69
27,97291b3b1d7949d7a8dae3dc96d315d2f12e1004,1,2,0,2,0,0,0,0,111,272.73
28,2c139ba7b7dd57307b0225bf24c3d5352533a343,1,1,0,1,0,0,0,0,65,211.0
29,96153c157903186cd22071da5722f92fb104f0f2,0,3,0,0,85,7,47,28,1415,750.32
30,7bd771c2640704af2bb24e39e7e7b200e099a2c1,0,3,0,2,90,48,14,0,1255,758.62
31,512234f1aa67c83ad0dd278d1fba4cbedf8feaee,0,2,0,1,3,0,29,0,966,391.98
32,3f8cd90a46433f12c5ec1573e47aef0d3cc8f7ca,0,2,0,0,19,1,9,0,1718,811.04
33,c2f4016d1aa9dfba44b484405a4dd7090165661c,0,2,0,0,1,0,2,0,86,180.4
34,c9f9ae573f316f930bd4e872b968bdb469d561ed,0,11,0,11,51,0,63,11,674,1214.74
35,de722236683714e4dbfdb4e532cfa4f2e666c074,1,5,0,2,9,0,55,24,308,631.67
36,5a698f37f5197089aaf80ed2736f3ede629dec6d,1,7,0,3,90,26,54,14,739,1191.39
37,8ed6e34fcbba510566d4c6683042fdf470f9d82d,5,3,0,2,12,410,21,7,100,1364.12
38,e71f038263410881a228150cd4c8c7b7715a970f,0,1,0,0,3,0,6,0,1623,826.32
39,9cba15c32e3aa87a75e262c526ffcfe6dec9b031,0,6,0,1,43,6,36,11,452,921.37
40,1c75957e9538b8d3b7c81483c8953146712e90bb,0,2,0,0,0,0,0,0,85,364.91
41,7d70bb32278217e74b1995feb325a242e42bfe26,1,1,0,0,4,0,0,0,1187,892.9
42,10dcb22cad6bc1209f1df3a09c09325d374e088a,0,4,0,0,59,8,8,8,1451,1156.89
43,f76ddc07370dc95611acb00b95a58dc6422140bf,0,4,0,1,0,81,48,31,1438,1153.5
44,a3e58b09c7e6aefc77b96defefc677b73034a48e,0,1,0,1,2,0,2,0,207,380.81
45,da3afa2d862eaad714113763a2ea9182a8aa2680,0,18,0,7,0,0,0,0,5124,3453.08
46,d803a1b444de8c71a76bb807e7a75c7872e026b6,0,3,0,2,75,84,43,3,1730,1278.28
47,c9f5b152f89dbb4ae4f17cf75a3ca2bed925c317,0,1,0,1,2,0,0,0,34,168.88
48,86a9130beb99107f9fe92409ce0e2b20fccd3af6,0,5,0,2,0,0,0,0,888,600.64
49,7ed2c359b89191e1c9fae85b32284ac144effdbb,3,2,0,0,5,0,16,8,2801,1319.64
50,be57e31c975f4936b3631ada5818741c56c25713,1,4,0,0,18,0,35,6,273,351.05
51,7e8367b9bb679b7f282ad60e069bbd413a73b39c,1,2,0,2,26,0,0,0,7,272.43
52,33bd3cd42bb1feb106a5337b055b72a330ffa7f7,0,1,0,1,0,3,15,2,24,138.84
53,24ad5079121694d6d8e794ef19e55a3695ffdcaa,0,2,0,1,6,52,0,0,1627,704.16
54,a0e38730efd9a061b0a5a801e53fc5e48d65cdcb,0,3,0,1,31,87,20,8,1738,943.58
55,14d82add99a2502700d087803e46a6485bbbbd7e,0,1,0,0,2,0,2,0,1099,516.35
56,9f448bf1494ab89fa2d4ad5693c17a92036f74c7,0,3,0,1,26,0,48,9,2190,1055.93
57,53edd701072e317fcc6e818613151a5d9bf157bf,0,3,0,0,0,26,48,5,2190,927.86
58,99b5ea2033c2be7b0b1574088b223084b81aa3e2,0,3,0,0,26,0,48,9,2190,1030.65
59,5996ca355e13342fa8750f2e9ac0b2812745543a,0,2,0,0,224,114,79,23,376,336.02
60,b31e26fa4af6031bec89cc30bdb881d12cef01df,0,1,0,0,9,0,15,4,184,288.06
61,aa5034c8c22f6b72a5ad56afc774ac2b3f58c231,0,1,0,0,0,0,0,0,402,180.76
62,5dcd15606721c31723c58d58ad7fb0b3f054f535,0,4,0,1,26,0,122,50,1684,780.28
63,7d479ccca81fbe42f0b9a1b5f61ea9cc4d7a7643,0,5,0,4,6,6,0,0,218,669.21
64,6cef49bee1a9863a26edfb4b50ba7d0aff442989,1,1,0,0,0,0,0,0,1627,839.15
65,db08985e6d700183e3b6f77e17c6f448a95952a6,0,8,0,1,39,33,44,14,3035,1512.68
66,55c8097b9e4d9b08c7d85c1cef3abec165873cc4,0,1,0,1,0,5,8,3,55,175.02
67,abf798934ccd7b7cc6c60d4f75e5b90640988977,0,8,0,0,33,39,44,12,3035,1323.87
68,3128b61b572666c2cc53c1e4b01c6b1d2a44258b,3,2,0,2,30,44,5,0,135,510.2
69,7e204a0343860ab79eb5feea1688e106d9cbc5ad,1,1,0,0,0,92,0,0,25,190.65
70,2a10f2291fcd69b16be6c5d33f5e58fba8662013,1,4,0,0,105,0,2,0,266,413.01
71,fdf1f319526fe9919c0beb8fa26333313e663e41,10,17,0,3,254,19,61,21,1205,1874.18
72,812aae6c297ac485bc66b0aa89acfd887265f9c6,0,3,0,0,20,0,2,2,1809,813.6
73,25ae48c44bdb33be100652719373dd302af6d88a,1,5,0,0,63,23,186,64,2727,1269.72
74,4aff4be51b2381d89f07c14a04d270203d711b22,0,2,0,0,0,0,0,0,1890,535.32
75,4346af6874783b6abaf5ec1bf912ef22174f6d87,0,1,0,1,5,1,14,0,26,220.15
76,a5b69c246bbc38fb821c452a0979f65d9753c206,0,1,0,1,0,0,0,0,75,154.06
77,85ebc39ab1eac260485c6309826b16a7d4ebc7c9,4,3,0,2,27,215,22,0,180,596.31
78,e92e85e2c2c98a65f5d2bc7cead5d40b282c852d,0,2,0,1,181,76,30,13,135,383.42
79,3ba19f69da71efd44e1847c4e1b959704881b986,2,4,0,2,27,12,14,2,673,610.33
80,da1e8fac7f293b7625efb7de768224d3ccb4fe79,0,1,0,0,10,0,18,3,1201,729.77
81,6932ef968975114265a9805a285230458fbe712c,0,2,0,2,30,11,2,0,141,360.54
82,42f21eb978b54ecc61539becd1b1997d0b5e625e,0,1,0,0,0,0,0,0,94,141.9
83,4c577cac829b51a4245b8bdb0a59ad02f28d3a3b,0,7,0,1,2,0,8,5,537,477.42
84,42ebde54df20879e28278ab4b7624e827ce9db59,0,1,0,0,0,0,3,0,209,149.66
85,f2ecdac924141889a94ddcd485bb4f1f27550a4f,0,5,0,1,59,8,24,3,2757,1150.55
86,9bae2730e37756c9c49c744b052f07ab22ca1d0a,0,7,0,1,65,20,16,12,4414,1597.38
87,28232dce5d28b5cc91632239f96fd211edacc17e,0,1,0,1,0,0,0,0,23,153.27
88,992cb17843dc02fdaa6e23bf089998dbd25afb5d,0,1,0,1,2,17,18,5,171,213.41
89,4fb2a1ff89a0a0f8983f0602f4c8cd7070b81796,0,1,0,0,0,0,0,0,66,103.22
