idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,867a8565cf219e79250a3ca9ad77b8a5448694ea,5,0,0,0,0,0,0,0,0,2378.41
1,8a1b0b5d1bf91ba7b4eb74329cecaa6c9e444aed,3,0,0,0,0,0,0,0,0,351.85
2,2f455fd7a327dafa2ed6e2b3cf2957a26015b420,4,29,0,29,385,160,0,185,8499,8863.78
3,a115ca6b076248501230366b641d52f9620508e6,0,1,0,0,28,15,0,21,516,228.66
4,2c6596420664bfdb8a81a2c61ec9c80abbca6f2b,0,4,0,2,411,215,0,31,1113,954.43
5,b4fa117d0f9847afe748bb4aa8077228ee8d0d10,8,7,0,7,31,1,0,33,827,1872.06
6,bb3d18895699d5bdee366d2dabaf40d6f52edc3c,0,1,0,1,1,0,0,3,43,188.13
7,a337a96d4108ae6aebc953bd961c5be4f1444a11,0,1,0,1,10,5,0,0,13,176.54
8,fe7e6a4f00485f08a761c4b64f090d848d6d33c8,0,1,0,1,0,0,0,0,184,234.49
9,4ef2718358b589aee86b14080a1d71a3704ad54a,1,37,0,20,192,51,0,57,10480,6265.99
10,8d2503d5412c3253e329127d06a07f01b6888160,19,20,0,20,2,165,0,0,187,2495.44
11,285bb6adf100200e791fbf8a31ba2339f065eabe,1,1,0,1,6,0,0,4,23,192.89
12,3d9638c710a5b5d966448ee0144e038edb0a0a8e,0,3,0,0,28,5,0,3,2207,872.85
13,08da22a056c1d6adc844277c5d37bbcca51dd157,1,2,0,1,11,0,0,46,1739,852.49
14,c6fd9700c975e737a4dbb30ce5c3317214ae1c12,0,5,0,2,41,9,0,21,3262,1269.84
15,9deab88007ce3f8ef6327bcfd041469905084c23,1,10,0,5,551,23,0,58,2408,1483.52
16,e0dad7f96ec78f0ea36ef8b02561e973af9766cf,0,2,0,1,10,0,0,0,644,338.43
17,10db66a425d2584382e721896e1f9ad0f5ca6876,0,1,0,0,4,0,0,5,544,199.32
18,5ed989f49102b80c501055c38bc2deddb8f720e4,0,4,0,1,51,11,0,37,2381,959.62
19,cca79167c91471e375a7d939a069fc74a78942e1,0,1,0,0,7,0,0,5,548,209.73
20,77f87baf9729a859090fe8aa509cfe9a770c592f,0,2,0,1,5,0,0,0,976,500.19
21,9515401e9627aed7ac8cc0f811a7814085ae9f2a,3,4,0,0,129,22,0,26,2815,1208.34
22,e81e0143c904c30477d773cc85ef840f804ac6c5,17,1,0,1,1,0,0,2,25,1182.86
23,83482ad3c22c607615c9636c79a094b7b6112e22,0,2,0,0,45,0,0,39,929,358.59
24,fff3bfd1d300ca6259031460f12e21980dc75032,0,2,0,1,1,0,0,0,450,372.11
25,33daac7aeca663afb6376878012b92024b41d011,1,2,0,0,8,55,0,0,192,196.61
26,105d1d5958fd75807260db6a1b28951abb74e6c1,0,2,0,1,32,46,0,6,1222,479.73
27,97291b3b1d7949d7a8dae3dc96d315d2f12e1004,1,2,0,2,0,0,0,0,118,255.22
28,2c139ba7b7dd57307b0225bf24c3d5352533a343,1,1,0,1,0,0,0,0,47,225.83
29,96153c157903186cd22071da5722f92fb104f0f2,0,3,0,0,106,0,0,8,1489,643.31
30,7bd771c2640704af2bb24e39e7e7b200e099a2c1,0,3,0,2,53,31,0,0,1292,719.2
31,512234f1aa67c83ad0dd278d1fba4cbedf8feaee,0,2,0,1,2,2,0,2,501,356.99
32,3f8cd90a46433f12c5ec1573e47aef0d3cc8f7ca,0,2,0,0,21,5,0,0,1654,647.97
33,c2f4016d1aa9dfba44b484405a4dd7090165661c,0,2,0,0,4,0,0,6,115,139.07
34,c9f9ae573f316f930bd4e872b968bdb469d561ed,0,11,0,11,61,0,0,23,561,1167.08
35,de722236683714e4dbfdb4e532cfa4f2e666c074,1,5,0,2,13,1,0,33,444,500.97
36,5a698f37f5197089aaf80ed2736f3ede629dec6d,1,7,0,3,106,28,0,31,808,677.42
37,8ed6e34fcbba510566d4c6683042fdf470f9d82d,5,3,0,2,1,205,0,1,65,607.63
38,e71f038263410881a228150cd4c8c7b7715a970f,0,1,0,0,5,0,0,4,1559,707.83
39,9cba15c32e3aa87a75e262c526ffcfe6dec9b031,0,6,0,1,74,17,0,35,492,445.27
40,1c75957e9538b8d3b7c81483c8953146712e90bb,0,2,0,0,0,0,0,0,123,234.48
41,7d70bb32278217e74b1995feb325a242e42bfe26,1,1,0,0,2,2,0,12,1239,553.72
42,10dcb22cad6bc1209f1df3a09c09325d374e088a,0,4,0,0,53,3,0,1,1436,583.6
43,f76ddc07370dc95611acb00b95a58dc6422140bf,0,4,0,1,0,88,0,20,1441,535.23
44,a3e58b09c7e6aefc77b96defefc677b73034a48e,0,1,0,1,1,0,0,2,180,169.71
