idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,89af8294f42a9a16b91a09f7808653a71648718f,0,1,0,1,0,0,0,0,344,388.8
1,ec9a568764ec7a2ff39c27b4ee7d35b0c703bc2d,4,25,0,24,446,140,0,285,3183,2129.98
2,add0c0c5a02d3d3a2864a5713545d7d06217d0eb,6,26,0,2,701,211,0,510,3480,1163.02
3,3a70f2f97b5888d6b12bd26f066e23f84f7eaee6,0,11,0,0,147,84,0,27,2877,520.78
4,a6b7be60d6833d9416db90cf46ec5e18d84ab5c0,7,17,1,0,679,743,0,248,3356,954.79
5,ba1ef8c0c3380e264256a3e06b7eff798aa29e0e,0,3,0,0,0,0,0,0,233,50.54
6,8a53c236b9f576893175d0f6f33318ea473574d9,0,1,0,0,8,3,0,1,724,132.95
7,356f3919e9c10a56146ab1884c2b3432c9f1f4d9,0,1,0,0,0,0,0,0,163,32.32
8,47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,0,3,0,0,0,2,0,8,1495,210.52
9,e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,0,2,0,0,63,2,0,89,1270,193.04
10,a65898973081b8415fb7931452011ef28f2efaa0,2,3,1,0,0,17,0,1,619,194.62
11,19099c98b12f67747af78ca0b436a899a26467b0,0,15,0,0,51,17,0,21,3785,595.59
12,23f836454d9c5a495111b068f45d6aa89a2a724a,1,3,0,0,0,0,0,0,1102,169.65
13,e4194e10e51f0df323d14e297d0408770255e213,0,2,0,0,11,2,0,17,860,126.53
14,66839c4c17b169f5f2b6f39374558d9a5c3bc2e2,2,8,0,0,605,216,0,139,2377,612.87
15,7c3d11974bf7c2b4beb1a385cbab68d8175731b3,3,0,1,0,0,0,0,0,0,67.24
16,ac718209e5e31b0a001af3a623ffdb454193b1c7,5,16,0,0,241,207,0,192,4406,859.17
17,3509f88c48bea3e669ba5f3e8cb7d3ab6ff44375,0,2,0,0,13,0,0,4,1073,155.05
18,3f5229c66f93e6e36c36cd6793a0daefcadb55ca,0,1,0,0,6,1,0,11,399,73.15
19,0dd5f2759eccb8d206ec2eaaa477d72cb9a2b8c1,1,0,1,0,0,0,0,0,0,112.26
20,cc8d45bd4779cf764760c83cec834193c8883adc,0,1,0,0,37,9,0,31,693,123.67
21,13c1e482530f8bcf62035449b12fe99014f186b3,10,0,0,0,0,0,0,0,0,270.92
22,e78644ed10f069a428fa28d8c6a2d6242e496430,0,6,0,1,135,69,0,255,2122,389.63
23,f503143412cb3c8e65141a05c7c3db69c907bf31,1,5,0,1,82,0,0,27,706,200.6
24,eef130fc9153a1958d0658fe3b6fbe6e20256737,0,33,0,3,159,157,0,262,5434,1010.61
25,2447ce192239ef10f7a39e92e914e663bf2402ae,1,0,0,0,0,0,0,0,0,88.68
26,d1f85d739e5ef236930e59c137de9dd33a1dbfaf,0,8,0,0,0,0,0,0,684,112.1
27,31a8ba569be8bfbef08dcd0646fca6eb74b2c19d,0,6,0,1,21,25,0,13,808,261.36
28,6455364281ea565214b35d7092dd2fbddb0edf72,0,6,0,0,49,4,0,4,2914,418.94
29,a31d0e5f31faf73b9d1b29e0099cb53220d2a523,0,2,0,0,0,0,0,0,675,92.17
30,2fa16d4fdf8f638009bbf92bbbf6c3fae4d5ed23,0,1,1,0,3,0,0,0,13,46.76
31,96c64712e655ca456a3d3b0104d6c09e5f64074b,0,1,0,0,9,0,0,0,733,94.0
32,60a2e629d16b77fc8a3b7ee8f4533f68e6911f6e,12,8,1,0,23,7,0,12,2481,748.16
33,655728f3bf87f21104a6f02f4564901d79cf6bf2,0,4,0,0,38,6,0,9,1693,277.91
34,9eb369c26699fc265c2a0e780318513bd01b85a5,0,5,0,0,14,4,0,14,752,179.95
35,73183e6b975ea3817fad83a4cf779c6c545f652d,7,4,0,0,37,0,0,43,1897,502.87
36,a3073cc6dacc03756387a788de62498f1a64a411,2,0,0,0,0,0,0,0,0,39.26
37,2e49c9451bb1867454a7e16074ba8ba913872f2f,1,5,0,0,29,0,0,24,958,199.57
38,eaf0a7b1541f50c126d8e95129b14a5a55c790c4,1,16,0,0,17,9,0,32,4618,740.99
39,f613907a98a732364c5a2a5f1f4ece7bc99f555e,1,2,0,0,56,38,0,89,1727,308.73
40,87f5d5dffd96e09d789a9063f8f6d98a75fb24dd,25,0,0,0,0,0,0,0,0,777.96
41,19d1b8ea36ffe7826b4aa77be2dea9627ddfd111,0,3,0,0,0,0,0,0,112,34.98
42,d14fa818912e49ed6b23beb09495d9f66c03aa25,0,4,0,0,198,69,0,210,2274,397.01
43,14dd64dacef318966ac251af07c4983fe19d7e1f,0,5,0,0,40,9,0,28,2039,283.7
44,8c14bab2c421887218139622b7e0ba4129f1b423,0,3,0,0,44,38,0,0,122,58.12
45,4ed118700d5a8355fb8613c85ee87ec0ab2d0023,1,5,0,0,16,0,0,13,1174,186.72
46,5463de47b3f41a254eb3159b6963f3c92f660388,1,1,0,0,15,1,0,17,818,129.92
47,cbb844d5f0be591c76e84e325b40fc313851d57c,3,5,0,0,111,0,0,23,1561,332.48
48,6a64ae1542cba6564450a63788181adcf0851f93,0,12,0,0,12,7,0,20,2733,461.55
49,bf798cca50a330d9807671c62378245710887e4a,0,2,0,0,14,20,0,51,1623,244.33
50,377bf72458b3708f4078b043dce9425ebb807a46,5,0,0,0,0,0,0,0,0,132.57
51,43e253359a010a763da3686f9271bdf17e955d2a,0,2,0,0,49,0,0,4,690,120.05
52,5b1bd1f8f2d614c945f6a5889a9d4f25b87fe172,0,9,0,0,88,83,0,222,2217,417.75
53,a9acbeab0800dd1d3c13aaaea07d2975b0f49cb4,0,4,0,0,217,211,0,46,1379,311.97
54,4fa87a0cbbf6927df54853aa4f46c9174aa63344,1,2,0,2,39,10,0,96,660,317.32
55,b205cac36d9af1bf610b1d6f07900690ce4e4c33,0,54,0,5,172,36,0,16,2608,637.54
56,931d452cb2cc069bbb97e45dca094e9b163275c3,1,21,0,4,882,319,0,474,4658,1280.3
57,0c7ac6795f6f37dc014341efe184998ccbeb59bc,0,20,0,1,111,164,0,107,5102,871.53
58,391379a6fb4474428faeecfa8336b28503ca0400,0,11,0,0,42,814,0,56,3279,534.79
59,6c8e71367141628445b4cc843ad60afdfb5bb7c7,0,3,0,0,0,0,0,0,392,59.49
60,9dedf26b0f5bdb6790a466d8991eca31d7151656,0,16,0,0,11,4,0,74,984,248.05
61,e220809017200e6a515218f6ecb36a4f48d1a940,0,2,0,0,0,2,0,4,116,33.14
62,b7f01dce989c91e7d50cc80ee88042e5d995dab9,1,21,2,1,268,142,0,171,4380,902.47
63,17cc1759fceb3ee260e18c5e11ce7598cb8c31aa,0,1,0,0,0,0,0,0,614,70.76
64,00c1b877e8bb104516139dbad4d70e27c67c688b,0,6,0,0,65,100,0,27,2654,420.12
65,4ebd558b41cc10348a97a2cafa03e6055a079129,0,1,0,0,3,0,0,36,592,83.68
66,e41859593baae5a556e6bf7376a7d59b70474bf7,0,3,0,0,14,29,0,8,644,123.06
67,ec2d29c90270e16ec9a41706713d1722602838d7,0,1,0,0,32,17,0,21,1229,172.55
68,1756a22f03e9469db6d1c6ca6312fafb395018be,0,14,0,0,44,5,0,101,4143,604.25
69,5e3c5037b4bc07f69bffb86c29796345d56542b1,0,6,0,0,28,10,0,68,3307,471.9
70,07224fe303a3dccee5bb407d195d93901c75c8ec,1,6,0,0,27,2,0,10,1211,187.27
71,e9aafde1f124c396f629749d9d78968614c0ad34,0,3,0,0,1,1,0,1,2232,298.74
72,f56ee6b375ec904beb37d1a3c303d8d6c9bd71b3,0,4,0,0,70,31,0,4,704,156.85
73,660bce1d278f3eb471b75bb85864efdc5e53f354,0,1,0,0,15,0,0,3,1280,176.79
74,5dc1ee32c0364dbe40dd3c08d6137776f811b6a6,0,1,0,0,4,0,0,0,147,36.91
75,59825ac875d90ae0083b992b72dc9a57f9c5941d,1,6,0,0,75,116,0,2,1932,375.85
76,7d48b5f7d52c7fd246d32a158d0ecba9d946f383,0,2,0,0,0,0,0,0,235,46.03
77,aba565a22873439f7ee8f6d53091b3ce709fc96c,0,2,0,0,5,2,0,10,743,121.37
78,a1689adf0e0e4b92dc4909431e7ee757020e0a7f,0,15,1,0,2,0,0,2,3172,490.25
79,844e56e70451e9226fb0cb20ebdfcf1042099109,0,26,0,0,10,1,0,9,4137,666.65
80,49d4f333f4781c9b4b518d177d33523f49aec8e6,1,1,0,0,0,0,0,5,327,75.08
81,1d19158ac5333a39c8c50fbd852133bb99ac4906,0,4,0,0,133,77,0,11,785,184.09
82,84ef0f95efccfe4416a6542df666686c4d3343bb,0,2,0,0,0,33,0,6,563,95.26
83,6626ee072ac86fc843e1f720f288c5404a0aec75,0,16,1,1,8,70,0,43,1302,325.1
84,135670ccf4a72557d1166deb7f441bed3a67f195,0,12,0,0,8,34,0,5,1113,255.85
