idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,89af8294f42a9a16b91a09f7808653a71648718f,0,1,0,1,0,0,0,0,471,704.76
1,ec9a568764ec7a2ff39c27b4ee7d35b0c703bc2d,4,25,0,24,370,66,632,202,3218,2313.65
2,add0c0c5a02d3d3a2864a5713545d7d06217d0eb,6,26,0,2,415,218,638,266,3329,1141.02
3,3a70f2f97b5888d6b12bd26f066e23f84f7eaee6,0,11,0,0,83,67,20,11,2512,571.34
4,a6b7be60d6833d9416db90cf46ec5e18d84ab5c0,7,17,1,0,795,847,327,125,2867,985.72
5,ba1ef8c0c3380e264256a3e06b7eff798aa29e0e,0,3,0,0,0,0,0,0,203,46.63
6,8a53c236b9f576893175d0f6f33318ea473574d9,0,1,0,0,5,1,0,0,602,120.77
7,356f3919e9c10a56146ab1884c2b3432c9f1f4d9,0,1,0,0,0,0,0,0,214,35.32
8,47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,0,3,0,0,0,0,0,0,1271,197.87
9,e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,0,2,0,0,53,0,169,89,968,231.36
10,a65898973081b8415fb7931452011ef28f2efaa0,2,3,1,0,0,0,0,0,534,163.85
11,19099c98b12f67747af78ca0b436a899a26467b0,0,15,0,0,51,26,52,14,3306,649.8
12,23f836454d9c5a495111b068f45d6aa89a2a724a,1,3,0,0,0,0,0,0,1047,166.01
13,e4194e10e51f0df323d14e297d0408770255e213,0,2,0,0,5,1,0,0,719,140.86
14,66839c4c17b169f5f2b6f39374558d9a5c3bc2e2,2,8,0,0,661,207,199,84,1933,642.87
15,7c3d11974bf7c2b4beb1a385cbab68d8175731b3,3,0,1,0,0,0,0,0,0,99.37
16,ac718209e5e31b0a001af3a623ffdb454193b1c7,5,16,0,0,236,154,300,93,4173,923.12
17,3509f88c48bea3e669ba5f3e8cb7d3ab6ff44375,0,2,0,0,12,0,22,5,921,159.1
18,3f5229c66f93e6e36c36cd6793a0daefcadb55ca,0,1,0,0,10,0,13,12,366,98.79
19,0dd5f2759eccb8d206ec2eaaa477d72cb9a2b8c1,1,0,1,0,0,0,0,0,0,96.75
20,cc8d45bd4779cf764760c83cec834193c8883adc,0,1,0,0,32,9,121,51,640,123.64
21,13c1e482530f8bcf62035449b12fe99014f186b3,10,0,0,0,0,0,0,0,0,283.88
22,e78644ed10f069a428fa28d8c6a2d6242e496430,0,6,0,1,103,55,296,114,1887,413.24
23,f503143412cb3c8e65141a05c7c3db69c907bf31,1,5,0,1,70,0,42,23,686,211.44
24,eef130fc9153a1958d0658fe3b6fbe6e20256737,0,33,0,3,168,221,649,248,5143,1362.05
25,2447ce192239ef10f7a39e92e914e663bf2402ae,1,0,0,0,0,0,0,0,0,67.71
26,d1f85d739e5ef236930e59c137de9dd33a1dbfaf,0,8,0,0,0,0,0,0,791,115.78
27,31a8ba569be8bfbef08dcd0646fca6eb74b2c19d,0,6,0,1,13,31,8,1,670,193.27
28,6455364281ea565214b35d7092dd2fbddb0edf72,0,6,0,0,19,2,2,1,2576,393.89
29,a31d0e5f31faf73b9d1b29e0099cb53220d2a523,0,2,0,0,2,0,0,0,523,93.99
30,2fa16d4fdf8f638009bbf92bbbf6c3fae4d5ed23,0,1,1,0,1,0,0,0,2,17.94
31,96c64712e655ca456a3d3b0104d6c09e5f64074b,0,1,0,0,12,0,2,0,634,120.67
32,60a2e629d16b77fc8a3b7ee8f4533f68e6911f6e,12,8,1,0,40,24,15,0,2083,606.55
33,655728f3bf87f21104a6f02f4564901d79cf6bf2,0,4,0,0,2,7,20,12,1360,232.95
34,9eb369c26699fc265c2a0e780318513bd01b85a5,0,5,0,0,8,3,10,2,838,211.57
35,73183e6b975ea3817fad83a4cf779c6c545f652d,7,4,0,0,56,0,88,45,1678,472.41
36,a3073cc6dacc03756387a788de62498f1a64a411,2,0,0,0,0,0,0,0,0,39.74
