idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,89af8294f42a9a16b91a09f7808653a71648718f,0,1,0,1,0,0,0,0,344,568.93
1,ec9a568764ec7a2ff39c27b4ee7d35b0c703bc2d,4,25,0,24,446,140,130,235,3183,2705.59
2,add0c0c5a02d3d3a2864a5713545d7d06217d0eb,6,26,0,2,701,211,132,414,3480,1541.11
3,3a70f2f97b5888d6b12bd26f066e23f84f7eaee6,0,11,0,0,147,84,7,40,2877,682.02
4,a6b7be60d6833d9416db90cf46ec5e18d84ab5c0,7,17,1,0,679,743,91,187,3356,1178.28
5,ba1ef8c0c3380e264256a3e06b7eff798aa29e0e,0,3,0,0,0,0,0,0,233,62.05
6,8a53c236b9f576893175d0f6f33318ea473574d9,0,1,0,0,8,3,1,0,724,144.57
7,356f3919e9c10a56146ab1884c2b3432c9f1f4d9,0,1,0,0,0,0,0,0,163,38.19
8,47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,0,3,0,0,0,2,10,4,1495,262.33
9,e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,0,2,0,0,63,2,32,130,1270,280.98
10,a65898973081b8415fb7931452011ef28f2efaa0,2,3,1,0,0,17,2,0,619,257.22
11,19099c98b12f67747af78ca0b436a899a26467b0,0,15,0,0,51,17,3,14,3785,777.03
12,23f836454d9c5a495111b068f45d6aa89a2a724a,1,3,0,0,0,0,0,7,1102,218.18
13,e4194e10e51f0df323d14e297d0408770255e213,0,2,0,0,11,2,2,16,860,161.73
14,66839c4c17b169f5f2b6f39374558d9a5c3bc2e2,2,8,0,0,605,216,53,120,2377,844.75
15,7c3d11974bf7c2b4beb1a385cbab68d8175731b3,3,0,1,0,0,0,0,0,0,85.48
16,ac718209e5e31b0a001af3a623ffdb454193b1c7,5,16,0,0,241,207,68,198,4406,1268.04
17,3509f88c48bea3e669ba5f3e8cb7d3ab6ff44375,0,2,0,0,13,0,0,4,1073,262.02
18,3f5229c66f93e6e36c36cd6793a0daefcadb55ca,0,1,0,0,6,1,0,12,399,106.3
19,0dd5f2759eccb8d206ec2eaaa477d72cb9a2b8c1,1,0,1,0,0,0,0,0,0,155.04
20,cc8d45bd4779cf764760c83cec834193c8883adc,0,1,0,0,37,9,1,25,693,188.1
21,13c1e482530f8bcf62035449b12fe99014f186b3,10,0,0,0,0,0,0,0,0,439.21
22,e78644ed10f069a428fa28d8c6a2d6242e496430,0,6,0,1,135,69,74,207,2122,543.76
23,f503143412cb3c8e65141a05c7c3db69c907bf31,1,5,0,1,82,0,9,36,706,317.71
24,eef130fc9153a1958d0658fe3b6fbe6e20256737,0,33,0,3,159,157,128,235,5434,1364.66
25,2447ce192239ef10f7a39e92e914e663bf2402ae,1,0,0,0,0,0,0,0,0,62.23
26,d1f85d739e5ef236930e59c137de9dd33a1dbfaf,0,8,0,0,0,0,0,0,684,143.63
27,31a8ba569be8bfbef08dcd0646fca6eb74b2c19d,0,6,0,1,21,25,6,12,808,216.56
28,6455364281ea565214b35d7092dd2fbddb0edf72,0,6,0,0,49,4,2,3,2914,485.85
29,a31d0e5f31faf73b9d1b29e0099cb53220d2a523,0,2,0,0,0,0,0,0,675,115.51
30,2fa16d4fdf8f638009bbf92bbbf6c3fae4d5ed23,0,1,1,0,3,0,0,0,13,20.24
31,96c64712e655ca456a3d3b0104d6c09e5f64074b,0,1,0,0,9,0,0,0,733,112.96
32,60a2e629d16b77fc8a3b7ee8f4533f68e6911f6e,12,8,1,0,23,7,5,9,2481,781.64
33,655728f3bf87f21104a6f02f4564901d79cf6bf2,0,4,0,0,38,6,0,4,1693,310.58
34,9eb369c26699fc265c2a0e780318513bd01b85a5,0,5,0,0,14,4,7,10,752,203.79
35,73183e6b975ea3817fad83a4cf779c6c545f652d,7,4,0,0,37,0,11,32,1897,577.59
36,a3073cc6dacc03756387a788de62498f1a64a411,2,0,0,0,0,0,0,0,0,67.69
37,2e49c9451bb1867454a7e16074ba8ba913872f2f,1,5,0,0,29,0,9,13,958,235.2
38,eaf0a7b1541f50c126d8e95129b14a5a55c790c4,1,16,0,0,17,9,5,17,4618,964.16
39,f613907a98a732364c5a2a5f1f4ece7bc99f555e,1,2,0,0,56,38,26,90,1727,389.49
40,87f5d5dffd96e09d789a9063f8f6d98a75fb24dd,25,0,0,0,0,0,0,0,0,1048.34
41,19d1b8ea36ffe7826b4aa77be2dea9627ddfd111,0,3,0,0,0,0,0,0,112,41.09
42,d14fa818912e49ed6b23beb09495d9f66c03aa25,0,4,0,0,198,69,95,210,2274,519.09
43,14dd64dacef318966ac251af07c4983fe19d7e1f,0,5,0,0,40,9,8,35,2039,442.71
44,8c14bab2c421887218139622b7e0ba4129f1b423,0,3,0,0,44,38,0,0,122,51.46
45,4ed118700d5a8355fb8613c85ee87ec0ab2d0023,1,5,0,0,16,0,4,6,1174,217.21
46,5463de47b3f41a254eb3159b6963f3c92f660388,1,1,0,0,15,1,0,17,818,175.73
47,cbb844d5f0be591c76e84e325b40fc313851d57c,3,5,0,0,111,0,2,17,1561,441.4
48,6a64ae1542cba6564450a63788181adcf0851f93,0,12,0,0,12,7,2,15,2733,574.0
49,bf798cca50a330d9807671c62378245710887e4a,0,2,0,0,14,20,19,45,1623,357.61
50,377bf72458b3708f4078b043dce9425ebb807a46,5,0,0,0,0,0,0,0,0,170.01
51,43e253359a010a763da3686f9271bdf17e955d2a,0,2,0,0,49,0,0,4,690,172.53
52,5b1bd1f8f2d614c945f6a5889a9d4f25b87fe172,0,9,0,0,88,83,65,177,2217,520.35
53,a9acbeab0800dd1d3c13aaaea07d2975b0f49cb4,0,4,0,0,217,211,10,25,1379,362.52
54,4fa87a0cbbf6927df54853aa4f46c9174aa63344,1,2,0,2,39,10,39,53,660,415.48
55,b205cac36d9af1bf610b1d6f07900690ce4e4c33,0,54,0,5,172,36,0,29,2608,821.52
56,931d452cb2cc069bbb97e45dca094e9b163275c3,1,21,0,4,882,319,149,385,4658,1646.24
57,0c7ac6795f6f37dc014341efe184998ccbeb59bc,0,20,0,1,111,164,50,102,5102,1059.11
58,391379a6fb4474428faeecfa8336b28503ca0400,0,11,0,0,42,814,25,51,3279,705.64
59,6c8e71367141628445b4cc843ad60afdfb5bb7c7,0,3,0,0,0,0,0,0,392,88.42
60,9dedf26b0f5bdb6790a466d8991eca31d7151656,0,16,0,0,11,4,18,57,984,298.74
61,e220809017200e6a515218f6ecb36a4f48d1a940,0,2,0,0,0,2,0,4,116,44.46
62,b7f01dce989c91e7d50cc80ee88042e5d995dab9,1,21,2,1,268,142,60,163,4380,1132.12
