idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,89af8294f42a9a16b91a09f7808653a71648718f,0,1,0,1,0,0,0,0,298,374.38
1,ec9a568764ec7a2ff39c27b4ee7d35b0c703bc2d,4,25,0,24,410,102,0,140,2518,2099.3
2,add0c0c5a02d3d3a2864a5713545d7d06217d0eb,6,26,0,2,775,189,0,375,2794,1010.92
3,3a70f2f97b5888d6b12bd26f066e23f84f7eaee6,0,11,0,0,145,79,0,24,2544,449.49
4,a6b7be60d6833d9416db90cf46ec5e18d84ab5c0,7,17,1,0,618,672,0,148,2974,881.87
5,ba1ef8c0c3380e264256a3e06b7eff798aa29e0e,0,3,0,0,0,0,0,0,186,44.48
6,8a53c236b9f576893175d0f6f33318ea473574d9,0,1,0,0,4,3,0,0,648,108.99
7,356f3919e9c10a56146ab1884c2b3432c9f1f4d9,0,1,0,0,0,0,0,0,108,30.04
8,47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,0,3,0,0,2,2,0,9,1332,190.09
9,e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,0,2,0,0,88,3,0,116,1098,193.13
10,a65898973081b8415fb7931452011ef28f2efaa0,2,3,1,0,0,16,0,1,564,157.77
11,19099c98b12f67747af78ca0b436a899a26467b0,0,15,0,0,28,10,0,22,3325,545.14
12,23f836454d9c5a495111b068f45d6aa89a2a724a,1,3,0,0,0,1,0,2,1026,158.04
13,e4194e10e51f0df323d14e297d0408770255e213,0,2,0,0,9,3,0,16,799,131.76
14,66839c4c17b169f5f2b6f39374558d9a5c3bc2e2,2,8,0,0,576,209,0,92,2112,570.89
15,7c3d11974bf7c2b4beb1a385cbab68d8175731b3,3,0,1,0,0,0,0,0,0,59.05
16,ac718209e5e31b0a001af3a623ffdb454193b1c7,5,16,0,0,195,213,0,192,3949,753.49
17,3509f88c48bea3e669ba5f3e8cb7d3ab6ff44375,0,2,0,0,16,0,0,5,969,148.54
18,3f5229c66f93e6e36c36cd6793a0daefcadb55ca,0,1,0,0,5,3,0,14,405,67.93
19,0dd5f2759eccb8d206ec2eaaa477d72cb9a2b8c1,1,0,1,0,0,0,0,0,0,81.64
20,cc8d45bd4779cf764760c83cec834193c8883adc,0,1,0,0,41,5,0,22,670,102.82
21,13c1e482530f8bcf62035449b12fe99014f186b3,10,0,0,0,0,0,0,0,0,286.34
22,e78644ed10f069a428fa28d8c6a2d6242e496430,0,6,0,1,158,47,0,196,1860,388.24
23,f503143412cb3c8e65141a05c7c3db69c907bf31,1,5,0,1,59,1,0,34,627,199.86
24,eef130fc9153a1958d0658fe3b6fbe6e20256737,0,33,0,3,126,126,0,176,4697,934.39
25,2447ce192239ef10f7a39e92e914e663bf2402ae,1,0,0,0,0,0,0,0,0,26.73
26,d1f85d739e5ef236930e59c137de9dd33a1dbfaf,0,8,0,0,0,0,0,0,545,106.43
27,31a8ba569be8bfbef08dcd0646fca6eb74b2c19d,0,6,0,1,13,26,0,13,778,147.8
28,6455364281ea565214b35d7092dd2fbddb0edf72,0,6,0,0,32,6,0,2,2654,368.42
29,a31d0e5f31faf73b9d1b29e0099cb53220d2a523,0,2,0,0,0,0,0,0,592,80.91
30,2fa16d4fdf8f638009bbf92bbbf6c3fae4d5ed23,0,1,1,0,4,0,0,0,7,19.62
31,96c64712e655ca456a3d3b0104d6c09e5f64074b,0,1,0,0,7,0,0,0,712,102.46
32,60a2e629d16b77fc8a3b7ee8f4533f68e6911f6e,12,8,1,0,14,2,0,6,2289,714.84
33,655728f3bf87f21104a6f02f4564901d79cf6bf2,0,4,0,0,13,4,0,8,1518,268.9
34,9eb369c26699fc265c2a0e780318513bd01b85a5,0,5,0,0,20,5,0,13,625,186.39
35,73183e6b975ea3817fad83a4cf779c6c545f652d,7,4,0,0,44,0,0,50,1701,490.92
36,a3073cc6dacc03756387a788de62498f1a64a411,2,0,0,0,0,0,0,0,0,37.93
37,2e49c9451bb1867454a7e16074ba8ba913872f2f,1,5,0,0,37,0,0,25,819,181.5
38,eaf0a7b1541f50c126d8e95129b14a5a55c790c4,1,16,0,0,13,3,0,17,4184,649.92
39,f613907a98a732364c5a2a5f1f4ece7bc99f555e,1,2,0,0,59,42,0,109,1638,273.06
40,87f5d5dffd96e09d789a9063f8f6d98a75fb24dd,25,0,0,0,0,0,0,0,0,667.18
41,19d1b8ea36ffe7826b4aa77be2dea9627ddfd111,0,3,0,0,0,0,0,0,85,32.21
42,d14fa818912e49ed6b23beb09495d9f66c03aa25,0,4,0,0,271,58,0,279,2118,409.7
43,14dd64dacef318966ac251af07c4983fe19d7e1f,0,5,0,0,34,9,0,25,1956,294.91
44,8c14bab2c421887218139622b7e0ba4129f1b423,0,3,0,0,38,35,0,0,81,43.96
45,4ed118700d5a8355fb8613c85ee87ec0ab2d0023,1,5,0,0,7,0,0,0,532,157.69
46,5463de47b3f41a254eb3159b6963f3c92f660388,1,1,0,0,21,0,0,15,813,135.44
47,cbb844d5f0be591c76e84e325b40fc313851d57c,3,5,0,0,80,0,0,25,1472,285.38
48,6a64ae1542cba6564450a63788181adcf0851f93,0,12,0,0,14,10,0,14,2450,423.56
49,bf798cca50a330d9807671c62378245710887e4a,0,2,0,0,12,20,0,32,1550,215.15
50,377bf72458b3708f4078b043dce9425ebb807a46,5,0,0,0,0,0,0,0,0,107.67
51,43e253359a010a763da3686f9271bdf17e955d2a,0,2,0,0,33,0,0,6,595,127.93
52,5b1bd1f8f2d614c945f6a5889a9d4f25b87fe172,0,9,0,0,81,102,0,206,1886,392.7
53,a9acbeab0800dd1d3c13aaaea07d2975b0f49cb4,0,4,0,0,234,207,0,46,1292,266.5
54,4fa87a0cbbf6927df54853aa4f46c9174aa63344,1,2,0,2,36,15,0,75,674,299.33
55,b205cac36d9af1bf610b1d6f07900690ce4e4c33,0,54,0,5,157,24,0,28,1941,587.23
56,931d452cb2cc069bbb97e45dca094e9b163275c3,1,21,0,4,712,315,0,381,4121,1142.25
57,0c7ac6795f6f37dc014341efe184998ccbeb59bc,0,20,0,1,92,127,0,84,4524,753.42
58,391379a6fb4474428faeecfa8336b28503ca0400,0,11,0,0,34,914,0,58,3010,517.47
59,6c8e71367141628445b4cc843ad60afdfb5bb7c7,0,3,0,0,0,0,0,0,360,63.02
60,9dedf26b0f5bdb6790a466d8991eca31d7151656,0,16,0,0,3,3,0,18,556,178.72
61,e220809017200e6a515218f6ecb36a4f48d1a940,0,2,0,0,0,2,0,5,72,30.58
62,b7f01dce989c91e7d50cc80ee88042e5d995dab9,1,21,2,1,214,135,0,149,3945,793.23
63,17cc1759fceb3ee260e18c5e11ce7598cb8c31aa,0,1,0,0,0,0,0,0,242,63.97
64,00c1b877e8bb104516139dbad4d70e27c67c688b,0,6,0,0,60,96,0,17,2479,410.68
65,4ebd558b41cc10348a97a2cafa03e6055a079129,0,1,0,0,2,0,0,4,535,85.96
66,e41859593baae5a556e6bf7376a7d59b70474bf7,0,3,0,0,5,28,0,3,578,99.53
67,ec2d29c90270e16ec9a41706713d1722602838d7,0,1,0,0,24,20,0,24,1186,165.02
68,1756a22f03e9469db6d1c6ca6312fafb395018be,0,14,0,0,47,3,0,101,3726,619.84
69,5e3c5037b4bc07f69bffb86c29796345d56542b1,0,6,0,0,34,14,0,68,2991,448.96
70,07224fe303a3dccee5bb407d195d93901c75c8ec,1,6,0,0,12,2,0,1,556,159.72
71,e9aafde1f124c396f629749d9d78968614c0ad34,0,3,0,0,2,1,0,3,1993,295.17
72,f56ee6b375ec904beb37d1a3c303d8d6c9bd71b3,0,4,0,0,54,28,0,0,610,121.62
73,660bce1d278f3eb471b75bb85864efdc5e53f354,0,1,0,0,12,0,0,1,1232,164.58
74,5dc1ee32c0364dbe40dd3c08d6137776f811b6a6,0,1,0,0,4,0,0,0,130,27.31
75,59825ac875d90ae0083b992b72dc9a57f9c5941d,1,6,0,0,58,96,0,3,1753,330.91
76,7d48b5f7d52c7fd246d32a158d0ecba9d946f383,0,2,0,0,0,0,0,0,147,40.38
77,aba565a22873439f7ee8f6d53091b3ce709fc96c,0,2,0,0,4,2,0,10,649,108.2
78,a1689adf0e0e4b92dc4909431e7ee757020e0a7f,0,15,1,0,2,0,0,1,2927,440.69
79,844e56e70451e9226fb0cb20ebdfcf1042099109,0,26,0,0,12,1,0,9,3393,662.18
80,49d4f333f4781c9b4b518d177d33523f49aec8e6,1,1,0,0,0,0,0,0,343,74.93
81,1d19158ac5333a39c8c50fbd852133bb99ac4906,0,4,0,0,94,64,0,10,678,192.4
82,84ef0f95efccfe4416a6542df666686c4d3343bb,0,2,0,0,0,25,0,0,513,78.15
83,6626ee072ac86fc843e1f720f288c5404a0aec75,0,16,1,1,9,88,0,43,982,301.1
84,135670ccf4a72557d1166deb7f441bed3a67f195,0,12,0,0,5,12,0,1,841,198.26
85,361f74c0c267904ec270bf3a636706663abee17f,2,6,0,0,89,42,0,48,2497,446.59
86,2cc1c9f65b136ae77eb79600e23e5b2b5fa8f0f0,0,20,0,0,286,73,0,86,2577,551.38
87,5df7ca8c432c1671407e29188ff6c033db435eb8,0,0,1,0,0,0,0,0,0,14.3
88,223a3e46d03c539d58e7c55b5ab2a4f1f429eaa1,0,1,0,0,1,0,0,1,50,21.25
89,a214798763e78b6434d87bb75b798d222b950c0d,0,1,0,0,0,1,0,1,50,18.93
90,5fe41420e62f259a4ba48484633b574d080a769c,0,1,0,0,0,1,0,1,49,17.71
91,d60908dcf9c8c0cfb3701d1b9b5f52e8239691df,0,2,0,0,0,0,0,0,878,112.66
92,aeceb916fce5eae892932898c9641ec045eec62c,0,4,0,0,2,18,0,13,76,53.56
93,d660cfc5269085dcc5da75ab2f8fab098a31f177,5,27,0,0,494,143,0,39,922,585.53
94,1596f8aa10e3af2549c406a90a04ab85447830ea,0,5,0,0,19,9,0,44,1959,290.86
95,83298b472161b20be5a670fc9fdcbce6fe15ee2a,0,10,0,0,176,298,0,217,2617,479.03
96,7ce0506c27df35f9cce4b797ebd493585accffd4,5,0,0,0,0,0,0,0,0,69.09
97,b271048e2f86b9d186be6b71c504c0dda92c0966,1,5,0,0,9,2,0,3,2588,381.33
98,20a6c00b5cafd152c84a5d35ab66420805d75e15,0,5,0,0,13,11,0,22,1455,230.3
99,4404e14c16c64e5599e739cac7ede0e48e7f98e1,0,5,0,0,23,11,0,0,808,215.25
100,1657302ec155567b777ae8106725efc5264d40b1,1,0,0,0,0,0,0,0,0,40.92
101,f81060229f3a70c3ea9d56d56d364ec2a2c1a2e8,0,12,0,0,26,4,0,40,2711,436.86
102,8f3b423b73a76914af2bee72db94f177b2a3add8,0,5,0,0,9,0,0,5,637,116.41
103,2cf41fe53512875a1baef933492b3961030f3fc7,1,6,0,0,15,25,0,19,983,214.08
104,87f305b608f7449ba2b622d764dbb80ab870602b,0,2,1,0,23,4,0,25,742,124.84
105,ccf42acf70609e8086c3f46b5c18ca8f6c13117d,0,2,0,0,7,0,0,1,28,29.44
