idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,89af8294f42a9a16b91a09f7808653a71648718f,0,1,0,1,4,4,0,0,4076,1700.75
1,ec9a568764ec7a2ff39c27b4ee7d35b0c703bc2d,4,25,0,24,4670,918,36,604,31294,21556.38
2,add0c0c5a02d3d3a2864a5713545d7d06217d0eb,6,26,0,2,5780,1295,67,1229,34730,13692.1
3,3a70f2f97b5888d6b12bd26f066e23f84f7eaee6,0,11,0,0,932,536,4,189,27363,5459.06
4,a6b7be60d6833d9416db90cf46ec5e18d84ab5c0,7,17,1,0,1714,2172,23,303,37521,10241.96
5,ba1ef8c0c3380e264256a3e06b7eff798aa29e0e,0,3,0,0,0,0,0,0,2266,766.08
6,8a53c236b9f576893175d0f6f33318ea473574d9,0,1,0,0,31,0,0,2,6536,770.66
7,356f3919e9c10a56146ab1884c2b3432c9f1f4d9,0,1,0,0,3,2,0,0,1634,365.76
8,47bf7fd8bbaca22a89e7429e52dcac5a5126d38a,0,3,0,0,252,119,1,114,13719,2005.13
9,e3e22fe37eae6b22ba80ae24dfc7a219a119d92a,0,2,0,0,569,64,5,171,10939,1592.07
10,a65898973081b8415fb7931452011ef28f2efaa0,2,3,1,0,8,80,5,11,5795,2064.02
11,19099c98b12f67747af78ca0b436a899a26467b0,0,15,0,0,644,346,13,41,34727,6749.48
12,23f836454d9c5a495111b068f45d6aa89a2a724a,1,3,0,0,136,197,0,102,10819,1934.7
13,e4194e10e51f0df323d14e297d0408770255e213,0,2,0,0,122,16,0,0,7636,1123.09
14,66839c4c17b169f5f2b6f39374558d9a5c3bc2e2,2,8,0,0,4256,808,42,484,22536,5657.47
15,7c3d11974bf7c2b4beb1a385cbab68d8175731b3,3,0,1,0,0,0,0,0,0,889.27
16,ac718209e5e31b0a001af3a623ffdb454193b1c7,5,16,0,0,2636,1447,44,830,42399,9591.37
17,3509f88c48bea3e669ba5f3e8cb7d3ab6ff44375,0,2,0,0,161,40,2,46,9241,1288.05
18,3f5229c66f93e6e36c36cd6793a0daefcadb55ca,0,1,0,0,118,24,0,17,3993,600.49
19,0dd5f2759eccb8d206ec2eaaa477d72cb9a2b8c1,1,0,1,0,0,0,0,0,0,797.0
20,cc8d45bd4779cf764760c83cec834193c8883adc,0,1,0,0,396,91,6,137,6226,887.22
21,13c1e482530f8bcf62035449b12fe99014f186b3,10,0,0,0,0,0,0,0,0,3509.97
22,e78644ed10f069a428fa28d8c6a2d6242e496430,0,6,0,1,1721,755,41,723,19153,4068.5
23,f503143412cb3c8e65141a05c7c3db69c907bf31,1,5,0,1,806,71,4,103,6955,2900.95
24,eef130fc9153a1958d0658fe3b6fbe6e20256737,0,33,0,3,2212,2192,43,1043,52073,14732.49
25,2447ce192239ef10f7a39e92e914e663bf2402ae,1,0,0,0,0,0,0,0,0,354.46
26,d1f85d739e5ef236930e59c137de9dd33a1dbfaf,0,8,0,0,0,0,0,0,6564,2169.41
27,31a8ba569be8bfbef08dcd0646fca6eb74b2c19d,0,6,0,1,194,251,3,26,7394,2501.99
28,6455364281ea565214b35d7092dd2fbddb0edf72,0,6,0,0,329,19,4,34,26395,3663.79
29,a31d0e5f31faf73b9d1b29e0099cb53220d2a523,0,2,0,0,18,0,0,2,5991,942.35
30,2fa16d4fdf8f638009bbf92bbbf6c3fae4d5ed23,0,1,1,0,12,0,0,7,105,354.08
31,96c64712e655ca456a3d3b0104d6c09e5f64074b,0,1,0,0,70,0,0,0,6461,727.14
32,60a2e629d16b77fc8a3b7ee8f4533f68e6911f6e,12,8,1,0,264,105,0,15,22152,7365.03
33,655728f3bf87f21104a6f02f4564901d79cf6bf2,0,4,0,0,252,102,2,29,14610,2384.9
34,9eb369c26699fc265c2a0e780318513bd01b85a5,0,5,0,0,99,12,0,22,8237,1887.04
35,73183e6b975ea3817fad83a4cf779c6c545f652d,7,4,0,0,474,12,2,53,17376,4747.23
36,a3073cc6dacc03756387a788de62498f1a64a411,2,0,0,0,0,0,0,0,0,683.44
37,2e49c9451bb1867454a7e16074ba8ba913872f2f,1,5,0,0,175,3,0,4,9448,2408.08
38,eaf0a7b1541f50c126d8e95129b14a5a55c790c4,1,16,0,0,612,137,48,589,44454,8124.11
