idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,be7e270c27d84362f44b8e9a079f56dd046d6ffd,0,4,0,4,15,3,0,12,398,1698.05
1,4282f7d01c91575a552f99c5c698fc145d4fc9c4,0,1,0,1,4,0,0,6,103,138.77
2,651a138b543d5633917bc852524d8e22d926f5a1,0,1,0,1,136,0,0,12,1397,936.93
3,45584492b16f6271011659539371925ef8cd648e,0,2,0,2,119,36,0,41,745,643.89
4,7baa55c6da6e3f2baf2ebd26e6d7ebc2f7cd440e,39,0,0,0,0,0,0,0,0,1992.79
5,6b749c14837b5a4c4d9a7f87bc2176618b2e139f,5,2,0,2,1,0,0,0,60,359.59
6,dda8b4518e626838d3f0273fae62cc1ac59d6057,0,1,0,1,7,0,0,2,101,96.27
7,2e97965440710901b9223c984b9e14f9e57e43b2,8,1,0,0,0,0,0,0,108,438.8
8,b3e5447b349ef5a4c118880ff3b1236744324fcc,0,5,0,3,64,2,0,90,1264,693.03
9,9799871704a0f5fb43c63462d10c93dec7fac240,0,2,0,1,3,1,0,1,333,167.23
10,81d320b946225da0a8ec9993be11c1be5c0b2908,0,1,0,0,600,215,0,251,1318,506.39
11,7e07f6d52495c3bd88d8344edcaa5688f367961e,0,5,0,3,151,28,0,70,920,652.48
12,57a6725e1202a55076daa95eb72d6bc602a349e7,1,0,0,0,0,0,0,0,0,43.9
13,86c75f17ff42b6b3518d365335beb24e955f1ba6,0,1,0,0,264,246,0,12,41,142.01
14,ae7f9b0712c72bd54212a1859d83712d236e9873,0,2,0,2,2,2,0,1,32,133.45
15,b95207762b16e9c226945c18588892f4908ec725,1,2,0,1,29,0,0,2,215,252.54
16,4737a7ebb00abb2ce321f4a548ed105cbd4ba2b7,0,1,0,1,0,0,0,0,161,84.0
17,24a43881b24ba6178caf9130b270294c16860658,0,6,0,6,30,18,0,65,3193,1211.42
18,a95b83593c7f6d223226941aba1a272631a580b5,7,0,0,0,0,0,0,0,0,182.23
19,9691a93c647d414b863990f44d82408755fae12c,0,2,0,1,51,125,0,31,1826,400.74
20,5b2188c002dd6804566d505021c8b825ed4989fe,0,1,0,0,4,1,0,13,158,96.03
21,f62cbb750af9c8b837f9887b01ffc0f4f2f7e925,0,2,0,1,74,54,0,25,664,386.12
22,ebc7227fa786fb7bd1e4a7adfe3e3dade684c68b,2,1,0,0,0,0,0,0,17,155.84
23,672e761169ef47e2b45450afec2dc95dc64d2c0a,0,1,0,1,0,0,0,0,273,195.73
24,53f09ea0ad96d996ff02851f3d2c8c28c1aae77c,0,7,0,6,61,47,0,15,2242,1021.64
25,2d0c4e8ccabf4704c6f5189226b123ccaeb4f92e,1,0,0,0,0,0,0,0,0,74.82
26,7f2405ba73737a913e0647010b7b04098abb326e,0,1,0,1,0,0,0,0,119,86.25
27,879d51ca751f248f97b74e21ead110a3470afae0,0,5,0,2,28,0,0,38,2837,725.52
28,a89c9a19b7d2e292ca6101be4ea865e30552c6b7,0,3,0,1,100,1,0,12,2155,668.9
29,479523ee25bdafc7ec146da843a4b1d18fa43349,1,3,0,2,10,80,0,4,712,659.21
30,ca196fce89c50864208d5717df7726039e94291a,0,3,1,0,80,10,0,7,712,397.7
31,b3d2e3defa2d5b45a777a64dc2f17fe699041260,1,6,0,3,59,106,0,11,1108,720.5
32,85e1877e8e7ca21125eacdee8911d514fc46389f,4,0,0,0,0,0,0,0,0,179.76
33,6aa3d8bed524febd78d519a5a00acef0cff4293a,0,1,0,1,0,5,0,0,33,87.48
34,fe66edeb1b886257fc7720ae2064806cea6c5f4f,0,1,0,1,5,0,0,0,8,114.16
35,9bed93f2bd6fb3fddcbe35afc14df2124ad7ba80,0,3,0,1,0,0,0,0,698,198.89
36,b5b15ba0f206e0b10704195cd3ec93b3129f320f,0,2,0,0,21,15,0,8,83,177.23
37,b18a8b8ab2239d6f7792f6e90af80023d509602b,11,1,0,1,0,2,0,0,161,1360.24
38,f4a5e678af30db49529cc48d834e520db72a9e83,0,5,0,0,30,7,0,6,1059,270.82
39,1268977a3cf888d39857dc4b2606561e09a98048,0,13,0,6,54,12,0,36,2529,1135.92
40,44b5a12e7e1c660201a96f8df2d6f685af06664c,0,1,0,0,0,0,0,0,13,24.34
41,a878c3e1aae11a7ebed1a100aab9c6d4174f3c65,4,8,0,3,83,15,0,41,1383,758.73
42,f11c6a68cad0fac1bc413073fe9eac0004cced61,1,2,0,1,8,0,0,3,596,283.57
43,4f6226f8cedae8812e30d6b8624307e452685bd1,0,1,0,0,10,7,0,33,1843,378.1
44,7559d8999d4e76d881ad64c1b181a9bc1c94a365,0,1,0,0,0,0,0,0,135,31.51
45,94e9d8f3a4336a7b626cbcd730e4d2046f131196,0,2,0,1,4,1,0,8,170,180.82
46,1a7118cdb4eec2fee372e3ddb000d0087b4f0859,0,3,0,0,7,0,0,1,968,200.09
47,330deab41afe941de0a9f6b37c39a4b67c4aee00,0,3,0,0,52,22,0,44,2213,556.55
48,44fc71ab0ad55a1478f1a77c0ab15fbcd4821830,0,4,0,1,16,0,0,28,1125,383.84
49,13025a34c3fe56ca47f47b398b6a5f9d146f6051,2,10,0,0,91,25,0,16,1753,793.65
50,1b26afef7b5dcd0a5a0e3d29fdcc6b6f439fcc5d,0,1,0,0,2,0,0,1,162,67.71
51,4ad11d37af1283fa1fb72ddb3c08ce59d1d323f8,0,2,0,0,9,0,0,0,233,65.38
52,aaedf525d8853da3fdc6e409fac60a44fb98ddb4,1,1,0,0,30,0,0,8,151,134.53
53,a275fef41fb6b05325bac27b9a293a5a319b3604,0,1,0,0,3,6,0,5,83,103.41
