idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,be7e270c27d84362f44b8e9a079f56dd046d6ffd,0,4,0,4,15,2,33,9,373,941.88
1,4282f7d01c91575a552f99c5c698fc145d4fc9c4,0,1,0,1,4,0,6,1,86,165.79
2,651a138b543d5633917bc852524d8e22d926f5a1,0,1,0,1,199,0,30,19,1726,812.91
3,45584492b16f6271011659539371925ef8cd648e,0,2,0,2,75,15,68,27,571,436.67
4,7baa55c6da6e3f2baf2ebd26e6d7ebc2f7cd440e,39,0,0,0,0,0,0,0,0,1399.96
5,6b749c14837b5a4c4d9a7f87bc2176618b2e139f,5,2,0,2,1,0,0,0,60,313.4
6,dda8b4518e626838d3f0273fae62cc1ac59d6057,0,1,0,1,11,0,2,0,87,108.62
7,2e97965440710901b9223c984b9e14f9e57e43b2,8,1,0,0,0,0,0,0,98,378.88
8,b3e5447b349ef5a4c118880ff3b1236744324fcc,0,5,0,3,79,0,77,15,1086,693.91
9,9799871704a0f5fb43c63462d10c93dec7fac240,0,2,0,1,7,0,0,0,328,138.55
10,81d320b946225da0a8ec9993be11c1be5c0b2908,0,1,0,0,850,223,757,263,1702,603.64
11,7e07f6d52495c3bd88d8344edcaa5688f367961e,0,5,0,3,224,25,101,30,851,893.71
12,57a6725e1202a55076daa95eb72d6bc602a349e7,1,0,0,0,0,0,0,0,0,74.51
13,86c75f17ff42b6b3518d365335beb24e955f1ba6,0,1,0,0,131,101,25,0,38,118.75
14,ae7f9b0712c72bd54212a1859d83712d236e9873,0,2,0,2,0,2,1,0,8,101.62
15,b95207762b16e9c226945c18588892f4908ec725,1,2,0,1,28,0,0,0,177,156.58
16,4737a7ebb00abb2ce321f4a548ed105cbd4ba2b7,0,1,0,1,1,0,0,0,144,94.54
17,24a43881b24ba6178caf9130b270294c16860658,0,6,0,6,25,14,103,39,2087,1094.44
18,a95b83593c7f6d223226941aba1a272631a580b5,7,0,0,0,0,0,0,0,0,158.7
19,9691a93c647d414b863990f44d82408755fae12c,0,2,0,1,44,140,148,65,2434,433.31
20,5b2188c002dd6804566d505021c8b825ed4989fe,0,1,0,0,2,1,23,2,175,138.33
21,f62cbb750af9c8b837f9887b01ffc0f4f2f7e925,0,2,0,1,67,60,41,15,480,329.86
22,ebc7227fa786fb7bd1e4a7adfe3e3dade684c68b,2,1,0,0,0,0,0,0,18,89.08
23,672e761169ef47e2b45450afec2dc95dc64d2c0a,0,1,0,1,0,0,0,0,370,127.38
24,53f09ea0ad96d996ff02851f3d2c8c28c1aae77c,0,7,0,6,93,53,37,18,2883,921.12
25,2d0c4e8ccabf4704c6f5189226b123ccaeb4f92e,1,0,0,0,0,0,0,0,0,85.94
26,7f2405ba73737a913e0647010b7b04098abb326e,0,1,0,1,1,0,10,4,134,147.06
27,879d51ca751f248f97b74e21ead110a3470afae0,0,5,0,2,22,1,54,13,3259,881.75
28,a89c9a19b7d2e292ca6101be4ea865e30552c6b7,0,3,0,1,115,2,74,43,2859,723.05
29,479523ee25bdafc7ec146da843a4b1d18fa43349,1,3,0,2,14,72,10,3,562,440.25
30,ca196fce89c50864208d5717df7726039e94291a,0,3,1,0,72,14,10,4,562,321.56
31,b3d2e3defa2d5b45a777a64dc2f17fe699041260,1,6,0,3,71,91,32,11,863,521.73
32,85e1877e8e7ca21125eacdee8911d514fc46389f,4,0,0,0,0,0,0,0,0,180.24
33,6aa3d8bed524febd78d519a5a00acef0cff4293a,0,1,0,1,0,2,0,0,12,54.91
34,fe66edeb1b886257fc7720ae2064806cea6c5f4f,0,1,0,1,6,0,3,0,3,65.69
35,9bed93f2bd6fb3fddcbe35afc14df2124ad7ba80,0,3,0,1,0,0,0,0,801,159.12
36,b5b15ba0f206e0b10704195cd3ec93b3129f320f,0,2,0,0,28,0,7,1,38,101.64
37,b18a8b8ab2239d6f7792f6e90af80023d509602b,11,1,0,1,0,2,3,0,109,775.36
38,f4a5e678af30db49529cc48d834e520db72a9e83,0,5,0,0,18,5,7,4,1107,296.18
39,1268977a3cf888d39857dc4b2606561e09a98048,0,13,0,6,51,7,79,37,2153,899.77
40,44b5a12e7e1c660201a96f8df2d6f685af06664c,0,1,0,0,0,0,0,0,21,19.21
41,a878c3e1aae11a7ebed1a100aab9c6d4174f3c65,4,8,0,3,87,17,53,0,1049,595.12
42,f11c6a68cad0fac1bc413073fe9eac0004cced61,1,2,0,1,7,0,12,1,683,284.13
