idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,be7e270c27d84362f44b8e9a079f56dd046d6ffd,0,4,0,4,15,3,0,8,398,897.54
1,4282f7d01c91575a552f99c5c698fc145d4fc9c4,0,1,0,1,4,0,4,5,103,151.01
2,651a138b543d5633917bc852524d8e22d926f5a1,0,1,0,1,136,0,3,12,1397,941.75
3,45584492b16f6271011659539371925ef8cd648e,0,2,0,2,119,36,27,20,745,643.93
4,7baa55c6da6e3f2baf2ebd26e6d7ebc2f7cd440e,39,0,0,0,0,0,0,0,0,1665.34
5,6b749c14837b5a4c4d9a7f87bc2176618b2e139f,5,2,0,2,1,0,0,0,60,305.77
6,dda8b4518e626838d3f0273fae62cc1ac59d6057,0,1,0,1,7,0,0,1,101,105.87
7,2e97965440710901b9223c984b9e14f9e57e43b2,8,1,0,0,0,0,0,0,108,378.21
8,b3e5447b349ef5a4c118880ff3b1236744324fcc,0,5,0,3,64,2,17,63,1264,815.93
9,9799871704a0f5fb43c63462d10c93dec7fac240,0,2,0,1,3,1,0,1,333,212.97
10,81d320b946225da0a8ec9993be11c1be5c0b2908,0,1,0,0,600,215,52,231,1318,632.31
11,7e07f6d52495c3bd88d8344edcaa5688f367961e,0,5,0,3,151,28,37,42,920,819.34
12,57a6725e1202a55076daa95eb72d6bc602a349e7,1,0,0,0,0,0,0,0,0,49.28
13,86c75f17ff42b6b3518d365335beb24e955f1ba6,0,1,0,0,264,246,0,13,41,175.52
14,ae7f9b0712c72bd54212a1859d83712d236e9873,0,2,0,2,2,2,0,0,32,102.04
15,b95207762b16e9c226945c18588892f4908ec725,1,2,0,1,29,0,0,0,215,193.19
16,4737a7ebb00abb2ce321f4a548ed105cbd4ba2b7,0,1,0,1,0,0,0,0,161,97.23
17,24a43881b24ba6178caf9130b270294c16860658,0,6,0,6,30,18,34,63,3193,1617.57
18,a95b83593c7f6d223226941aba1a272631a580b5,7,0,0,0,0,0,0,0,0,185.06
19,9691a93c647d414b863990f44d82408755fae12c,0,2,0,1,51,125,7,24,1826,479.55
20,5b2188c002dd6804566d505021c8b825ed4989fe,0,1,0,0,4,1,1,9,158,173.92
21,f62cbb750af9c8b837f9887b01ffc0f4f2f7e925,0,2,0,1,74,54,10,12,664,439.89
22,ebc7227fa786fb7bd1e4a7adfe3e3dade684c68b,2,1,0,0,0,0,0,0,17,149.3
23,672e761169ef47e2b45450afec2dc95dc64d2c0a,0,1,0,1,0,0,0,0,273,179.73
24,53f09ea0ad96d996ff02851f3d2c8c28c1aae77c,0,7,0,6,61,47,5,14,2242,1061.53
25,2d0c4e8ccabf4704c6f5189226b123ccaeb4f92e,1,0,0,0,0,0,0,0,0,65.77
26,7f2405ba73737a913e0647010b7b04098abb326e,0,1,0,1,0,0,0,1,119,95.89
27,879d51ca751f248f97b74e21ead110a3470afae0,0,5,0,2,28,0,15,29,2837,893.84
28,a89c9a19b7d2e292ca6101be4ea865e30552c6b7,0,3,0,1,100,1,2,5,2155,673.76
29,479523ee25bdafc7ec146da843a4b1d18fa43349,1,3,0,2,10,80,0,3,712,482.05
30,ca196fce89c50864208d5717df7726039e94291a,0,3,1,0,80,10,0,4,712,307.9
31,b3d2e3defa2d5b45a777a64dc2f17fe699041260,1,6,0,3,59,106,1,7,1108,675.16
32,85e1877e8e7ca21125eacdee8911d514fc46389f,4,0,0,0,0,0,0,0,0,182.08
33,6aa3d8bed524febd78d519a5a00acef0cff4293a,0,1,0,1,0,5,0,0,33,56.96
34,fe66edeb1b886257fc7720ae2064806cea6c5f4f,0,1,0,1,5,0,0,0,8,67.65
35,9bed93f2bd6fb3fddcbe35afc14df2124ad7ba80,0,3,0,1,0,0,0,0,698,185.28
36,b5b15ba0f206e0b10704195cd3ec93b3129f320f,0,2,0,0,21,15,0,1,83,123.89
37,b18a8b8ab2239d6f7792f6e90af80023d509602b,11,1,0,1,0,2,0,0,161,1062.48
38,f4a5e678af30db49529cc48d834e520db72a9e83,0,5,0,0,30,7,3,3,1059,273.47
39,1268977a3cf888d39857dc4b2606561e09a98048,0,13,0,6,54,12,10,23,2529,1023.87
40,44b5a12e7e1c660201a96f8df2d6f685af06664c,0,1,0,0,0,0,0,0,13,24.52
41,a878c3e1aae11a7ebed1a100aab9c6d4174f3c65,4,8,0,3,83,15,11,38,1383,812.51
42,f11c6a68cad0fac1bc413073fe9eac0004cced61,1,2,0,1,8,0,9,0,596,310.73
43,4f6226f8cedae8812e30d6b8624307e452685bd1,0,1,0,0,10,7,4,27,1843,492.04
44,7559d8999d4e76d881ad64c1b181a9bc1c94a365,0,1,0,0,0,0,0,0,135,31.04
45,94e9d8f3a4336a7b626cbcd730e4d2046f131196,0,2,0,1,4,1,1,7,170,190.76
46,1a7118cdb4eec2fee372e3ddb000d0087b4f0859,0,3,0,0,7,0,0,0,968,235.12
47,330deab41afe941de0a9f6b37c39a4b67c4aee00,0,3,0,0,52,22,10,38,2213,623.66
48,44fc71ab0ad55a1478f1a77c0ab15fbcd4821830,0,4,0,1,16,0,3,17,1125,394.6
49,13025a34c3fe56ca47f47b398b6a5f9d146f6051,2,10,0,0,91,25,10,11,1753,870.22
50,1b26afef7b5dcd0a5a0e3d29fdcc6b6f439fcc5d,0,1,0,0,2,0,0,1,162,101.63
51,4ad11d37af1283fa1fb72ddb3c08ce59d1d323f8,0,2,0,0,9,0,0,0,233,73.94
52,aaedf525d8853da3fdc6e409fac60a44fb98ddb4,1,1,0,0,30,0,2,12,151,145.48
53,a275fef41fb6b05325bac27b9a293a5a319b3604,0,1,0,0,3,6,1,5,83,111.56
54,cfc839027765a29e38f84d87c43c2af693bb608a,0,1,0,1,7,0,0,2,15,69.48
55,fa59100f03a237b81057ef7215eb4788280e6b3c,3,6,0,0,75,0,22,47,1328,729.87
56,916bfd3abe8f339373e7cdd07f2d1909fb355160,0,9,0,4,95,228,29,78,2873,1160.66
57,d43122fcc79de08661365b121358b95e63bfde59,0,1,0,0,5,0,3,5,264,121.72
58,c7dc47382c4bf96c2666c3bfb609357c71ee9b02,0,1,0,0,4,4,2,2,374,127.4
59,1cf44fc36668edd8cf60727f11b7d3aff3d3fa68,7,1,0,0,0,0,0,0,169,436.25
60,30e8f8ede0a8eb53f86f805d44e9cfc37eab8b42,0,2,0,0,9,0,0,9,532,183.89
61,7d9da01d417bd869f5ddafa63103d2d523b7182a,6,1,0,0,0,0,0,0,181,300.02
62,3b75c9cdeddc5889a67b682ec7fb47a0b7fcda18,0,1,0,1,0,0,0,0,170,103.36
63,390b7bac99314155d8b650a38789325347f8b560,0,0,1,0,0,0,0,0,0,25.46
64,c49cdfea9d0c323fc2e8e3ffac6094161e6719fc,0,6,0,2,124,15,11,37,1119,690.23
65,d0dd2569c2b01fad6c90f78e98922fb05af56de9,0,1,0,0,26,1,11,42,268,183.95
66,ac018e1a3d0cfe56a319981502fec7c50b6094b5,3,1,0,0,1,0,0,0,181,202.83
67,0388371babb63a3bb0fb32cfdc66ad78da3c1850,0,4,0,0,95,42,11,68,2172,627.95
68,186991a1e0c6f30f09d0b8dfb6b032a8a5e1332c,0,1,0,0,4,0,3,5,294,127.18
69,d91824961c8edf129ce5c066e278229f66bf04a4,0,2,0,0,37,5,10,29,398,264.82
70,cb9fae5acf1b08e7864d134a380dda373336bc86,0,2,0,0,7,0,0,3,199,141.27
71,18e5b9a08f1ea4908525e7425e48c3e3fbc2e904,0,1,0,0,2,0,0,0,1747,348.18
72,f184cd9913d0d043545337fe2f28fd17241631af,0,2,0,0,0,7,0,3,199,117.7
73,566c5c45c2914f349df86c10b26dc6fcc02004e0,1,1,0,0,0,0,0,0,182,87.31
74,23d29c3503c6256934277a3a2387bbf715df8f02,0,1,0,0,2,4,0,0,172,68.32
75,f81b1f75692cf89c09250e7f772c3f4faafc7bc4,0,1,0,0,3,2,7,5,453,164.47
76,ec2d3fb8afe3b393c1ea197ae302321b5ab77dea,7,18,0,11,41,7,4,15,2925,1642.49
77,01b30272d83d6dc9c27cce220d4fdc32cca0a395,0,3,0,0,98,45,3,23,280,237.48
78,418ef2340b0c3a95836409f03e2d33862f18a230,0,3,0,0,21,0,0,6,158,169.36
79,9f37cff913f04067cf77214fb2fd1668711af000,0,7,0,4,50,19,8,34,979,501.48
80,d9c33a41f6d484e2080fdb24fbd6df56c3a015c1,0,1,0,0,12,0,0,1,1758,407.66
81,db5d4c0007bd1a2d5b0670b1bc1eb370a95e2421,0,5,0,5,71,2,0,27,503,583.37
82,136c7777e7067f88729c55ee4b64c7fbe74d6b9c,1,7,0,1,110,22,22,113,2174,964.78
83,fd4aede611fdc170ae14b7993c7f86f01de9b14c,0,2,0,0,3,0,1,2,674,139.13
84,c90e7ff0880e3c45d375f846a1072537ee78caed,0,1,0,0,0,0,0,1,1848,355.16
85,7cdd5c2337ac31bd30afd9d9c13b7ed6a4d6d5fd,0,1,0,0,1,0,1,2,85,77.74
86,2d8ee4b3ee4aa3e64759745dddd66605b45a938c,0,2,0,1,12,0,4,7,212,134.62
87,ae3c37838c5e6fc60c0c26b6b166dd8a81428af3,1,1,0,0,95,81,0,2,106,155.83
88,88d5f888dd4d45604d16f98410f4286510d403dc,0,1,0,0,1,0,2,0,1848,367.55
89,bbe18d88cfc1a97ce4ef72873a1047e0210b0156,0,4,0,1,8,0,0,10,2013,460.91
90,5ba213e1719cea616fa130576d9c1f35b14106cc,0,41,0,16,50,31,14,19,4851,1781.05
91,6e5b72b27b809f1e90a4a3a4c33ca0d59e53d45f,0,6,0,0,93,6,10,30,2236,832.79
92,d02c878b2cbce7753050fde8b2faa0c8a9488bc4,0,1,0,1,4,0,3,11,80,128.87
93,daa4426d2fc7b9de8e592519fd4c318b9797b38d,0,1,0,0,5,0,15,25,307,115.89
94,d0b3df23ed06d36b4c4706e1d0ac475ad1ed3562,1,1,0,0,14,13,0,8,169,143.92
95,13a0cf05d47ac2933e985854d22a725af40c98ae,0,2,0,0,7,5,2,5,332,144.59
96,c2d06e3a68f9ee0a065a37998553398586af4358,0,3,0,0,32,31,14,39,2036,461.85
97,cfde8d162b72dac90f3b03cbd22ba6d1d7104b1d,0,10,0,1,18,26,21,9,3522,946.21
98,05ba23e60bb56d8ebc688642f104e03d6313d8a3,0,5,0,0,15,19,3,7,1203,362.63
99,03a8c8bbd2f4e435761f9e5cc2282b3dda9be346,0,1,0,0,4,0,0,1,121,74.49
100,e0438fa8695dc1e55850d2486ee59313abd138c9,0,1,0,0,24,0,0,0,193,73.88
101,caa6486f490011c0f4d0db434173e9f6090ea0d2,0,3,0,0,4,1,7,13,816,280.35
102,1efbe62265a2edf099f253e4d7bd68b4917896c8,7,40,0,22,495,264,105,279,4911,3777.48
103,10006d5b563f54af538e4afcc68c1b9964434ece,0,1,0,0,7,2,0,1,40,69.29
104,480aa9105e3e2720c1a8b7e70df56cdae244f401,0,7,0,1,415,634,0,1,7647,3112.44
105,a7b58f655506471d391fc1ff73e94c1f7d6628af,0,1,0,0,31,19,7,22,1847,422.51
106,13bd0b8542a0af70d353be9468db8d6eb88b5d48,0,12,0,1,57,17,45,54,2088,1123.91
107,de003b8516e13f1b12943682aceb7b71700b4723,4,0,0,0,0,0,0,0,0,145.9
108,e52b1781b3d1ef75a86642672d7f4b393265b7d4,0,3,0,1,15,1,19,29,2125,566.73
109,41a19e8079e02af3118692ae04f3ad62e46ccfb3,0,2,0,0,17,5,0,0,81,87.3
110,197379f7c8ef518e328c58d007139fc2cb59e363,0,2,0,0,4,1,16,7,781,226.42
111,eb3e40c95cba207661acd7f8c5d79cc40625ec9c,0,10,0,6,19,0,0,15,137,461.58
112,5bcda0dcda632007620256bcc654628a81ab50f0,0,3,0,3,0,0,0,0,51,85.28
