idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,be7e270c27d84362f44b8e9a079f56dd046d6ffd,0,4,0,4,12,4,0,13,326,783.67
1,4282f7d01c91575a552f99c5c698fc145d4fc9c4,0,1,0,1,5,0,0,4,64,110.48
2,651a138b543d5633917bc852524d8e22d926f5a1,0,1,0,1,88,0,0,10,958,585.91
3,45584492b16f6271011659539371925ef8cd648e,0,2,0,2,108,35,0,39,603,454.84
4,7baa55c6da6e3f2baf2ebd26e6d7ebc2f7cd440e,39,0,0,0,0,0,0,0,0,1377.84
5,6b749c14837b5a4c4d9a7f87bc2176618b2e139f,5,2,0,2,0,0,0,0,49,243.16
6,dda8b4518e626838d3f0273fae62cc1ac59d6057,0,1,0,1,3,0,0,1,86,92.58
7,2e97965440710901b9223c984b9e14f9e57e43b2,8,1,0,0,0,0,0,0,89,325.43
8,b3e5447b349ef5a4c118880ff3b1236744324fcc,0,5,0,3,60,2,0,64,1004,590.86
9,9799871704a0f5fb43c63462d10c93dec7fac240,0,2,0,1,4,0,0,0,253,121.82
10,81d320b946225da0a8ec9993be11c1be5c0b2908,0,1,0,0,425,168,0,154,878,462.67
11,7e07f6d52495c3bd88d8344edcaa5688f367961e,0,5,0,3,142,25,0,38,726,622.63
12,57a6725e1202a55076daa95eb72d6bc602a349e7,1,0,0,0,0,0,0,0,0,36.39
13,86c75f17ff42b6b3518d365335beb24e955f1ba6,0,1,0,0,261,255,0,13,36,141.57
14,ae7f9b0712c72bd54212a1859d83712d236e9873,0,2,0,2,2,0,0,0,20,83.8
15,b95207762b16e9c226945c18588892f4908ec725,1,2,0,1,19,0,0,1,139,188.83
16,4737a7ebb00abb2ce321f4a548ed105cbd4ba2b7,0,1,0,1,0,0,0,0,154,82.04
17,24a43881b24ba6178caf9130b270294c16860658,0,6,0,6,9,8,0,14,2063,1024.47
18,a95b83593c7f6d223226941aba1a272631a580b5,7,0,0,0,0,0,0,0,0,151.57
19,9691a93c647d414b863990f44d82408755fae12c,0,2,0,1,36,115,0,14,1206,351.09
20,5b2188c002dd6804566d505021c8b825ed4989fe,0,1,0,0,2,1,0,3,147,86.7
21,f62cbb750af9c8b837f9887b01ffc0f4f2f7e925,0,2,0,1,73,51,0,14,542,284.57
22,ebc7227fa786fb7bd1e4a7adfe3e3dade684c68b,2,1,0,0,0,0,0,0,12,92.26
23,672e761169ef47e2b45450afec2dc95dc64d2c0a,0,1,0,1,0,0,0,0,212,105.46
24,53f09ea0ad96d996ff02851f3d2c8c28c1aae77c,0,7,0,6,44,34,0,6,1540,739.66
25,2d0c4e8ccabf4704c6f5189226b123ccaeb4f92e,1,0,0,0,0,0,0,0,0,62.37
26,7f2405ba73737a913e0647010b7b04098abb326e,0,1,0,1,0,0,0,0,106,95.59
27,879d51ca751f248f97b74e21ead110a3470afae0,0,5,0,2,33,1,0,44,2047,637.19
28,a89c9a19b7d2e292ca6101be4ea865e30552c6b7,0,3,0,1,74,0,0,6,1488,558.05
29,479523ee25bdafc7ec146da843a4b1d18fa43349,1,3,0,2,4,74,0,1,548,406.77
30,ca196fce89c50864208d5717df7726039e94291a,0,3,1,0,74,4,0,3,548,267.83
31,b3d2e3defa2d5b45a777a64dc2f17fe699041260,1,6,0,3,33,95,0,7,906,605.7
32,85e1877e8e7ca21125eacdee8911d514fc46389f,4,0,0,0,0,0,0,0,0,179.03
33,6aa3d8bed524febd78d519a5a00acef0cff4293a,0,1,0,1,0,5,0,0,30,49.49
34,fe66edeb1b886257fc7720ae2064806cea6c5f4f,0,1,0,1,3,2,0,0,3,58.27
35,9bed93f2bd6fb3fddcbe35afc14df2124ad7ba80,0,3,0,1,0,0,0,0,528,130.48
36,b5b15ba0f206e0b10704195cd3ec93b3129f320f,0,2,0,0,15,22,0,4,48,117.83
37,b18a8b8ab2239d6f7792f6e90af80023d509602b,11,1,0,1,0,3,0,2,150,771.45
38,f4a5e678af30db49529cc48d834e520db72a9e83,0,5,0,0,21,9,0,4,804,209.48
39,1268977a3cf888d39857dc4b2606561e09a98048,0,13,0,6,47,10,0,25,1977,773.13
40,44b5a12e7e1c660201a96f8df2d6f685af06664c,0,1,0,0,0,0,0,0,7,17.18
41,a878c3e1aae11a7ebed1a100aab9c6d4174f3c65,4,8,0,3,62,13,0,24,1017,606.52
42,f11c6a68cad0fac1bc413073fe9eac0004cced61,1,2,0,1,7,0,0,2,484,238.43
43,4f6226f8cedae8812e30d6b8624307e452685bd1,0,1,0,0,8,4,0,11,1221,311.26
44,7559d8999d4e76d881ad64c1b181a9bc1c94a365,0,1,0,0,0,0,0,0,101,25.57
45,94e9d8f3a4336a7b626cbcd730e4d2046f131196,0,2,0,1,5,1,0,9,158,156.71
46,1a7118cdb4eec2fee372e3ddb000d0087b4f0859,0,3,0,0,9,0,0,4,804,191.6
47,330deab41afe941de0a9f6b37c39a4b67c4aee00,0,3,0,0,47,7,0,40,1542,408.22
48,44fc71ab0ad55a1478f1a77c0ab15fbcd4821830,0,4,0,1,8,0,0,4,838,244.54
49,13025a34c3fe56ca47f47b398b6a5f9d146f6051,2,10,0,0,53,21,0,17,1320,596.55
50,1b26afef7b5dcd0a5a0e3d29fdcc6b6f439fcc5d,0,1,0,0,3,0,0,1,149,66.26
51,4ad11d37af1283fa1fb72ddb3c08ce59d1d323f8,0,2,0,0,9,0,0,0,208,61.57
52,aaedf525d8853da3fdc6e409fac60a44fb98ddb4,1,1,0,0,27,0,0,10,129,115.03
53,a275fef41fb6b05325bac27b9a293a5a319b3604,0,1,0,0,0,7,0,9,82,54.93
54,cfc839027765a29e38f84d87c43c2af693bb608a,0,1,0,1,6,0,0,3,8,63.67
55,fa59100f03a237b81057ef7215eb4788280e6b3c,3,6,0,0,66,0,0,45,1074,526.54
56,916bfd3abe8f339373e7cdd07f2d1909fb355160,0,9,0,4,78,194,0,93,1950,863.39
57,d43122fcc79de08661365b121358b95e63bfde59,0,1,0,0,4,0,0,6,246,81.34
58,c7dc47382c4bf96c2666c3bfb609357c71ee9b02,0,1,0,0,5,4,0,4,278,98.31
59,1cf44fc36668edd8cf60727f11b7d3aff3d3fa68,7,1,0,0,0,0,0,0,110,335.92
60,30e8f8ede0a8eb53f86f805d44e9cfc37eab8b42,0,2,0,0,11,0,0,17,465,152.3
61,7d9da01d417bd869f5ddafa63103d2d523b7182a,6,1,0,0,0,0,0,0,156,234.4
62,3b75c9cdeddc5889a67b682ec7fb47a0b7fcda18,0,1,0,1,0,0,0,0,94,81.48
63,390b7bac99314155d8b650a38789325347f8b560,0,0,1,0,0,0,0,0,0,24.22
64,c49cdfea9d0c323fc2e8e3ffac6094161e6719fc,0,6,0,2,118,11,0,34,890,472.27
65,d0dd2569c2b01fad6c90f78e98922fb05af56de9,0,1,0,0,29,1,0,37,249,101.94
66,ac018e1a3d0cfe56a319981502fec7c50b6094b5,3,1,0,0,1,0,0,0,156,163.67
67,0388371babb63a3bb0fb32cfdc66ad78da3c1850,0,4,0,0,57,19,0,35,1524,409.87
68,186991a1e0c6f30f09d0b8dfb6b032a8a5e1332c,0,1,0,0,6,0,0,4,278,82.18
