idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,472723f1cccb8cb1e74ef52e47ccb2fbdc6c3e3d,0,0,0,0,0,0,0,0,0,34.4
1,2552a2488f2674e2fc3abea02272e85ff13a3ee4,0,2,0,2,364,57,1,28,751,2179.19
2,21da30456f4c23aae1f40b3446f74565d5b6d917,0,0,0,0,0,0,0,0,0,50.51
3,c0e190cdefabc7c59b11bbe0de843baec78efe3f,0,17,0,15,97,52,8,7,7037,13746.0
4,ee855fe1aa4a4f549c9d91c81ee53f448828d81a,0,2,0,0,11,74,1,0,942,958.44
5,ba58c9a7040e778b6c8cf9dc59d97858c2617afe,0,1,0,0,29,184,1,5,1296,680.87
6,081f0d2353ffb86db3aa3a5080e00b0b0aee7c4a,1,0,0,0,0,0,0,0,0,617.56
7,3310531d8752c9d19bf3083f9b0c062c2578ba52,0,1,0,0,2,10,0,0,1744,538.45
8,14b42f795641e13f9703286a527015cbf99a7788,0,1,0,0,104,0,0,11,1321,610.37
9,98f64070891a34e3a8b3f0483a7f5397b8a6933b,0,2,0,0,125,60,2,4,1641,945.32
10,60d0587e8fca7197683b55e00537c32ddee4795d,0,0,1,0,0,0,0,0,0,393.7
11,8c884ee6a6433745e68febdc68f0b22520a7e335,0,1,0,0,13,21,1,0,1725,555.79
12,739b2df6806c10b934f69e6181555fccb85cd9b8,1,0,0,0,0,0,0,0,0,864.11
13,295734f6abb69d0c184faa0085ca198040b2adbf,0,4,0,0,296,453,1,19,1147,1753.24
14,d925b157f42b13cb410a86e8850c23a11de3d2f1,0,1,0,0,795,82,4,46,1656,648.16
15,eae1bd52ef1d991834151898e768e57de8bb07bf,0,1,0,0,5,1,0,0,2440,617.38
16,7fd9268f7b89afa2e41b526f1f4d7bfc90a519cf,0,1,0,0,42,2,0,0,2443,565.88
17,66b103895720700c5ea47e8f75a1105aca6e9342,0,1,0,0,55,41,1,35,2444,597.03
18,3220af1fe2fad8da1f5bcc101ab9d3e8919b03bd,0,5,0,5,818,154,6,44,3188,4506.09
19,d2ec321a03e654552ee364f6572437f233b0c226,2,2,0,2,56,536,0,3,2918,2955.17
20,6b80dbb97b3d9b533f60d5c09639ea6c7c5f2be5,0,2,0,1,74,8,0,4,3110,1411.46
21,ef1e30bf5b0aba1758522f8cacd2804d3bfbd4fb,0,1,0,0,114,1,0,5,2679,588.74
22,e1845ba1d80f0ba89d01d450c066aae90b416ab1,0,1,0,0,0,49,0,0,2743,550.28
23,84a5803a7e5235e3fa0af7de8e40bdf77ff9affe,0,1,0,1,77,0,0,0,330,837.5
24,7e154a36f74ad0ea7e0f6d48b71a5a73d99330e7,0,2,0,2,40,0,0,0,1181,1784.26
25,3f0b67b6ac864befccfdd4bb5dee08c0b33c3b43,2,20,0,17,1339,234,7,104,9310,16509.23
26,f1a53b972eb1f8e75db54d3272d9eb7c398e238a,0,16,0,9,1081,77,3,52,10936,10639.61
27,5e2a9a560d847bd0cf364d86bd6784f70d99c71a,0,9,0,4,78,477,2,28,7519,5515.31
28,5ba48348b3abb8f84fda0798d992ff2e0a04051d,1,10,0,1,733,137,0,69,8719,5380.32
29,4524f384dc041f33297b47b181be6b59061577b4,0,1,0,0,4,4,4,0,1071,541.59
30,74c54c7eeb236cbf66710751165ea9f632cf3f52,0,1,0,0,0,11,0,0,248,554.66
31,84a3a9a3d9a5f1c4936dfb9d65b4bf0cd3b445d6,1,3,0,1,284,23,1,10,4663,2666.78
32,cc859dcca791dc8e1e6eeabe8b88387a11241b24,0,9,0,3,223,34,3,17,7315,6006.8
33,74e22092519270428c067a5209ec3028e0745bea,0,1,0,0,20,3,0,5,926,480.24
34,23d7fc470638c4dffa5ca005ef2e3d34c14dc92e,0,23,0,12,2732,157,15,158,18506,15808.8
35,9bc47bc1365d17c34f8d43239846de28219a663c,4,0,0,0,0,0,0,0,0,1628.79
36,e287e02b12ca3ca00184fabf07a7dc0a52571a23,0,2,0,0,9,1,1,4,6633,1259.44
37,98952b3cc7bb9b08ad553da014c80b79d0bc24d6,0,3,0,0,31,46,5,6,7848,1739.8
38,ec075c5a853e4168ff30cf133493588671aa2fac,0,2,0,0,279,98,13,75,6544,1259.82
39,02311c0642b3358e8180191ea0542e985ed0f6dc,0,5,0,0,1876,620,34,284,7211,2844.67
40,93af67cd4f75d2f4cc3a25ad999fe6349925504e,0,21,0,10,364,268,54,199,14781,13368.7
41,99f10739b5921534dddc6e3773e4f8a05b8909b0,0,9,0,2,808,315,8,103,9889,5250.68
42,c24740c7b0f6a6e7c66659da786a346650b76766,10,1,0,0,3,169,0,0,1125,5050.36
43,bf83131dffbdb6c39de0135e0426701ca141f150,0,2,0,0,0,0,0,0,952,839.96
44,547ccedcfa081de2679f9607e4e868041c2cc55f,0,3,0,2,256,1,1,1,2568,2292.23
45,bb01847579dcf86841956c29278649bcf8609732,0,3,0,1,222,0,0,9,6652,2121.2
46,dcc88408c98a07cb9a816ab55cd81e55f1d2217d,0,3,0,1,220,43,0,16,2833,1842.51
47,d0c019a07ee63a8c31de2d60513ed8f03494e348,0,1,0,0,297,2513,27,59,2227,823.68
48,f1c6e97d718581566d037a48640ac3d869d1f15a,0,10,0,2,761,503,13,119,10358,6228.06
49,e3dfad304e6c2ffc146cdb9bc25a1d683f289ace,0,1,0,0,13,0,0,0,2437,577.15
50,cd3ce27d4baf5434676ec040d64663ad3ce09817,0,5,0,0,247,87,2,25,5859,2671.96
51,8034390ef0f49a1ed180bc1e883dbbd1f6d864a0,0,4,0,2,71,33,2,4,1606,2685.19
52,83a9aa55d340f6b2720394a49f01a88509e17e52,0,2,0,0,42,10,1,7,2035,976.15
53,fc0e03f79131746da81c05c12e056862c08d79d4,17,12,0,3,2999,493,15,130,6881,13841.61
54,ff05e9b3616a222e29a42f6e8fdf41945a417f41,0,2,0,0,62,2,0,3,2072,982.12
55,50f2b245c1a666400fab7ddfdebf7c1c2bdf3084,0,1,0,0,54,17,5,23,2137,539.63
56,1d2e776d8c4ffbe59e40985ecfc3b010d99519d1,0,1,0,0,10,11,0,1,269,425.27
57,0386790e757fe4eeae4a179e573f71ef8c7de43c,0,1,0,0,0,0,0,0,1277,476.54
58,be5edd2f8d0c0355cb33feb2ac7482b7df7dccbc,2,3,0,0,223,132,4,11,1620,2179.95
59,c940470e32916e2dbbe8f95bd295950a3681c5b7,1,1,0,0,18,20,0,0,306,787.08
60,043190c601f37e42c32189f3df5ddd986e57da95,2,3,0,0,686,15,1,38,2143,2305.88
61,7062ed7db36f913328a9124797c47f70e3461025,0,1,0,0,25,0,0,1,1328,519.35
62,37356bfee09bf0dffc93d85270c342e03c36ca44,2,4,0,0,327,143,2,1,3137,2998.34
63,4b095760cb38c726c49e6f245ffd7dc8ccf49863,0,2,0,1,330,0,0,0,2294,1367.86
64,7d89867c05a7cca6e76cc48c47f8e703d68a9a43,0,7,0,3,540,26,1,29,7768,4549.67
65,834b6419806750ff555e8ffd104caa420004e84e,0,1,0,0,18,0,0,0,1715,534.64
66,8a719e037201e343e22a3d2479651e781ddaccc1,0,1,0,0,168,0,0,0,589,462.36
67,74bc8860c3c3d582f88581fc7d9edffdfa2dc3a5,1,0,0,0,0,0,0,0,0,442.66
