idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,472723f1cccb8cb1e74ef52e47ccb2fbdc6c3e3d,0,0,0,0,0,0,0,0,0,39.66
1,2552a2488f2674e2fc3abea02272e85ff13a3ee4,0,2,0,2,29,2,22,0,55,933.23
2,21da30456f4c23aae1f40b3446f74565d5b6d917,0,0,0,0,0,0,0,0,0,73.44
3,c0e190cdefabc7c59b11bbe0de843baec78efe3f,0,17,0,15,0,0,1,0,583,1949.46
4,ee855fe1aa4a4f549c9d91c81ee53f448828d81a,0,2,0,0,0,7,19,5,69,297.66
5,ba58c9a7040e778b6c8cf9dc59d97858c2617afe,0,1,0,0,0,19,7,4,111,226.37
6,081f0d2353ffb86db3aa3a5080e00b0b0aee7c4a,1,0,0,0,0,0,0,0,0,238.98
7,3310531d8752c9d19bf3083f9b0c062c2578ba52,0,1,0,0,0,0,0,0,170,123.49
8,14b42f795641e13f9703286a527015cbf99a7788,0,1,0,0,10,0,18,5,111,279.92
9,98f64070891a34e3a8b3f0483a7f5397b8a6933b,0,2,0,0,1,3,10,3,142,383.87
10,60d0587e8fca7197683b55e00537c32ddee4795d,0,0,1,0,0,0,0,0,0,148.87
11,8c884ee6a6433745e68febdc68f0b22520a7e335,0,1,0,0,0,1,5,0,169,204.42
12,739b2df6806c10b934f69e6181555fccb85cd9b8,1,0,0,0,0,0,0,0,0,297.38
13,295734f6abb69d0c184faa0085ca198040b2adbf,0,4,0,0,10,25,23,2,85,492.19
14,d925b157f42b13cb410a86e8850c23a11de3d2f1,0,1,0,0,50,3,55,6,166,284.29
15,eae1bd52ef1d991834151898e768e57de8bb07bf,0,1,0,0,0,0,0,0,216,172.22
16,7fd9268f7b89afa2e41b526f1f4d7bfc90a519cf,0,1,0,0,3,0,51,4,216,282.49
17,66b103895720700c5ea47e8f75a1105aca6e9342,0,1,0,0,1,0,4,0,219,234.21
18,3220af1fe2fad8da1f5bcc101ab9d3e8919b03bd,0,5,0,5,96,21,6,0,251,1714.7
19,d2ec321a03e654552ee364f6572437f233b0c226,2,2,0,2,4,76,12,5,306,1166.46
20,6b80dbb97b3d9b533f60d5c09639ea6c7c5f2be5,0,2,0,1,6,0,45,9,324,568.08
21,ef1e30bf5b0aba1758522f8cacd2804d3bfbd4fb,0,1,0,0,13,0,16,7,264,385.65
22,e1845ba1d80f0ba89d01d450c066aae90b416ab1,0,1,0,0,0,5,0,0,272,177.68
23,84a5803a7e5235e3fa0af7de8e40bdf77ff9affe,0,1,0,1,8,0,0,0,8,361.94
24,7e154a36f74ad0ea7e0f6d48b71a5a73d99330e7,0,2,0,2,0,0,0,0,60,469.94
25,3f0b67b6ac864befccfdd4bb5dee08c0b33c3b43,2,20,0,17,123,51,62,10,781,3827.99
26,f1a53b972eb1f8e75db54d3272d9eb7c398e238a,0,16,0,9,52,0,64,31,1090,1876.07
27,5e2a9a560d847bd0cf364d86bd6784f70d99c71a,0,9,0,4,8,22,42,23,659,1324.14
28,5ba48348b3abb8f84fda0798d992ff2e0a04051d,1,10,0,1,37,3,78,26,780,1023.0
29,4524f384dc041f33297b47b181be6b59061577b4,0,1,0,0,0,0,0,0,136,137.48
30,74c54c7eeb236cbf66710751165ea9f632cf3f52,0,1,0,0,0,0,0,0,2,111.5
31,84a3a9a3d9a5f1c4936dfb9d65b4bf0cd3b445d6,1,3,0,1,21,3,33,10,468,471.9
32,cc859dcca791dc8e1e6eeabe8b88387a11241b24,0,9,0,3,18,0,26,8,729,1003.71
33,74e22092519270428c067a5209ec3028e0745bea,0,1,0,0,0,0,0,0,93,112.33
34,23d7fc470638c4dffa5ca005ef2e3d34c14dc92e,0,23,0,12,278,32,181,46,1684,2886.53
35,9bc47bc1365d17c34f8d43239846de28219a663c,4,0,0,0,0,0,0,0,0,382.93
36,e287e02b12ca3ca00184fabf07a7dc0a52571a23,0,2,0,0,1,0,6,2,612,321.73
37,98952b3cc7bb9b08ad553da014c80b79d0bc24d6,0,3,0,0,0,0,6,1,686,410.28
38,ec075c5a853e4168ff30cf133493588671aa2fac,0,2,0,0,51,23,38,9,590,399.55
39,02311c0642b3358e8180191ea0542e985ed0f6dc,0,5,0,0,126,60,133,24,612,629.84
40,93af67cd4f75d2f4cc3a25ad999fe6349925504e,0,21,0,10,37,24,117,12,1523,2054.49
41,99f10739b5921534dddc6e3773e4f8a05b8909b0,0,9,0,2,54,37,55,18,918,1023.99
42,c24740c7b0f6a6e7c66659da786a346650b76766,10,1,0,0,0,16,0,0,63,761.95
43,bf83131dffbdb6c39de0135e0426701ca141f150,0,2,0,0,0,0,0,0,62,135.64
44,547ccedcfa081de2679f9607e4e868041c2cc55f,0,3,0,2,24,0,2,0,273,408.26
45,bb01847579dcf86841956c29278649bcf8609732,0,3,0,1,15,0,18,6,699,470.5
46,dcc88408c98a07cb9a816ab55cd81e55f1d2217d,0,3,0,1,16,8,29,8,301,442.76
47,d0c019a07ee63a8c31de2d60513ed8f03494e348,0,1,0,0,39,280,97,15,208,250.58
48,f1c6e97d718581566d037a48640ac3d869d1f15a,0,10,0,2,72,26,92,28,901,1207.23
49,e3dfad304e6c2ffc146cdb9bc25a1d683f289ace,0,1,0,0,0,0,0,0,249,142.87
50,cd3ce27d4baf5434676ec040d64663ad3ce09817,0,5,0,0,39,28,30,6,520,499.46
51,8034390ef0f49a1ed180bc1e883dbbd1f6d864a0,0,4,0,2,0,0,0,0,159,318.22
52,83a9aa55d340f6b2720394a49f01a88509e17e52,0,2,0,0,4,5,23,11,199,222.3
53,fc0e03f79131746da81c05c12e056862c08d79d4,17,12,0,3,142,51,124,43,564,2479.39
54,ff05e9b3616a222e29a42f6e8fdf41945a417f41,0,2,0,0,6,0,19,13,203,199.51
55,50f2b245c1a666400fab7ddfdebf7c1c2bdf3084,0,1,0,0,5,0,11,0,160,162.26
56,1d2e776d8c4ffbe59e40985ecfc3b010d99519d1,0,1,0,0,1,1,2,2,22,126.62
57,0386790e757fe4eeae4a179e573f71ef8c7de43c,0,1,0,0,0,0,0,0,143,105.92
58,be5edd2f8d0c0355cb33feb2ac7482b7df7dccbc,2,3,0,0,16,12,9,3,192,426.54
59,c940470e32916e2dbbe8f95bd295950a3681c5b7,1,1,0,0,0,0,0,0,15,150.35
60,043190c601f37e42c32189f3df5ddd986e57da95,2,3,0,0,51,0,37,2,168,443.49
61,7062ed7db36f913328a9124797c47f70e3461025,0,1,0,0,3,0,0,0,83,387.27
62,37356bfee09bf0dffc93d85270c342e03c36ca44,2,4,0,0,28,13,6,1,293,599.19
63,4b095760cb38c726c49e6f245ffd7dc8ccf49863,0,2,0,1,26,0,5,3,216,307.51
