idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,472723f1cccb8cb1e74ef52e47ccb2fbdc6c3e3d,0,0,0,0,0,0,0,0,0,31.85
1,2552a2488f2674e2fc3abea02272e85ff13a3ee4,0,2,0,2,23,1,0,1,73,605.09
2,21da30456f4c23aae1f40b3446f74565d5b6d917,0,0,0,0,0,0,0,0,0,37.04
3,c0e190cdefabc7c59b11bbe0de843baec78efe3f,0,17,0,15,0,0,0,0,653,1386.24
4,ee855fe1aa4a4f549c9d91c81ee53f448828d81a,0,2,0,0,0,8,3,6,79,193.19
5,ba58c9a7040e778b6c8cf9dc59d97858c2617afe,0,1,0,0,0,22,1,2,111,421.56
6,081f0d2353ffb86db3aa3a5080e00b0b0aee7c4a,1,0,0,0,0,0,0,0,0,204.38
7,3310531d8752c9d19bf3083f9b0c062c2578ba52,0,1,0,0,0,0,0,0,137,89.89
8,14b42f795641e13f9703286a527015cbf99a7788,0,1,0,0,7,0,4,4,111,209.86
9,98f64070891a34e3a8b3f0483a7f5397b8a6933b,0,2,0,0,1,2,2,3,148,290.17
10,60d0587e8fca7197683b55e00537c32ddee4795d,0,0,1,0,0,0,0,0,0,108.61
11,8c884ee6a6433745e68febdc68f0b22520a7e335,0,1,0,0,0,1,0,0,136,155.53
12,739b2df6806c10b934f69e6181555fccb85cd9b8,1,0,0,0,0,0,0,0,0,240.13
13,295734f6abb69d0c184faa0085ca198040b2adbf,0,4,0,0,12,22,2,14,127,350.25
14,d925b157f42b13cb410a86e8850c23a11de3d2f1,0,1,0,0,76,2,6,14,134,238.98
15,eae1bd52ef1d991834151898e768e57de8bb07bf,0,1,0,0,0,0,0,0,210,172.04
16,7fd9268f7b89afa2e41b526f1f4d7bfc90a519cf,0,1,0,0,2,0,0,3,210,224.67
17,66b103895720700c5ea47e8f75a1105aca6e9342,0,1,0,0,1,0,0,4,212,195.56
18,3220af1fe2fad8da1f5bcc101ab9d3e8919b03bd,0,5,0,5,78,16,1,1,300,1150.92
19,d2ec321a03e654552ee364f6572437f233b0c226,2,2,0,2,5,39,0,1,272,939.55
20,6b80dbb97b3d9b533f60d5c09639ea6c7c5f2be5,0,2,0,1,5,0,6,10,287,466.8
21,ef1e30bf5b0aba1758522f8cacd2804d3bfbd4fb,0,1,0,0,15,0,0,1,247,200.34
22,e1845ba1d80f0ba89d01d450c066aae90b416ab1,0,1,0,0,0,6,0,0,256,194.09
23,84a5803a7e5235e3fa0af7de8e40bdf77ff9affe,0,1,0,1,6,0,0,0,12,206.69
24,7e154a36f74ad0ea7e0f6d48b71a5a73d99330e7,0,2,0,2,1,0,0,0,94,321.93
25,3f0b67b6ac864befccfdd4bb5dee08c0b33c3b43,2,20,0,17,149,46,3,20,916,2687.4
26,f1a53b972eb1f8e75db54d3272d9eb7c398e238a,0,16,0,9,83,0,8,38,1186,1973.38
27,5e2a9a560d847bd0cf364d86bd6784f70d99c71a,0,9,0,4,3,34,8,36,794,1078.81
28,5ba48348b3abb8f84fda0798d992ff2e0a04051d,1,10,0,1,47,4,10,33,768,1027.64
29,4524f384dc041f33297b47b181be6b59061577b4,0,1,0,0,0,0,0,0,105,108.94
30,74c54c7eeb236cbf66710751165ea9f632cf3f52,0,1,0,0,0,0,0,0,3,99.96
31,84a3a9a3d9a5f1c4936dfb9d65b4bf0cd3b445d6,1,3,0,1,32,2,5,10,481,663.69
32,cc859dcca791dc8e1e6eeabe8b88387a11241b24,0,9,0,3,19,0,0,11,850,1059.65
33,74e22092519270428c067a5209ec3028e0745bea,0,1,0,0,3,0,0,3,101,150.54
34,23d7fc470638c4dffa5ca005ef2e3d34c14dc92e,0,23,0,12,247,22,16,38,1821,3312.62
35,9bc47bc1365d17c34f8d43239846de28219a663c,4,0,0,0,0,0,0,0,0,355.63
36,e287e02b12ca3ca00184fabf07a7dc0a52571a23,0,2,0,0,1,0,0,2,650,346.59
37,98952b3cc7bb9b08ad553da014c80b79d0bc24d6,0,3,0,0,0,1,0,2,760,445.29
38,ec075c5a853e4168ff30cf133493588671aa2fac,0,2,0,0,37,20,24,20,631,463.96
