idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,472723f1cccb8cb1e74ef52e47ccb2fbdc6c3e3d,0,0,0,0,0,0,0,0,0,87.84
1,2552a2488f2674e2fc3abea02272e85ff13a3ee4,0,2,0,2,19,0,0,3,40,1982.72
2,21da30456f4c23aae1f40b3446f74565d5b6d917,0,0,0,0,0,0,0,0,0,47.38
3,c0e190cdefabc7c59b11bbe0de843baec78efe3f,0,17,0,15,0,0,0,0,435,2099.72
4,ee855fe1aa4a4f549c9d91c81ee53f448828d81a,0,2,0,0,0,8,0,2,45,182.89
5,ba58c9a7040e778b6c8cf9dc59d97858c2617afe,0,1,0,0,1,22,0,3,73,196.42
6,081f0d2353ffb86db3aa3a5080e00b0b0aee7c4a,1,0,0,0,0,0,0,0,0,176.1
7,3310531d8752c9d19bf3083f9b0c062c2578ba52,0,1,0,0,0,0,0,0,74,109.06
8,14b42f795641e13f9703286a527015cbf99a7788,0,1,0,0,4,0,0,4,74,173.63
9,98f64070891a34e3a8b3f0483a7f5397b8a6933b,0,2,0,0,2,2,0,1,97,220.91
10,60d0587e8fca7197683b55e00537c32ddee4795d,0,0,1,0,0,0,0,0,0,87.86
11,8c884ee6a6433745e68febdc68f0b22520a7e335,0,1,0,0,0,0,0,0,74,129.46
12,739b2df6806c10b934f69e6181555fccb85cd9b8,1,0,0,0,0,0,0,0,0,228.91
13,295734f6abb69d0c184faa0085ca198040b2adbf,0,4,0,0,14,14,0,11,73,304.64
14,d925b157f42b13cb410a86e8850c23a11de3d2f1,0,1,0,0,62,0,0,10,74,193.51
15,eae1bd52ef1d991834151898e768e57de8bb07bf,0,1,0,0,0,0,0,0,136,128.99
16,7fd9268f7b89afa2e41b526f1f4d7bfc90a519cf,0,1,0,0,0,0,0,0,136,145.7
17,66b103895720700c5ea47e8f75a1105aca6e9342,0,1,0,0,0,0,0,0,136,160.08
18,3220af1fe2fad8da1f5bcc101ab9d3e8919b03bd,0,5,0,5,49,12,0,4,192,891.67
19,d2ec321a03e654552ee364f6572437f233b0c226,2,2,0,2,2,19,0,1,186,790.92
20,6b80dbb97b3d9b533f60d5c09639ea6c7c5f2be5,0,2,0,1,3,0,0,4,197,323.71
21,ef1e30bf5b0aba1758522f8cacd2804d3bfbd4fb,0,1,0,0,10,0,0,2,175,157.17
22,e1845ba1d80f0ba89d01d450c066aae90b416ab1,0,1,0,0,0,3,0,0,182,143.26
23,84a5803a7e5235e3fa0af7de8e40bdf77ff9affe,0,1,0,1,3,0,0,0,5,169.47
24,7e154a36f74ad0ea7e0f6d48b71a5a73d99330e7,0,2,0,2,1,0,0,2,56,310.29
25,3f0b67b6ac864befccfdd4bb5dee08c0b33c3b43,2,20,0,17,101,32,0,15,563,2181.24
26,f1a53b972eb1f8e75db54d3272d9eb7c398e238a,0,16,0,9,66,1,0,41,748,1950.27
27,5e2a9a560d847bd0cf364d86bd6784f70d99c71a,0,9,0,4,2,34,0,34,520,868.14
28,5ba48348b3abb8f84fda0798d992ff2e0a04051d,1,10,0,1,36,9,0,30,489,1079.24
29,4524f384dc041f33297b47b181be6b59061577b4,0,1,0,0,0,0,0,0,65,112.9
30,74c54c7eeb236cbf66710751165ea9f632cf3f52,0,1,0,0,0,0,0,0,1,105.65
31,84a3a9a3d9a5f1c4936dfb9d65b4bf0cd3b445d6,1,3,0,1,27,1,0,5,309,552.12
