idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,2fb849502f57ec29e9913907872183af06a57b3e,0,0,0,0,0,0,0,0,0,53.49
1,01dce3f569e0085dae2d0e4bc5c9b2bef5bd3120,12,0,0,0,0,0,0,0,0,6329.1
2,042dcbde33c878d165b777964f5abb646257ab94,0,1,0,0,336,0,0,0,3648,1026.01
3,6a78e88237cd2d2947cf5461e9da8359a16a0228,0,1,0,0,18,2,3,20,468,858.09
4,2a60c998cc9ca8b9a90d8c7865f7494963395b3b,0,1,0,0,39,104,1,19,214,615.29
5,c5e2810dc75ac0bae94b1e50ff8c0d198d185b52,0,1,0,0,391,0,0,0,3984,1114.91
6,b51d733a5783ef29077951e842882bb002a4139e,0,2,0,0,258,20,4,13,4503,1660.51
7,6ae3c375a9e8a97ff96649b3637e4a011d849990,0,10,0,1,106,41,51,296,6177,6236.06
8,0b84871dbca8a1a33407e7322e3c6162d24b4c29,0,1,0,0,27,6,0,0,4365,868.57
9,8d7b77bcb545e7e1167cf6e4a010809d5bd76c5a,1,8,0,0,9,4,0,0,1616,4128.32
10,3ebd8e18853bfca6f0bcd99ac79f0c6717aa0887,0,1,0,0,87,0,0,0,4392,697.04
11,2a87d816a24c62215d682e3a7af65489c0d6e708,0,1,0,0,0,81,0,0,4398,669.91
12,f4a9e1b9be856b43e9e512bf40342514fa7856c8,0,1,0,0,97,0,0,0,4398,710.53
13,903f3518dfcd686cda2256b07fbc1dde6aec0178,0,1,0,0,93,0,0,0,4495,704.72
14,b607c9e9165a996289e4fb78bf7f2792121183d0,1,0,0,0,0,0,0,0,0,482.52
15,867a7455e27af9e8a6b95c87c882c0eebcaed0ad,1,0,1,0,0,0,0,0,0,1451.03
16,b0974e6c1d1d8e03d9b70660070f66977ea2e797,0,1,0,0,0,172,0,0,334,523.97
17,91b3d414481cd06e0b75f621550a38042f9b2ffd,0,1,0,0,4,6,0,0,328,522.61
18,22a8c7be9aebe46c7ee332228967039be811043b,0,1,0,0,1145,4,0,6,328,720.54
19,0d0bab25bd0dfefdd5a91d22a4e81d347d255cf3,0,1,0,0,371,9,3,0,1464,622.35
20,f144e0413a1e42d193a86fa04af769e2da9dc58b,0,1,0,0,403,7,0,0,1828,668.67
21,86af64b0a6fde5a6418727a77b43bdfeda1b81cd,0,1,0,0,253,0,0,0,4588,761.52
22,ecf9c0890160c69f1b64b36fa8fdea2f6dd973eb,0,1,0,0,0,0,0,0,4841,898.38
23,0982572519655354b10987de4f68e29b8331bd2a,0,1,0,0,2,2,0,0,4839,895.93
24,6e514a8d3511891a3f7221c594171477a0b5a38f,0,1,0,0,941,0,0,0,2231,949.72
25,9c32f300fb4151a2b563bf3d2e46469722e016e1,0,1,0,0,18,0,0,0,4841,843.85
26,8ac0f35be42765fcd6f02dcf0f070f2ef2377a85,0,1,0,0,109,0,0,0,4859,883.71
27,560c312c6060914c9c38cb98d3587685f10f7311,0,1,0,0,3132,11,2,10,3161,1721.63
28,5004eec37c01db3b96d665b0d9606002af209eda,0,1,0,0,0,0,0,0,6293,984.59
29,c2537057f9ed8723d2c33a1636edf9c9547cdc66,0,1,0,0,8,6,0,0,6287,1062.31
30,280b6d018691810bbb3dd3155f059132b4475995,0,1,0,0,31,31,1,0,6264,1028.04
31,5bcb048167fe0b90f749910233342c09fff3fce7,0,1,0,0,303,2,0,0,6293,1140.45
32,3461cd99b7b680be9c9dc263382b42f30c9edd7d,1,0,0,0,0,0,0,0,0,462.99
33,a0013beb039c8569e9e69f96fce0c341d1a1d180,0,1,0,0,305,0,0,0,6596,1177.29
34,2a872335c5c7b5481c927272447e4a344ef59dda,0,1,0,0,34,6,5,16,6895,1069.52
