idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,2fb849502f57ec29e9913907872183af06a57b3e,0,0,0,0,0,0,0,0,0,72.88
1,01dce3f569e0085dae2d0e4bc5c9b2bef5bd3120,12,0,0,0,0,0,0,0,0,1419.17
2,042dcbde33c878d165b777964f5abb646257ab94,0,1,0,0,22,0,0,6,274,172.89
3,6a78e88237cd2d2947cf5461e9da8359a16a0228,0,1,0,0,2,0,0,2,31,204.51
4,2a60c998cc9ca8b9a90d8c7865f7494963395b3b,0,1,0,0,10,15,0,4,11,562.11
5,c5e2810dc75ac0bae94b1e50ff8c0d198d185b52,0,1,0,0,31,0,0,3,296,131.99
6,b51d733a5783ef29077951e842882bb002a4139e,0,2,0,0,15,1,0,9,335,221.89
7,6ae3c375a9e8a97ff96649b3637e4a011d849990,0,10,0,1,115,110,0,0,349,819.96
8,0b84871dbca8a1a33407e7322e3c6162d24b4c29,0,1,0,0,2,0,0,2,326,249.09
9,8d7b77bcb545e7e1167cf6e4a010809d5bd76c5a,1,8,0,0,0,0,0,0,115,417.87
10,3ebd8e18853bfca6f0bcd99ac79f0c6717aa0887,0,1,0,0,10,0,0,2,328,210.53
11,2a87d816a24c62215d682e3a7af65489c0d6e708,0,1,0,0,0,9,0,1,329,207.24
12,f4a9e1b9be856b43e9e512bf40342514fa7856c8,0,1,0,0,10,0,0,2,329,217.26
13,903f3518dfcd686cda2256b07fbc1dde6aec0178,0,1,0,0,5,0,0,2,339,207.74
14,b607c9e9165a996289e4fb78bf7f2792121183d0,1,0,0,0,0,0,0,0,0,106.44
15,867a7455e27af9e8a6b95c87c882c0eebcaed0ad,1,0,1,0,0,0,0,0,0,179.71
16,b0974e6c1d1d8e03d9b70660070f66977ea2e797,0,1,0,0,0,17,0,0,27,113.12
17,91b3d414481cd06e0b75f621550a38042f9b2ffd,0,1,0,0,0,0,0,0,27,82.14
18,22a8c7be9aebe46c7ee332228967039be811043b,0,1,0,0,72,0,0,2,27,168.99
19,0d0bab25bd0dfefdd5a91d22a4e81d347d255cf3,0,1,0,0,24,0,0,0,99,219.01
20,f144e0413a1e42d193a86fa04af769e2da9dc58b,0,1,0,0,26,0,0,0,123,155.97
21,86af64b0a6fde5a6418727a77b43bdfeda1b81cd,0,1,0,0,31,0,0,1,344,240.77
22,ecf9c0890160c69f1b64b36fa8fdea2f6dd973eb,0,1,0,0,0,0,0,0,375,176.53
23,0982572519655354b10987de4f68e29b8331bd2a,0,1,0,0,0,0,0,0,375,197.32
24,6e514a8d3511891a3f7221c594171477a0b5a38f,0,1,0,0,39,0,0,0,149,185.15
25,9c32f300fb4151a2b563bf3d2e46469722e016e1,0,1,0,0,2,0,0,0,375,201.74
26,8ac0f35be42765fcd6f02dcf0f070f2ef2377a85,0,1,0,0,9,0,0,2,377,235.27
27,560c312c6060914c9c38cb98d3587685f10f7311,0,1,0,0,115,0,0,0,188,274.15
28,5004eec37c01db3b96d665b0d9606002af209eda,0,1,0,0,0,0,0,0,303,213.58
29,c2537057f9ed8723d2c33a1636edf9c9547cdc66,0,1,0,0,0,0,0,0,303,248.0
30,280b6d018691810bbb3dd3155f059132b4475995,0,1,0,0,9,9,0,0,294,260.17
31,5bcb048167fe0b90f749910233342c09fff3fce7,0,1,0,0,38,0,0,0,303,241.44
32,3461cd99b7b680be9c9dc263382b42f30c9edd7d,1,0,0,0,0,0,0,0,0,101.63
33,a0013beb039c8569e9e69f96fce0c341d1a1d180,0,1,0,0,16,0,0,4,341,274.09
34,2a872335c5c7b5481c927272447e4a344ef59dda,0,1,0,0,2,0,0,4,357,275.87
35,61b877c688d6c9a4e9c4d8f22ca0cadae29895bb,0,1,0,0,27,0,0,8,359,482.5
36,82b8707c6bbb3926e59c241b6e6d5ead5467aae7,0,1,0,0,21,0,0,0,386,298.51
37,70ba994d6d6f9e62269168e6a8a61ffce736a4d2,0,1,0,0,0,0,0,0,407,266.68
38,e0165bf7141086e28f88cd68ab7bc6249061c924,1,1,0,0,15,0,0,0,407,442.01
39,12b72b3e73798a5a2cc6c745610e135b1d6825a6,1,0,0,0,0,0,0,0,0,176.96
40,33bad85bb9143d41bc5de2068f7e8a8c39928225,0,1,0,1,1,0,0,0,422,643.49
41,ef711902c1f42db14c8ddd524195f0a9efb56e65,1,0,0,0,0,0,0,0,0,163.79
42,7dfb82a992d47491174d7929e31351d26cadfcda,0,2,0,1,22,0,0,0,809,794.92
43,155f31398dc83ecb88b4b3e07849a2a8a0a6592f,0,1,0,0,3,0,0,0,0,131.59
44,9c8ff1e55fb97980e7f0bb7f305c1ed0e59b749e,0,1,0,0,0,387,0,1,36,208.98
45,d49cf0e587b7cbbd31917d9bb69f98466feb0f9f,1,1,0,0,13,0,0,5,408,305.4
46,379564c7e05cfd0acceaee5641e0d06c86985bff,0,1,0,0,0,0,0,0,421,165.74
47,f0b68c623c116540470e06967c1554855d16a500,0,2,0,0,38,0,0,3,844,555.84
48,20cf77054536acd9c064d6e7ffedce23a87fb6a5,0,1,0,0,16,0,0,10,449,302.53
49,c65988bdc1b75e88e6df77df0b84fc3a34c5b028,0,1,0,0,17,0,0,13,465,334.26
50,d09c36065ca040044530a50f0392c92866b6d301,0,1,0,0,0,0,0,0,482,272.37
51,e9fb25426ea0b6dbe4c946243a2ac0836b031c58,0,0,1,0,0,0,0,0,0,60.54
52,3f3e77f28b08fc1db110c3b14b2c90eaa6dca8ef,0,1,0,0,13,0,0,2,482,348.65
53,39addd380363c0371e935fae50983fe87158c1ac,0,1,0,0,1,73,0,4,422,291.62
54,2eacf22401f75b956036fb0c32eb38baa16b224e,0,1,0,0,18,29,0,0,394,282.06
55,9d49a6b03fb91d516bf40e50f67e87155c69dba1,0,1,0,0,12,1,0,0,411,314.2
56,35880de42edb30cf705036083710c85a74a351fa,0,1,0,0,29,0,0,1,423,307.65
57,f98c7da23ef66812b8b4888230ee98c07f09af23,0,1,0,0,0,29,0,1,423,194.89
58,12ea14c211da908a278ab19fd1e9f6acd45daae8,0,2,0,1,0,0,0,0,443,365.99
59,041c19e5f0309e7a667faab5fee9f9081db58237,0,1,0,0,29,0,0,1,423,311.98
60,df47b40b764e25cbd10ce49d7152e1d33f51a263,7,0,0,0,0,0,0,0,0,436.65
61,41285eaae3642b73b3ac5007a35cc4e8f1d7d084,0,1,0,0,82,10,0,9,442,347.35
62,16a4ca45373cd4b75032f88668610d9b693fb4b3,0,1,0,0,11,0,0,8,433,210.31
63,b990caeb807c7b9891ecaceca8b9d4920fec26c9,0,1,0,1,0,0,0,0,47,173.44
64,568ddf73307f125227bced4277fcc3a5be0adb28,1,0,0,0,0,0,0,0,0,118.84
65,9fa47a2039273c4318fafbe78f8253921984b70d,0,1,0,0,0,0,0,0,60,81.62
66,7e56e99573b4cf161293e648aeb159375c9c0fcb,0,1,0,0,0,1,0,0,523,309.99
67,b493f55a4fe43c83061a361eef029edbac50c006,0,1,0,0,0,1,0,0,18,95.33
68,bb8a434f9db177d764d169a7273c66ed01c066c1,0,1,0,0,18,0,0,8,444,252.93
69,9e64396ca4c24804d5fd4e96212eed54530ca409,0,7,0,0,0,0,0,0,107,341.37
70,d761e7359deb7ca864d33b8f2e4380b57448630b,0,1,0,0,0,1,0,0,522,309.59
71,f25282def5826fab6caabff28c82c57a7f3fdcb8,0,1,0,0,4,0,0,0,522,323.15
72,26962c9340ac92b11d43e87200e699471d0b6330,0,1,0,0,19,4,0,5,14,122.89
73,fbc1ab346867d5c81dc59e4c8d85aeda2f516ce2,0,1,0,0,4,5,0,2,28,93.65
74,91aca9224936da84b16ea789cb81914579a0db03,0,2,0,0,4,8,0,0,39,123.63
75,038cfc1a9acb32f8c17d883ea64f8cbb324ed82c,0,1,0,0,1,0,0,0,28,82.11
76,fd6148c8b20bc051786ff574d3b8f3b5e79b391a,0,1,0,0,24,0,0,7,462,278.43
77,479442a9b913b08a64da4bd5848111d950105336,0,1,0,0,8,21,0,9,465,222.96
78,5c886194e458c64fcf24066af351bde47dd8bf12,0,1,0,0,0,11,0,9,462,244.14
79,4358acfe07e991090fbe009aafe3f5110fbf0c40,0,1,0,0,0,0,0,0,526,341.2
80,f649dabb4a3a57cb25a852808297fb718cbfedd4,0,1,0,0,26,0,0,7,462,266.08
81,98fd62605daaf4e74dfffef1e7bc57ac131a61bb,0,1,0,1,1,0,0,1,48,213.74
82,326a7a82e0fc7155d10af696ccca2e385134c144,0,1,0,0,0,8,0,0,41,100.39
83,882baee48927e7c9ee4c3536282c79f553500dbc,0,1,0,0,0,3,0,0,38,102.8
84,6caec3f44193a459a2dd10b0393e391979795039,0,1,0,1,5,0,0,1,47,188.06
85,7db69d56f2d050842ecf6e465d2d4f1abf3314d7,4,0,0,0,0,0,0,0,0,349.61
86,e1a209f791a29225c7c75861aa4a18b14739fcc4,0,3,0,2,0,0,0,0,127,321.55
87,2812e722008b772756cbd0ef0600a55b65d6ee0e,0,1,0,0,0,0,0,0,27,93.5
88,06303a62e5dad330687406bdd4e26a2a9aa24ac2,0,1,0,0,3,6,0,0,32,107.57
89,d7f78b443b7c31b4db4eabb106801dc4a1866db7,0,1,0,0,11,0,0,10,488,288.48
90,b659af83d3f91f0f339d874b2742ddca20a9f610,2,0,0,0,0,0,0,0,0,199.03
91,53b2639a1e26e94f4a4fa8856f462b281c90d8b1,0,1,0,0,0,0,0,0,499,221.02
92,b291db712e73fdff0c02946bac96e330b089409d,0,3,0,1,0,0,0,0,114,269.56
93,b8c50a0642cf74c25fd70cc1e7d1be95ddafc5d8,0,3,0,0,21,9,0,3,105,240.48
94,1418d18af43229b442d3ed747fdb8088d4fa5b6f,0,1,0,1,0,0,0,0,499,494.08
95,737f01a1ef49e4a12f24799c4324b3a60712758e,0,1,0,1,33,0,0,1,46,202.7
96,cbc48be13b38452963a81266db46ca4a36aa9d84,0,1,0,0,0,0,0,0,499,221.61
97,276c37a51c9a6188dbbe02754935540ace338dd1,0,1,0,1,0,0,0,0,526,757.41
98,e09f4a9601b18921c309903737d309eab5c6d891,0,15,0,13,0,33,0,0,861,1891.01
99,b0f5f4d441119662c09572de697b2d9943f703ef,0,1,0,0,33,0,0,1,46,118.49
100,c23cd72b4bbcbf5f615636095c69e9a2e39bfbdd,1,1,0,0,0,0,0,0,526,395.19
101,a3959111387ae955c63284b389cc888cbd19e399,0,2,0,2,1,0,0,1,45,255.33
102,e58c69d955ef8faacb794a0c1666b21c1606453e,0,1,0,0,10,0,0,0,499,235.14
103,38b8048f291dd42ee996e75bd1b6d33aa24b1a5e,0,1,0,0,0,10,0,0,499,239.86
104,947fceaa73a21ddc4263b98913ebf11aa71f5ba1,0,1,0,0,0,0,0,0,499,254.64
105,06664987990debcb4439a9dc26e1859508c601f5,1,1,0,0,30,0,0,10,526,414.22
106,768eb9c9629f0e3c24477acf87ad15938ddd75ce,0,6,0,1,0,3,0,0,18,361.15
107,72d2e1dd777696640f64aaf92fecab64c6387df0,0,2,0,0,80,0,0,5,559,520.75
108,9fccb17a5f168994fd1ca33199fb43ecbc2bbd92,0,1,0,0,0,0,0,0,3,90.62
109,bacfe5ebca8e82317a7596c9fcbf95331c7038a9,0,0,0,0,0,0,0,0,0,209.25
110,e962a6e6ee8d8ef9d1245d85616fe50554f7f689,0,1,0,0,32,0,0,16,636,458.19
111,31e92b72e31910be1694c348ab5de8b14f2df44b,0,2,0,0,36,142,0,9,1025,682.39
112,f629ba95b6a1a3508463bfdcb03efcfaa3327cb5,0,2,0,0,0,0,0,0,6,119.03
113,7222ee29779c3c5146aa5a3d6d060f3b039c1ff7,0,1,0,0,10,14,0,0,499,275.76
114,040dd3ecd5a7668ecbb6cf0b611318c1010f9bdb,0,5,0,1,40,36,0,4,77,450.0
115,9115a5de62dcb832569727773112a4688ef63f03,0,2,0,0,0,0,0,0,68,143.39
116,786f393a98f8771d0c20322cd50e553a895c7d60,0,3,0,1,0,0,0,0,49,237.87
117,5e9ce83d682d6198cda4631faf11cb53fcccf07f,0,1,0,0,14,0,0,0,509,277.19
118,af0cd6bd27dda73b326bcb6a66addceadebf5e54,0,1,0,0,13,0,0,2,523,338.59
119,d3234f9726db3917af4688ba70933938b078b0bd,0,1,0,0,13,10,0,0,526,324.15
120,1ffe26c7c03b5d128952e7d3ea7f130cd242a468,0,1,0,0,145,0,0,10,548,533.79
121,a515706d9cb2c94ed981d9015026331aaf582f36,0,1,0,0,3,0,0,1,693,454.52
122,2c5bade4ee6db747cbc7b0884094ad443834e3b1,0,3,0,0,6,4,0,2,64,234.87
123,578bd1fc28513eb84002c604000250f5cff9b815,0,1,0,0,1,6,0,0,690,424.6
124,d6cded7155b36880f81544bdf6fc6c20dd52ad7d,0,1,0,0,24,0,0,0,539,306.11
125,66d501276b5a066bd9abaa4e284cfad557665948,0,20,0,10,45,6,0,1,562,1987.68
126,d0fd3b9ad238294346eb3465c489eabd41fb2380,1,6,0,4,2,10,0,0,86,638.72
127,4b92a20232bc24fd858ed4eb7c45462241e36829,0,10,0,0,0,30,0,0,363,561.92
128,aa99f226a691ddcb4442d60f4cd4908f434cc4ce,0,7,0,0,0,7,0,1,86,415.42
129,35f80da21aaea8c6fde089754ef3a86bc78e0428,0,4,0,0,10,0,0,14,95,273.27
130,372a533a6c091361115f0f0712e93ef3af376b30,0,1,0,0,6,39,0,2,652,416.97
131,0bb33076e2c12947edc91ff61f98e4b72d881ec3,0,1,0,1,0,2,0,0,11,145.91
132,9e6375349e945fed87bbeae565f35ab9ca28f70f,0,1,0,0,0,0,0,0,658,340.61
133,2e95174c45f7ccfb5b9a44ca61897140ceae257f,0,4,0,0,4,0,0,0,105,239.45
134,740e865f40704dc9158a6cf635990580fb6adcac,0,1,0,0,12,0,0,5,563,295.78
135,f892da8716d614467fddcc3a1b2b589979414219,1,0,0,0,0,0,0,0,0,108.67
136,9e63f80e75bb6d9bbe6df268908c3219de6852d9,0,1,0,0,10,0,0,0,79,136.04
137,29ac7ea52fbb0c6531e14305e2fb1ccba9678f7e,3,0,9,0,0,0,0,0,0,792.45
138,12bbca20657c17d5ebfceaacb37dddc851772675,0,2,0,0,5,8,0,0,1225,704.83
139,181ec5030792a10f3ce77e997d0e2eda9bcd6139,12,14,0,0,0,0,0,0,1658,2091.55
140,6e730edcde7ca6cbb5727dff7a42f7284b368528,0,1,0,0,24,0,0,4,574,348.62
141,31a704004f9b4ad34f92ae5c95ae6e90d0ab62c7,0,3,0,0,0,0,0,0,105,252.93
142,80c29689ae3b589254a571da3ddb5f9c866ae534,1,2,1,0,0,24,0,4,56,251.77
143,9c65fa76f9d413e311a80f29d35d3ff7722e9476,0,6,0,4,0,8,0,4,184,642.62
144,f1fa617023d30d8cdc5acef0274bad8cc3e89cea,0,1,0,0,19,0,0,0,598,418.09
145,e258e5040fa1905a04efcb7b3ca4a6d33e18fa61,0,1,0,0,6,0,0,0,617,316.38
146,ce8ec5456169682f27f846e7b8d51e6c4bcf75e3,0,4,0,0,32,0,0,2,1500,857.72
147,87bd1f9ef7d547ee54a8a83214b45462e0751efb,3,0,0,0,0,0,0,0,0,181.21
148,037fe4d2ba01be5610baa3dd9c5c9d3a5e5e1064,0,1,0,0,0,0,0,0,623,258.15
149,0247b5c5467ca1b0d03ba929a78fa4d805582d84,0,1,0,0,0,0,0,0,8,98.09
150,fc7838470465474f777bd17791c1bb5f9c348521,1,0,0,0,0,0,0,0,0,94.58
151,b3e5366f696c463f1c2f033b0d5c7365e5d6b0f8,0,3,0,0,0,0,0,0,0,145.05
152,968c0187a12f5ae4a696c02c1ff088e998ed7edd,0,1,0,0,0,0,0,0,623,310.18
153,1d84964bf80f4e69e54d62286c3861c2362342d0,2,1,0,0,0,3,0,0,22,278.49
154,7d1505841069c6ecc3fa7e4896db535f18e4ce84,0,1,0,0,13,0,0,0,623,290.2
155,7025dda8fa84b57d6f12bc770df2fa10eef21d88,0,3,0,1,0,1,0,2,114,310.5
156,a975a19f21e71f448b3fdb2ed4461e28ef439900,0,4,0,0,0,0,0,0,130,201.22
157,98750a74daf7e2b873da85d2d5067f47e3bbdc4e,0,3,0,2,4,0,0,3,113,340.84
158,a000b5c3b0438c17e9973df4832c320210c29c27,7,0,7,0,0,0,0,0,0,571.72
159,44dd57fb66bb676d753ad8d9757f9f4c03364113,0,14,0,0,13,12,0,22,427,905.88
160,c3f8b78c211df6c5adae74f37e39fb55baeff723,0,1,0,0,0,0,0,0,636,277.25
161,7120a2979d0a9f0f54a88b2416be7ca10e74f409,0,3,0,0,7,12,0,21,1497,862.35
162,68f28dabe9c7679be82e684385be216319beb610,0,4,0,1,1,0,0,0,132,289.7
163,46324279dae2fa803267d788f7c56b0ed643b4c8,25,0,0,0,0,0,0,0,0,1032.07
164,d52761d67f42ad4d2ff02d96f0675fb3ab709f38,0,3,0,0,31,0,0,0,97,221.59
165,1faef149f763f4a54aaa6e17043d0a628ae338a0,0,1,0,0,0,5,0,4,622,293.29
166,d341b17c2a0a4fce04045e13fb4a3b0621296320,0,3,0,0,20,24,0,10,1069,618.89
167,ce92a9c18f033ac9fa2f12143fab00a90e0f4577,0,1,0,0,16,0,0,18,621,402.26
168,b92d16b114fd49e881d09e7974ad57b2a0df2906,0,1,0,0,23,0,0,18,637,284.98
169,6a224c31e8563156ad5732a23667e73076984ae1,0,1,0,0,22,0,0,0,660,307.55
170,010c460d627c1917dc47b09e59fd41172bbf90b3,0,1,0,0,0,0,0,0,682,318.7
171,40a8fef4e6619b4ea10a4ec9026260649ce5ae73,0,1,0,0,1,0,0,0,4,115.24
172,85d3596e65512d481f4be54df100be6bdc9c8e29,1,0,0,0,0,0,0,0,0,263.63
173,c183b92c3c70ad2d36a2d60bdb10c02b65bc0212,0,1,0,0,4,1,0,4,681,342.75
174,aaf2b735fddbebccd28012006ee4647af3b3624f,0,1,0,0,0,2,0,0,38,153.03
175,dc9653641f8806960d79652afa043c3fb84f25d2,0,1,0,0,30,0,0,0,685,719.36
176,4fb259353f616822c32537e3f031944a6d2a09a8,0,1,0,0,11,0,0,0,715,361.69
177,f1933123525e7c806f5fc0b0a46a78a7546f8b61,0,1,0,0,11,0,0,0,726,388.49
178,82d209d43fb543c174e640667de15b00c7fb5d35,0,1,0,0,17,1,0,0,88,124.45
179,c41fdf04f4beebe36379396b0c4fff3ab7ad3cf4,17,2,0,2,0,0,0,0,158,1387.8
180,158ad0bba9382fd494b4789b5628a9cec00cfa19,23,0,0,0,0,0,0,0,0,1046.89
181,2998e38a942351974da36cb619e863c6f0316e7a,1,0,0,0,0,0,0,0,0,142.43
182,e87075df977a539e4a1684045a7bd66c36285174,0,1,0,0,38,0,0,4,9,123.06
183,25cff1019da9d6cfc486a31d035b372ea5fbdfd2,1,0,0,0,0,0,0,0,0,111.15
184,b715aa0c8090cd57158ead2a1b35632cb98a6277,0,1,0,0,20,10,0,1,727,384.59
185,ba28a8fcbc3ba432e7ea4d6f0b535450a6ec96c6,0,0,7,0,0,0,0,0,0,106.16
186,655699f8b7156e8216431393436368e80626cdb2,1,0,0,0,0,0,0,0,0,125.77
187,a83c7723bf7a90dc6cd5dde98a179303b7542020,1,1,0,0,0,0,0,0,0,150.04
188,825d4fe47b9c4d48de88622dd48dcf83beb8b80a,1,0,0,0,0,0,0,0,0,168.27
189,050f8d01e47b9b67b02ce50d83fb7b4e528b7204,1,0,0,0,0,0,0,0,0,118.47
190,16a73c2473181e03d88001aa3e08e6ffac92eb8b,0,1,0,0,21,0,0,0,747,358.19
191,e73b48ace0a7e0f249221240140235d33eeac36b,2,0,0,0,0,0,0,0,0,177.05
192,ec9df6a765701fa41390083df12e1dc1fee50662,0,1,0,1,12,0,0,0,19,179.84
193,5e34855cf04145cc3b7bae996c2a6e668f144a11,1,1,0,0,8,8,0,0,760,462.26
194,5b922bb458e863f5be0ae68167de882743f70b86,0,1,0,0,6,6,0,0,89,118.65
195,b77a02f41c60d869f48b65e72ed696c05b30bc48,5,0,0,0,0,0,0,0,0,325.2
196,2fe0ba95616bb3860736b6b426635a5d2a0e9bd9,0,3,0,0,0,87,0,0,785,482.1
197,6bb56faea8d238ea22c2de33db93b1b39f492b3a,0,1,0,0,65,0,0,1,768,386.21
198,9530316887612dca060a128fca34dd5a6ab2a9a9,4,0,0,0,0,0,0,0,0,256.62
199,df7974b8e59d00e8efbb61629418fa6265c1ddab,0,2,0,0,0,0,0,0,9,105.98
200,bfa614b12795f1cfce4de0950f90cb8c4f2a7d53,0,1,0,0,0,0,0,0,833,393.98
201,47a40f60d62ea69b659959994918d4c640f39d5b,0,2,0,1,3,0,0,5,160,335.6
202,84e5da87e32256ba4f3dee6f8bf532ce88322028,1,0,1,0,0,0,0,0,0,330.31
203,7136719b7d53ee1360abaa5e178ba9f8b00f3da8,0,1,0,0,49,0,0,6,833,421.18
204,1d4f3552037cb667971bea2e5078d8b3ce6c2eae,2,2,0,0,12,0,0,0,80,352.36
205,2ebd1df3f17993f3cb472ec44c8832213976d99a,0,4,0,4,4,0,0,0,116,519.64
206,ebd6480587f96e9964d37157253523e0a179171a,3,0,0,0,0,0,0,0,0,225.0
207,5e73138a0152b78380b3f1def4b969b58e70dd11,9,11,0,8,38,1,0,12,429,1817.98
208,5b3b6f6f5f029164d7749366506e142b104c1d43,1,0,0,0,0,0,0,0,0,124.15
209,4c42986cc070d9c5c55c7bf8a2a67585967b1082,2,5,0,1,7,2,0,0,338,561.3
210,6e9ef10fd7446a11f37446c961916ba2a8e02cb8,0,1,0,0,0,0,0,0,26,81.54
211,f165b2bbf5d4acf34d826fa55b900f5bbc295654,2,13,0,5,32,2,0,18,687,1362.05
212,48a19a6dba896f7d0b637f84e114b7efbb814e51,1,5,0,3,82,9,0,0,299,724.87
213,d4fa04e50d299e9cad349b3781772956453a696b,8,15,0,6,1,41,0,6,736,1707.58
214,4af5c7e24455246c61c1f3c22225507e720d721d,0,1,0,0,1,0,0,3,48,111.55
215,974d334cf06a84317234a6c8e2e9ecca8271fa41,0,2,0,0,10,0,0,8,97,212.33
216,ef29a9a9aa85468869eb67ca67b66c65f508d0ee,1,10,0,3,10,0,0,6,705,998.18
217,faeb41de215d3ac567ce72a43ab242ad433ca93e,1,0,0,0,0,0,0,0,0,119.34
218,4b736dbab3e177e5265439d37063bb501657d830,5,0,0,0,0,0,0,0,0,341.11
219,36ddeb7bf83ac5a1af9d3db07ad4c380777e4d1a,0,1,0,0,26,0,0,7,689,415.73
220,0402be90f7af82c8404cafbca79f5f9fb8e2bbed,1,0,0,0,0,0,0,0,0,114.24
221,b9e1c2eb9b6f7fb609718ef20048a8da452d881b,0,3,0,0,12,10,0,0,135,197.2
222,ca26a212fda39a15fde09dfdb2fbe69580a717f6,0,1,0,0,0,6,0,10,99,108.1
223,5930f64bf0d2516304b21bd49eac361a54caabdd,0,1,0,0,7,0,0,3,47,126.97
224,40eb8b6ef3a67e36d0d9492c044981a1da76351d,1,0,1,0,0,0,0,0,0,182.19
225,377b06820934cab6d67f3a9182528c7f417a7d98,0,1,0,0,0,0,0,0,8,92.47
226,15cacc81240eed8834b4730c5c6dc3238f003465,1,1,1,0,0,0,0,0,42,176.42
227,288ce583b05004a8c71dcd836fab23caff5d4ba7,0,1,0,0,0,0,0,0,8,85.7
228,120a350240f58196eafcb038ca3a353636d89239,1,0,0,0,0,0,0,0,0,135.35
229,10664276007beca3843638e558f504cad44b1fb3,1,1,0,0,0,0,0,0,51,129.87
230,657a88835d8bf22488b53d50f75281d7dc32442e,1,1,0,0,0,0,0,0,55,165.11
231,469a6e5f3bdd5593b3254bc916be8236e7c6cb74,2,1,0,0,0,0,0,0,18,267.11
232,7e758d709286e73d2c878d4a2d2b4606386142c7,0,2,0,0,0,0,0,0,49,142.86
233,e829bfa1ab9b68f44c489d26efb042f793fd9362,0,1,0,0,35,0,0,19,882,426.61
234,5e4c06f8e54265a4024857f5978ec54c936aeea2,0,2,0,0,0,0,0,0,0,107.22
235,2b9b72682e587909a84d3ace214c22cec830eeaf,0,3,0,0,75,12,0,24,139,321.59
236,9bd9334f588dbb44d01554f9f4ca68a153a48993,0,3,0,0,6,6,0,0,121,199.04
237,ee1fb97a97d5ac18cd2ad8028e84ecbd988fb811,0,1,0,0,76,0,0,0,75,150.8
238,29fabb1b528e60b2f65132a9ab64f2fd95b729ba,0,6,0,0,4,5,0,5,1760,837.45
239,02b55de3dce9a1fef806be13e5cefa0f39ea2fcc,1,0,0,0,0,0,0,0,0,166.3
240,352ed6bbe3c3b67e52e298e7c535ae414d96beca,0,5,0,4,5,7,0,5,40,564.28
241,d3f07fd23cc26a70f44c52e24445974d4885d58a,0,1,0,0,1,0,0,1,45,142.17
242,bbcba3a9430365640c0188e7ca6e0677d3227dd8,0,1,0,0,0,0,0,0,46,87.4
243,b4034c3f889bf24f60eb806802866b48e4cbe55c,0,1,0,0,0,0,0,0,99,110.49
244,d5eeb35167e1ab72fab7778757163ff0aacaef2c,1,0,0,0,0,0,0,0,0,92.81
245,259936be710f367e1d1e019ee7b93fb68dfc33d0,0,2,0,0,0,0,0,0,926,412.86
246,96c2c714f4f9abe20d4c42d99ffaafcb269714a1,1,0,0,0,0,0,0,0,0,163.43
247,1727e0841cf9948e601ae2936fe89094c8c0c835,0,1,0,0,0,0,0,0,74,227.11
248,306ff187af0c49f61f4bc1850021561397b4f8f1,0,1,0,0,13,0,0,15,917,596.02
249,52f5754f45370f98e577a2aa96accf3ee2e2c8e2,0,1,0,0,36,0,0,3,715,460.21
250,4ee79c71afc5175ba42b5e3d4088fe23db3e45d1,0,1,0,0,20,0,0,19,930,436.94
251,5b9760de8dd2dab7cf9a4f5c65869e4ed296a938,1,1,0,0,0,0,0,0,0,130.45
252,5ad78f62056f2560cd371ee964111a646806d0ff,0,1,0,0,3,0,0,0,36,110.82
253,715632232d0e6c97e304686608385d3b54a4bcf6,0,0,1,0,0,0,0,0,0,67.3
254,34250a613cee39b03f05f2d54ae37029abd8a502,1,0,0,0,0,0,0,0,0,121.85
255,b8ebebeaaa259be4fcddf65b3280d23165b011a1,1,0,0,0,0,0,0,0,0,110.62
256,980764f3c0c065cc32454a036e8d0ead5a92037b,1,0,0,0,0,0,0,0,0,111.15
