idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,2fb849502f57ec29e9913907872183af06a57b3e,0,0,0,0,0,0,0,0,0,49.59
1,01dce3f569e0085dae2d0e4bc5c9b2bef5bd3120,12,0,0,0,0,0,0,0,0,1563.22
2,042dcbde33c878d165b777964f5abb646257ab94,0,1,0,0,22,0,0,2,274,202.7
3,6a78e88237cd2d2947cf5461e9da8359a16a0228,0,1,0,0,2,0,1,1,31,197.05
4,2a60c998cc9ca8b9a90d8c7865f7494963395b3b,0,1,0,0,10,15,0,2,11,167.07
5,c5e2810dc75ac0bae94b1e50ff8c0d198d185b52,0,1,0,0,31,0,0,2,296,164.0
6,b51d733a5783ef29077951e842882bb002a4139e,0,2,0,0,15,1,2,3,335,249.89
7,6ae3c375a9e8a97ff96649b3637e4a011d849990,0,10,0,1,115,110,0,0,349,595.29
8,0b84871dbca8a1a33407e7322e3c6162d24b4c29,0,1,0,0,2,0,2,0,326,223.69
9,8d7b77bcb545e7e1167cf6e4a010809d5bd76c5a,1,8,0,0,0,0,0,0,115,407.55
10,3ebd8e18853bfca6f0bcd99ac79f0c6717aa0887,0,1,0,0,10,0,0,2,328,254.87
11,2a87d816a24c62215d682e3a7af65489c0d6e708,0,1,0,0,0,9,0,1,329,259.18
12,f4a9e1b9be856b43e9e512bf40342514fa7856c8,0,1,0,0,10,0,0,2,329,259.49
13,903f3518dfcd686cda2256b07fbc1dde6aec0178,0,1,0,0,5,0,0,2,339,237.24
14,b607c9e9165a996289e4fb78bf7f2792121183d0,1,0,0,0,0,0,0,0,0,116.39
15,867a7455e27af9e8a6b95c87c882c0eebcaed0ad,1,0,1,0,0,0,0,0,0,232.44
16,b0974e6c1d1d8e03d9b70660070f66977ea2e797,0,1,0,0,0,17,0,0,27,83.62
17,91b3d414481cd06e0b75f621550a38042f9b2ffd,0,1,0,0,0,0,0,0,27,79.3
18,22a8c7be9aebe46c7ee332228967039be811043b,0,1,0,0,72,0,0,0,27,144.89
19,0d0bab25bd0dfefdd5a91d22a4e81d347d255cf3,0,1,0,0,24,0,0,0,99,195.18
20,f144e0413a1e42d193a86fa04af769e2da9dc58b,0,1,0,0,26,0,0,0,123,161.4
21,86af64b0a6fde5a6418727a77b43bdfeda1b81cd,0,1,0,0,31,0,0,1,344,269.86
22,ecf9c0890160c69f1b64b36fa8fdea2f6dd973eb,0,1,0,0,0,0,0,0,375,204.93
23,0982572519655354b10987de4f68e29b8331bd2a,0,1,0,0,0,0,0,0,375,224.78
24,6e514a8d3511891a3f7221c594171477a0b5a38f,0,1,0,0,39,0,0,0,149,186.67
25,9c32f300fb4151a2b563bf3d2e46469722e016e1,0,1,0,0,2,0,0,0,375,235.24
26,8ac0f35be42765fcd6f02dcf0f070f2ef2377a85,0,1,0,0,9,0,0,2,377,247.5
27,560c312c6060914c9c38cb98d3587685f10f7311,0,1,0,0,115,0,0,0,188,279.06
28,5004eec37c01db3b96d665b0d9606002af209eda,0,1,0,0,0,0,0,0,303,268.06
29,c2537057f9ed8723d2c33a1636edf9c9547cdc66,0,1,0,0,0,0,0,0,303,249.84
30,280b6d018691810bbb3dd3155f059132b4475995,0,1,0,0,9,9,0,0,294,239.59
31,5bcb048167fe0b90f749910233342c09fff3fce7,0,1,0,0,38,0,0,0,303,281.6
32,3461cd99b7b680be9c9dc263382b42f30c9edd7d,1,0,0,0,0,0,0,0,0,186.72
33,a0013beb039c8569e9e69f96fce0c341d1a1d180,0,1,0,0,16,0,1,1,341,293.1
34,2a872335c5c7b5481c927272447e4a344ef59dda,0,1,0,0,2,0,1,1,357,286.76
35,61b877c688d6c9a4e9c4d8f22ca0cadae29895bb,0,1,0,0,27,0,2,2,359,402.84
36,82b8707c6bbb3926e59c241b6e6d5ead5467aae7,0,1,0,0,21,0,0,0,386,297.52
37,70ba994d6d6f9e62269168e6a8a61ffce736a4d2,0,1,0,0,0,0,0,0,407,283.69
38,e0165bf7141086e28f88cd68ab7bc6249061c924,1,1,0,0,15,0,0,0,407,415.76
39,12b72b3e73798a5a2cc6c745610e135b1d6825a6,1,0,0,0,0,0,0,0,0,120.28
40,33bad85bb9143d41bc5de2068f7e8a8c39928225,0,1,0,1,1,0,0,0,422,614.72
41,ef711902c1f42db14c8ddd524195f0a9efb56e65,1,0,0,0,0,0,0,0,0,124.53
42,7dfb82a992d47491174d7929e31351d26cadfcda,0,2,0,1,22,0,0,0,809,871.91
43,155f31398dc83ecb88b4b3e07849a2a8a0a6592f,0,1,0,0,3,0,0,0,0,120.84
44,9c8ff1e55fb97980e7f0bb7f305c1ed0e59b749e,0,1,0,0,0,387,0,0,36,126.05
45,d49cf0e587b7cbbd31917d9bb69f98466feb0f9f,1,1,0,0,13,0,0,3,408,324.76
46,379564c7e05cfd0acceaee5641e0d06c86985bff,0,1,0,0,0,0,0,0,421,244.88
47,f0b68c623c116540470e06967c1554855d16a500,0,2,0,0,38,0,0,1,844,550.89
48,20cf77054536acd9c064d6e7ffedce23a87fb6a5,0,1,0,0,16,0,2,2,449,386.07
49,c65988bdc1b75e88e6df77df0b84fc3a34c5b028,0,1,0,0,17,0,2,4,465,446.3
50,d09c36065ca040044530a50f0392c92866b6d301,0,1,0,0,0,0,0,0,482,334.99
51,e9fb25426ea0b6dbe4c946243a2ac0836b031c58,0,0,1,0,0,0,0,0,0,67.33
