idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,8635.33
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,19528.94
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,430.08
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,418.25
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,154,11,0,3,806,1145.67
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,22698.97
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,9,3,1,0,741,638.74
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,54,0,0,684,454.4
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,8,256,0,3,1329,2372.34
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,87,669,5,1,189,15796.52
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,1414,26,1,7,1302,5062.16
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,51,9,1,18,1347,890.54
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,382,112,5,11,742,3680.72
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,412.89
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,325,50,5,55,859,1657.82
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,904,399,13,39,1952,3808.61
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,46,8,2,10,663,917.44
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,748,32,9,46,2115,4356.3
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,869,215,10,23,2703,1859.84
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,323,32,0,0,1588,2245.89
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,32,25,1,1,563,1294.09
