idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1427.18
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,2365.68
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,142.96
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,99.4
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,17,0,0,4,123,242.25
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,2876.8
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,115,65.41
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,6,0,0,72,104.3
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,22,0,7,167,366.28
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,11,71,0,0,24,2752.7
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,167,4,0,3,188,837.39
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,7,0,0,2,157,173.34
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,53,21,0,0,92,498.46
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,114.73
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,38,8,0,6,99,272.92
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,131,47,0,3,211,533.83
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,3,3,0,3,80,174.01
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,79,4,0,5,248,846.92
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,66,12,0,9,340,354.11
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,33,0,0,5,194,338.41
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,1,0,0,6,75,177.12
21,09a97a410ac5e94485fe32272e276b1c95de9d19,7,8,1,0,28,7,0,7,425,899.85
22,c3fff5e89e00c588f906135b88fbd30e63e89447,0,3,0,0,0,6,0,16,231,242.24
23,5a84fe4385d3bfb3902227d44b0843d30873438b,1,0,0,0,0,0,0,0,0,128.05
24,17c9e77910866d406acf0d6957c64eeed43f68af,0,7,0,0,21,12,0,7,366,449.41
25,80b4f73fa4f5a7adb53eaf5abc41e4586437be8d,1,0,0,0,0,0,0,0,0,110.49
26,0f48808a4a501d5b86bf32708768bd629edc7fba,3,9,1,0,93,36,0,1,234,634.39
27,05369fdb6c558d1f1348165db5c2c34df40bef60,3,1,31,0,0,0,0,0,170,579.12
28,9bd3409da4b724276e56a3da0dc230ff02b3fa3f,1,0,0,0,0,0,0,0,0,103.83
29,555cec4fc75c6d2d62450afbe7e3d45ebe2e07b3,0,2,0,0,54,0,0,4,67,166.9
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1319.53
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,934.43
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,110.3
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,70.22
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,17,0,0,4,123,189.74
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,1148.16
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,115,53.18
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,6,0,0,72,76.2
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,22,0,7,167,161.73
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,11,71,0,0,24,748.31
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,167,4,0,3,188,502.48
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,7,0,0,2,157,115.04
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,53,21,0,0,92,309.51
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,88.62
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,38,8,0,6,99,190.29
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,131,47,0,3,211,368.56
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,3,3,0,3,80,145.49
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,79,4,0,5,248,380.34
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,66,12,0,9,340,202.78
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,33,0,0,5,194,240.7
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,1,0,0,6,75,131.59
21,09a97a410ac5e94485fe32272e276b1c95de9d19,7,8,1,0,28,7,0,7,425,687.6
22,c3fff5e89e00c588f906135b88fbd30e63e89447,0,3,0,0,0,6,0,16,231,145.66
23,5a84fe4385d3bfb3902227d44b0843d30873438b,1,0,0,0,0,0,0,0,0,81.83
24,17c9e77910866d406acf0d6957c64eeed43f68af,0,7,0,0,21,12,0,7,366,321.95
25,80b4f73fa4f5a7adb53eaf5abc41e4586437be8d,1,0,0,0,0,0,0,0,0,85.23
26,0f48808a4a501d5b86bf32708768bd629edc7fba,3,9,1,0,93,36,0,1,234,494.85
27,05369fdb6c558d1f1348165db5c2c34df40bef60,3,1,31,0,0,0,0,0,170,367.68
28,9bd3409da4b724276e56a3da0dc230ff02b3fa3f,1,0,0,0,0,0,0,0,0,71.7
29,555cec4fc75c6d2d62450afbe7e3d45ebe2e07b3,0,2,0,0,54,0,0,4,67,161.21
30,d7d3da4df45c5a3be0f77d7732af316724ee5df0,0,0,3,0,0,0,0,0,0,66.55
31,835121ab3fab6195fd93aa84135c9ce60498da32,2,5,0,0,120,0,0,13,331,297.27
32,96c792c295a4bd9ce6cfd0d46f6512b1446b5000,0,3,0,0,10,0,0,0,222,159.91
33,98bc5f32c42b047e6d5f92c044eac7c631abf124,5,3,0,0,6,43,0,11,189,442.2
34,59dde9ac687aa547f54df1a3ea8abddb8c1ba835,0,4,0,0,0,2,0,1,246,134.61
