idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1884.85
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,2915.77
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,135.64
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,147.43
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,8,1,2,0,58,312.71
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,3104.53
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,58,83.52
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,7,0,0,28,122.31
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,24,18,4,121,410.72
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,10,74,4,0,10,2222.93
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,138,1,5,0,80,771.71
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,4,0,4,0,142,141.17
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,33,12,4,2,66,475.92
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,102.13
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,26,5,7,2,66,260.1
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,86,29,27,0,172,492.96
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,1,0,4,0,54,160.68
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,62,3,4,0,172,566.98
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,43,22,10,0,205,300.12
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,20,0,3,0,89,292.81
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,0,0,0,0,32,156.33
21,09a97a410ac5e94485fe32272e276b1c95de9d19,7,8,1,0,15,8,7,0,214,834.02
22,c3fff5e89e00c588f906135b88fbd30e63e89447,0,3,0,0,0,6,23,0,111,387.78
23,5a84fe4385d3bfb3902227d44b0843d30873438b,1,0,0,0,0,0,0,0,0,101.44
24,17c9e77910866d406acf0d6957c64eeed43f68af,0,7,0,0,8,17,15,0,191,356.93
25,80b4f73fa4f5a7adb53eaf5abc41e4586437be8d,1,0,0,0,0,0,0,0,0,116.03
