idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1994.31
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,3544.07
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,207.97
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,117.78
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,17,0,0,3,123,430.64
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,4432.72
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,115,113.28
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,6,0,0,72,132.16
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,22,5,10,167,502.38
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,11,71,0,0,24,2143.21
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,167,4,0,2,188,775.1
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,7,0,0,2,157,146.57
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,53,21,0,0,92,493.28
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,111.76
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,38,8,3,1,99,320.48
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,131,47,0,1,211,498.63
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,3,3,2,0,80,187.16
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,79,4,0,2,248,550.27
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,66,12,3,8,340,588.38
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,33,0,0,7,194,353.0
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,1,0,0,2,75,185.0
21,09a97a410ac5e94485fe32272e276b1c95de9d19,7,8,1,0,28,7,0,8,425,886.43
22,c3fff5e89e00c588f906135b88fbd30e63e89447,0,3,0,0,0,6,0,14,231,247.86
23,5a84fe4385d3bfb3902227d44b0843d30873438b,1,0,0,0,0,0,0,0,0,92.23
24,17c9e77910866d406acf0d6957c64eeed43f68af,0,7,0,0,21,12,1,2,366,419.42
25,80b4f73fa4f5a7adb53eaf5abc41e4586437be8d,1,0,0,0,0,0,0,0,0,106.45
26,0f48808a4a501d5b86bf32708768bd629edc7fba,3,9,1,0,93,36,1,0,234,690.35
27,05369fdb6c558d1f1348165db5c2c34df40bef60,3,1,31,0,0,0,0,0,170,533.77
28,9bd3409da4b724276e56a3da0dc230ff02b3fa3f,1,0,0,0,0,0,0,0,0,106.44
29,555cec4fc75c6d2d62450afbe7e3d45ebe2e07b3,0,2,0,0,54,0,0,3,67,199.75
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1654.78
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,1750.17
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,142.68
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,95.88
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,17,0,0,3,123,219.91
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,2592.56
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,115,85.94
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,6,0,0,72,73.79
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,22,5,10,167,299.23
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,11,71,0,0,24,1284.39
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,167,4,0,2,188,555.54
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,7,0,0,2,157,123.74
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,53,21,0,0,92,375.72
