idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1953.72
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,2707.21
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,131.21
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,100.33
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,13,0,0,1,61,258.01
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,2992.96
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,58,88.54
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,1,0,0,42,130.94
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,17,0,8,102,523.98
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,3,44,0,0,16,1927.65
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,113,0,0,0,97,648.99
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,3,0,0,3,111,148.85
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,34,7,0,0,46,557.59
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,142.68
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,21,3,0,2,61,244.78
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,80,29,0,0,132,449.81
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,3,1,0,4,62,163.09
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,70,2,0,0,151,596.55
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,64,1,0,7,232,269.1
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,26,0,0,2,146,303.48
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,1,0,0,3,52,180.54
21,09a97a410ac5e94485fe32272e276b1c95de9d19,7,8,1,0,16,3,0,9,277,825.36
22,c3fff5e89e00c588f906135b88fbd30e63e89447,0,3,0,0,0,3,0,5,174,171.27
23,5a84fe4385d3bfb3902227d44b0843d30873438b,1,0,0,0,0,0,0,0,0,94.76
24,17c9e77910866d406acf0d6957c64eeed43f68af,0,7,0,0,18,3,0,1,250,381.39
25,80b4f73fa4f5a7adb53eaf5abc41e4586437be8d,1,0,0,0,0,0,0,0,0,106.75
26,0f48808a4a501d5b86bf32708768bd629edc7fba,3,9,1,0,79,27,0,0,103,591.79
27,05369fdb6c558d1f1348165db5c2c34df40bef60,3,1,31,0,0,0,0,0,130,560.08
28,9bd3409da4b724276e56a3da0dc230ff02b3fa3f,1,0,0,0,0,0,0,0,0,106.24
29,555cec4fc75c6d2d62450afbe7e3d45ebe2e07b3,0,2,0,0,51,0,0,2,39,202.21
0,c20fd6454e5733628ead3f129c7e803c1ead5b94,19,0,0,0,0,0,0,0,0,1142.86
1,e9d9d024801ecaae642da650dfbb802486e87f67,19,0,19,0,0,0,0,0,0,958.23
2,a8208011ea59384745ce3e55e97b880ff0ecb89d,1,0,0,0,0,0,0,0,0,87.08
3,38ba994ef9716eb0f7caabe6be68e20275a63646,1,0,0,0,0,0,0,0,0,71.74
4,c26e512a55da1a0decdaae3ce270cea5df94650a,0,2,0,0,13,0,0,1,61,143.58
5,0d78ff0bd687b37711405963bd36e3ae02e4f520,22,0,21,0,0,0,0,0,0,1065.61
6,0537aead6d93b0c5afd880c62671a18536e866ad,0,1,0,0,0,0,0,0,58,54.85
7,8736fb21e67360266ec2a43d5db772ca2596b40a,0,1,0,0,0,1,0,0,42,70.52
8,2f93c5974bc255bbc8a0fedbc0f398c69e50273a,0,3,3,0,0,17,0,8,102,168.02
9,5c3d83b86a17d9b9fd86959028427ca3c2b50020,16,2,14,0,3,44,0,0,16,665.19
10,c4c126b3bb60ab740109f65d64358cdd96878922,2,10,0,0,113,0,0,0,97,506.86
11,3a49b62b9452f86a594c91a35d5fb3ec2a032adf,0,2,0,0,3,0,0,3,111,119.47
12,e552ac2092bb84e68fb771bd450c28905fb683c0,2,7,0,0,34,7,0,0,46,336.45
13,5e5b8c419e7cc0829e81c2168c116e27705f785b,1,0,0,0,0,0,0,0,0,89.46
14,e00a264ce88b000295b4b8e6a429c9f112790b13,0,4,0,0,21,3,0,2,61,211.45
15,f5c75487652a894f0a0ff9d7cc4893d7c4985213,0,8,1,0,80,29,0,0,132,295.19
16,cd52a5c611048ef0d635b690a1d068a02d5de39b,1,1,0,0,3,1,0,4,62,135.08
17,ffa6c37fe8bcfcbc55cf241ed5a75384d8229663,3,7,0,0,70,2,0,0,151,367.13
18,f5516068edaef12dac536e375b25b687633e2474,0,4,0,0,64,1,0,7,232,201.99
19,a781de31afc34db6a09e6c8b60ea28ff171eb93a,3,2,0,0,26,0,0,2,146,245.01
20,c67f3dfc9fc71baf432ee7f488b99eaed0d384eb,0,3,0,0,1,0,0,3,52,104.56
21,09a97a410ac5e94485fe32272e276b1c95de9d19,7,8,1,0,16,3,0,9,277,613.43
22,c3fff5e89e00c588f906135b88fbd30e63e89447,0,3,0,0,0,3,0,5,174,120.27
23,5a84fe4385d3bfb3902227d44b0843d30873438b,1,0,0,0,0,0,0,0,0,78.56
24,17c9e77910866d406acf0d6957c64eeed43f68af,0,7,0,0,18,3,0,1,250,246.35
25,80b4f73fa4f5a7adb53eaf5abc41e4586437be8d,1,0,0,0,0,0,0,0,0,63.08
26,0f48808a4a501d5b86bf32708768bd629edc7fba,3,9,1,0,79,27,0,0,103,508.15
27,05369fdb6c558d1f1348165db5c2c34df40bef60,3,1,31,0,0,0,0,0,130,290.45
28,9bd3409da4b724276e56a3da0dc230ff02b3fa3f,1,0,0,0,0,0,0,0,0,104.74
29,555cec4fc75c6d2d62450afbe7e3d45ebe2e07b3,0,2,0,0,51,0,0,2,39,127.84
30,d7d3da4df45c5a3be0f77d7732af316724ee5df0,0,0,3,0,0,0,0,0,0,51.23
31,835121ab3fab6195fd93aa84135c9ce60498da32,2,5,0,0,102,0,0,5,245,310.99
32,96c792c295a4bd9ce6cfd0d46f6512b1446b5000,0,3,0,0,9,0,0,0,189,126.44
33,98bc5f32c42b047e6d5f92c044eac7c631abf124,5,3,0,0,5,43,0,17,155,526.38
34,59dde9ac687aa547f54df1a3ea8abddb8c1ba835,0,4,0,0,0,0,0,0,156,119.54
35,abff7dc3198808463694088ae2bc5f4f2bea5e6d,12,1,12,0,7,0,0,0,0,746.84
36,b0862c7aaa62be216c2a0ea79e3462c24fc88b7e,9,0,9,0,0,0,0,0,0,466.78
37,106c998511a818f491bb93b689e71f52d9957aba,5,1,0,0,14,0,0,3,7,326.04
