idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,bbc3fdc9973cf02256539a794b617c9b0da5b81f,0,1,0,1,0,0,0,0,198,484.46
1,3eed1f68e7fcf50b54e67afff46c205c7762da7e,0,1,0,1,45,28,57,11,303,335.63
2,03b424d305d37caffb28dcb35122380c83d953d3,1,0,0,0,0,0,0,0,0,138.56
3,2cc64f54fdf857437ac7325639afdb67bbfb0388,10,0,0,0,0,0,0,0,0,618.67
4,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,0,3,0,2,1,0,4,0,270,289.77
5,a1c481ceca909e32ec49ff9738b5355eb1c367a7,1,0,1,0,0,0,0,0,0,120.27
6,18a282789c4723e3c2a41960174ea55594e43d7a,0,1,0,1,0,0,0,0,111,117.47
7,925c425a73910bab9e40bc044329136379adadaa,0,2,0,2,1,3,9,0,462,294.4
8,1061ac279cd4785951219c1c1631c4156de913fc,0,3,0,3,0,0,0,0,248,312.04
9,e655cad3c57b98be9ccd5645a712ff5a57dc0480,0,4,0,1,0,0,1,0,724,298.4
10,8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa,0,13,0,10,50,0,75,27,1243,1056.02
11,551012dac1494b57e829bcbd9bafb51b280a03fa,0,1,0,0,15,0,0,0,15,274.91
12,2af055275751847a8202926173a76367f6f5d853,0,5,0,2,12,0,7,2,550,330.78
13,bdd911367253b67aa3d1665ed3262735d2f7ad20,0,1,0,0,0,0,0,0,199,70.76
14,344a30792bb30430a5949fa20ae69872c42394e0,0,10,0,1,107,4,144,57,1571,597.85
15,35ccdb8896e6d835b89ba604c595e2e760f090cb,0,1,0,0,0,2,2,0,113,84.19
16,a32fd48ef2b72af6264d6fc2a77aa5fd8b5e43fe,0,1,0,0,2,0,14,12,227,107.13
17,a3b0ab80e49741e3cf06ce17f2db2a290ff4b276,0,1,0,0,2,0,0,0,368,110.33
18,1153591dea3c1ca8c19e6f353dd10551c68c11c1,0,4,0,0,0,0,0,0,1011,194.53
19,a575976c553502ea73ce272f5d5060a271b6e06b,1,0,0,0,0,0,0,0,0,87.25
20,4b0cc456e9c1b5ffe4bf0c666545c74ffc9664d3,0,1,0,0,0,0,0,0,0,58.88
21,ae74147efc8f3dffe6c68ec7ef30f222be63b396,0,2,0,2,3,0,0,0,283,278.12
22,cef8ad10d66a54d9d5969cd8ea1682f58798c316,1,1,0,0,7,0,0,0,0,160.42
23,2d5dd1da4d144cd1ab76edda05e4faa2d6f368e3,2,12,0,2,14,105,54,9,1517,749.45
24,cf6e81cb24dc8f0f7cd3f52bab48e2781f8c463d,0,2,0,0,3,0,0,0,556,135.51
25,ebcb21f448d92c19e025279f3c27bbdb2fc75af5,0,1,0,0,0,0,2,0,45,59.74
26,da2a904e6492c3e203f93190118922a730b2c6fc,1,0,0,0,0,0,0,0,0,88.06
27,4895120841fcfa8c7d45cadabb4d6468020ed41b,1,0,0,0,0,0,0,0,0,97.58
28,b01624e6f0caa19f610b110902cf7c8fb911ebfb,0,1,0,0,0,0,0,0,414,82.84
29,ac533ef7e5aa056aabc8be5189175403aebc9a7a,0,0,1,0,0,0,0,0,0,147.09
30,418a0392faf93494847798aea255d6503586a410,0,1,0,0,0,0,0,0,273,75.63
31,bf1880ecb1385d570461213c352ff80b6ec9fb2f,1,0,0,0,0,0,0,0,0,92.44
32,7f7a4a80beac658d2f1557b21499d596a2fe4929,0,1,0,0,5,0,47,0,88,73.69
33,a5cc7ba8b6739698f81f7d50bdac8f610f60d5b8,0,1,0,0,0,0,0,0,7,56.78
34,7f56417f9404afb0f8975b0fe616433ab75a5de8,4,29,0,7,111,80,141,25,3347,1829.46
35,a40b75cd0894135def963ae24b8cbe37041a0592,0,5,0,0,8,1,14,7,373,245.09
36,95828839ca0d575c04cb9df5eee9c82052c4c460,0,1,0,0,0,4,22,7,410,122.28
37,257ef2c937db7cc9e7d5fd5d036d87753bbc6d3c,0,2,0,0,54,47,32,8,389,158.72
38,03954ba7db28b67fb8a7f4ca4ce1d12798207c09,1,0,0,0,0,0,0,0,0,88.15
39,90090902302f923a98b24185a56b392ca4144e54,0,2,0,1,22,3,15,9,323,188.79
40,2d1d4d3563233a4c7739069389ba2ff8a3a06c8c,0,1,0,0,0,2,5,0,371,101.03
41,256fe64d65db6fb0bcf4f0dc9120b6ab47f3bee3,0,1,0,0,0,0,0,0,19,51.0
42,edc4bf7ec225bba914037a89cf04c6601a8b9c33,2,0,0,0,0,0,0,0,0,132.9
43,888e0c5fc576415a7949a938bf1aad4be74984eb,0,36,0,3,0,58,0,0,4894,1432.39
44,8b68d78491052fc44bb5ef51ad866ce48d078725,0,1,0,0,0,19,0,0,109,82.41
45,1a85483357106cf0993080a56ddd5c1e2644100c,0,4,0,1,40,12,33,10,920,363.6
46,afd85358e0e3c32c93e33081d2904ad86f1f6ecb,0,1,0,0,0,0,10,0,414,110.44
47,1f5dfb0bb6cd8c13d9308393825bea90ccf4e72c,0,1,0,0,0,5,2,0,173,81.63
48,f699c55336a7e3139afea6a7bbd77d837ded855a,0,1,0,0,0,2,0,0,416,93.08
49,a6bc7d54791e73b06083996ab57fdba9340ae1aa,1,22,1,0,3,1,49,10,3318,965.74
50,5347de99d0d1fdd1d41ffb02e69931eda5fa2342,0,1,0,0,0,15,12,1,154,101.28
51,ffce83512370e970426f7f6b7cff8f519de59bd4,0,23,0,3,18,12,3,0,3059,1077.75
52,e2f182cf0c095784e205b5bd63d72c73d1258297,0,16,0,6,1,0,0,0,2198,847.04
53,f1dd874ed7ddd42f006600319dd5e896ed8ac349,42,0,0,0,0,0,0,0,0,1775.56
54,40823446fb2530bf8c4866ae52ebbe4134a42b3b,0,1,0,0,9,0,16,10,273,112.51
55,23e39b5a8797d2be1b1ed0420d67f26983887c84,0,5,0,0,208,64,90,43,1216,446.47
56,920bd81fef8128e6f1bb5c59b8a7e36b1211fd87,0,1,0,1,0,0,0,0,15,106.25
57,7a56a8f5e57ff35f1076a5a45b10f358154227cb,0,1,0,1,0,0,0,0,392,186.83
58,0da7e6a3a699284df263484496fa16ca0f67e32a,0,1,0,1,0,0,0,0,539,192.36
59,31d99a300ad9b0c66905333c7775321a58345ed6,0,18,0,17,0,0,0,0,1308,20224.75
60,05ae54b104502bbaac97d0bb1d09616646fed6c3,0,1,0,1,0,0,0,0,74,102.94
61,ab761fc1b371c7e3039784c918693025a0052b9b,0,7,0,7,27,3,35,10,636,898.73
62,dcb4215e8a27f66f92a48c2d35e6e1ac454deccb,0,1,0,0,1,0,0,0,392,132.93
63,774bda809bf4c17941eacddccf6298d57f1737a9,0,1,0,0,1,0,0,0,539,105.89
64,3740b7c730e6e4ccccd78c35694689292bca4ddb,0,3,0,2,15,0,6,3,599,616.06
65,41eaa5741eb749f8a32a17c33c2828f422a551d3,0,1,0,1,0,0,0,0,92,109.09
66,dbd65f592ba1398b9b8ac371917cb2b9e65eaff2,0,4,0,1,28,1,3,2,1223,362.95
67,8a22ee2a08d3d00a2085459c5f1941648a12ec98,0,6,0,6,11,6,32,28,379,594.81
