idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,bbc3fdc9973cf02256539a794b617c9b0da5b81f,0,1,0,1,0,0,0,0,240,540.05
1,3eed1f68e7fcf50b54e67afff46c205c7762da7e,0,1,0,1,36,20,16,29,343,334.74
2,03b424d305d37caffb28dcb35122380c83d953d3,1,0,0,0,0,0,0,0,0,127.28
3,2cc64f54fdf857437ac7325639afdb67bbfb0388,10,0,0,0,0,0,0,0,0,1078.33
4,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,0,3,0,2,0,0,0,0,318,256.28
5,a1c481ceca909e32ec49ff9738b5355eb1c367a7,1,0,1,0,0,0,0,0,0,160.97
6,18a282789c4723e3c2a41960174ea55594e43d7a,0,1,0,1,0,0,0,0,162,191.76
7,925c425a73910bab9e40bc044329136379adadaa,0,2,0,2,1,1,1,4,454,558.47
8,1061ac279cd4785951219c1c1631c4156de913fc,0,3,0,3,1,0,0,2,419,448.85
9,e655cad3c57b98be9ccd5645a712ff5a57dc0480,0,4,0,1,1,0,2,6,746,461.28
10,8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa,0,13,0,10,57,0,21,45,1419,1898.49
11,551012dac1494b57e829bcbd9bafb51b280a03fa,0,1,0,0,18,0,0,0,31,74.84
12,2af055275751847a8202926173a76367f6f5d853,0,5,0,2,12,0,2,1,591,420.23
13,bdd911367253b67aa3d1665ed3262735d2f7ad20,0,1,0,0,3,0,0,0,240,115.73
14,344a30792bb30430a5949fa20ae69872c42394e0,0,10,0,1,119,2,45,114,1837,986.06
15,35ccdb8896e6d835b89ba604c595e2e760f090cb,0,1,0,0,0,1,0,0,105,64.19
16,a32fd48ef2b72af6264d6fc2a77aa5fd8b5e43fe,0,1,0,0,1,0,6,9,237,136.94
17,a3b0ab80e49741e3cf06ce17f2db2a290ff4b276,0,1,0,0,4,0,0,0,422,136.77
