idx,sha,A,M,D,boot,adds,removes,updates,moves,matched,wall_ms
0,bbc3fdc9973cf02256539a794b617c9b0da5b81f,0,1,0,1,0,0,0,0,197,437.57
1,3eed1f68e7fcf50b54e67afff46c205c7762da7e,0,1,0,1,28,18,0,17,230,258.12
2,03b424d305d37caffb28dcb35122380c83d953d3,1,0,0,0,0,0,0,0,0,120.6
3,2cc64f54fdf857437ac7325639afdb67bbfb0388,10,0,0,0,0,0,0,0,0,607.79
4,11d2d6fd92acf9abc762c41e0f7b91c5acc89f4f,0,3,0,2,0,0,0,0,245,306.46
5,a1c481ceca909e32ec49ff9738b5355eb1c367a7,1,0,1,0,0,0,0,0,0,106.59
6,18a282789c4723e3c2a41960174ea55594e43d7a,0,1,0,1,0,0,0,0,86,110.71
7,925c425a73910bab9e40bc044329136379adadaa,0,2,0,2,0,1,0,5,331,264.34
8,1061ac279cd4785951219c1c1631c4156de913fc,0,3,0,3,1,0,0,2,371,326.07
9,e655cad3c57b98be9ccd5645a712ff5a57dc0480,0,4,0,1,1,0,0,3,564,266.14
10,8ee17324ceb0fd0ace7d87c3bd095ee20c0466aa,0,13,0,10,35,0,0,1,933,1030.45
11,551012dac1494b57e829bcbd9bafb51b280a03fa,0,1,0,0,10,0,0,0,21,72.04
12,2af055275751847a8202926173a76367f6f5d853,0,5,0,2,7,0,0,1,404,302.25
13,bdd911367253b67aa3d1665ed3262735d2f7ad20,0,1,0,0,1,0,0,0,197,69.93
14,344a30792bb30430a5949fa20ae69872c42394e0,0,10,0,1,108,3,0,46,1369,570.96
15,35ccdb8896e6d835b89ba604c595e2e760f090cb,0,1,0,0,0,1,0,0,86,61.26
16,a32fd48ef2b72af6264d6fc2a77aa5fd8b5e43fe,0,1,0,0,0,0,0,0,125,76.86
17,a3b0ab80e49741e3cf06ce17f2db2a290ff4b276,0,1,0,0,5,0,0,0,395,98.53
18,1153591dea3c1ca8c19e6f353dd10551c68c11c1,0,4,0,0,0,1,0,0,729,191.8
19,a575976c553502ea73ce272f5d5060a271b6e06b,1,0,0,0,0,0,0,0,0,86.11
20,4b0cc456e9c1b5ffe4bf0c666545c74ffc9664d3,0,1,0,0,0,0,0,0,0,57.96
21,ae74147efc8f3dffe6c68ec7ef30f222be63b396,0,2,0,2,4,0,0,0,405,240.45
22,cef8ad10d66a54d9d5969cd8ea1682f58798c316,1,1,0,0,20,0,0,0,0,124.08
23,2d5dd1da4d144cd1ab76edda05e4faa2d6f368e3,2,12,0,2,29,110,0,29,1507,714.6
24,cf6e81cb24dc8f0f7cd3f52bab48e2781f8c463d,0,2,0,0,3,0,0,0,529,261.32
25,ebcb21f448d92c19e025279f3c27bbdb2fc75af5,0,1,0,0,0,0,0,0,52,57.49
26,da2a904e6492c3e203f93190118922a730b2c6fc,1,0,0,0,0,0,0,0,0,106.91
27,4895120841fcfa8c7d45cadabb4d6468020ed41b,1,0,0,0,0,0,0,0,0,104.08
28,b01624e6f0caa19f610b110902cf7c8fb911ebfb,0,1,0,0,0,0,0,0,239,85.43
29,ac533ef7e5aa056aabc8be5189175403aebc9a7a,0,0,1,0,0,0,0,0,0,121.03
